Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
CHEM_ACID_0001,10.27,169.48,1.88,133.81,29107.28
CHEM_ACID_0002,1.41,56.0,4.69,288.15,26833.28
CHEM_ACID_0003,4.42,52.78,5.65,407.18,35859.1
CHEM_ACID_0004,6.28,55.55,3.45,285.82,25143.01
CHEM_ACID_0005,7.82,160.85,2.2,157.68,39905.28
CHEM_ACID_0006,12.06,68.39,15.89,194.54,35695.46
CHEM_ACID_0007,6.83,176.32,11.91,253.12,31196.05
CHEM_ACID_0008,10.61,140.27,19.79,368.24,22331.17
CHEM_ACID_0009,8.17,83.44,18.56,299.58,18514.38
CHEM_ACID_0010,8.39,179.22,16.94,328.3,39128.2
CHEM_ACID_0011,8.07,63.99,0.27,215.54,25813.83
CHEM_ACID_0012,3.89,93.38,6.36,428.34,21096.29
CHEM_ACID_0013,3.44,51.4,2.06,298.08,19608.24
CHEM_ACID_0014,2.71,159.12,16.64,284.72,35870.43
CHEM_ACID_0015,8.16,67.47,18.17,104.37,39192.16
CHEM_ACID_0016,9.88,76.57,5.73,335.28,16268.91
CHEM_ACID_0017,4.75,197.45,14.61,481.08,21230.29
CHEM_ACID_0018,11.25,121.32,7.2,159.47,29921.32
CHEM_ACID_0019,7.12,74.27,6.44,395.93,27948.53
CHEM_ACID_0020,9.27,197.28,13.59,244.77,17475.06
CHEM_ACID_0021,1.64,114.44,17.53,496.19,22908.09
CHEM_ACID_0022,3.65,149.46,14.07,426.74,21785.98
CHEM_ACID_0023,11.01,77.9,5.04,396.13,21723.54
CHEM_ACID_0024,10.12,112.88,10.18,447.84,32446.25
CHEM_ACID_0025,6.57,177.07,1.59,398.01,32230.2
CHEM_ACID_0026,5.77,144.83,15.54,406.48,27928.54
CHEM_ACID_0027,9.51,54.64,18.4,351.19,39180.16
CHEM_ACID_0028,3.41,68.75,17.8,201.07,18915.09
CHEM_ACID_0029,9.69,50.45,7.83,131.33,38767.41
CHEM_ACID_0030,4.34,65.25,4.61,128.25,36159.1
CHEM_ACID_0031,11.43,111.98,5.37,106.43,21436.07
CHEM_ACID_0032,11.25,106.83,14.35,256.8,30092.91
CHEM_ACID_0033,3.11,155.67,10.65,232.21,25706.74
CHEM_ACID_0034,6.56,102.85,18.67,101.35,26894.25
CHEM_ACID_0035,10.4,101.45,11.63,241.07,28012.22
CHEM_ACID_0036,12.49,111.04,15.89,337.63,19997.49
CHEM_ACID_0037,3.66,82.79,15.4,335.27,22197.99
CHEM_ACID_0038,2.08,56.17,9.21,121.78,37246.71
CHEM_ACID_0039,1.29,51.83,5.13,325.72,22644.03
CHEM_ACID_0040,5.33,155.51,0.42,318.07,39071.87
CHEM_ACID_0041,3.07,89.64,1.63,466.78,20170.14
CHEM_ACID_0042,12.0,50.32,2.4,437.37,39105.9
CHEM_ACID_0043,12.92,180.74,4.43,288.75,18968.04
CHEM_ACID_0044,4.87,56.15,13.81,348.7,20290.14
CHEM_ACID_0045,9.67,122.49,7.87,358.41,39053.46
CHEM_ACID_0046,11.78,104.06,8.34,428.22,33245.28
CHEM_ACID_0047,5.62,76.59,4.52,324.75,18621.04
CHEM_ACID_0048,5.04,85.13,15.21,102.33,16265.92
CHEM_ACID_0049,12.95,83.95,3.06,331.14,19165.14
CHEM_ACID_0050,5.21,85.82,7.34,222.6,22213.67
CHEM_ACID_0051,6.94,90.56,14.15,218.1,15725.16
CHEM_ACID_0052,1.53,129.95,15.08,456.14,27407.15
CHEM_ACID_0053,1.16,136.78,14.45,226.22,32101.14
CHEM_ACID_0054,12.06,119.92,18.5,296.42,33874.32
CHEM_ACID_0055,1.6,161.9,10.5,369.28,16655.71
