Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
CHEM_CHLO_0001,11.5,172.45,15.09,193.31,42032.22
CHEM_CHLO_0002,11.53,250.07,2.87,182.14,38220.85
CHEM_CHLO_0003,12.55,335.88,15.86,93.16,35910.23
CHEM_CHLO_0004,11.63,395.35,10.76,122.44,54600.72
CHEM_CHLO_0005,11.64,268.65,11.7,186.08,56585.33
CHEM_CHLO_0006,12.73,119.23,8.01,109.23,48818.29
CHEM_CHLO_0007,11.55,332.26,8.84,52.58,55660.78
CHEM_CHLO_0008,11.45,252.37,13.64,179.47,32914.49
CHEM_CHLO_0009,11.08,266.09,18.67,194.84,45207.25
CHEM_CHLO_0010,11.08,189.67,19.86,177.19,44244.48
CHEM_CHLO_0011,11.57,332.77,9.15,192.9,44930.8
CHEM_CHLO_0012,12.43,226.16,1.61,118.86,44094.54
CHEM_CHLO_0013,11.83,117.3,14.18,78.04,49977.48
CHEM_CHLO_0014,12.52,263.43,9.09,100.81,34368.18
CHEM_CHLO_0015,12.29,341.42,11.14,53.04,36234.29
CHEM_CHLO_0016,12.02,338.35,4.37,52.04,36714.16
CHEM_CHLO_0017,12.01,179.74,6.83,55.19,38510.04
CHEM_CHLO_0018,12.2,215.76,19.42,101.9,53195.92
CHEM_CHLO_0019,11.49,288.93,19.31,57.16,38910.96
CHEM_CHLO_0020,11.82,115.64,5.14,66.34,34619.49
CHEM_CHLO_0021,11.85,132.43,6.82,159.63,49277.58
CHEM_CHLO_0022,12.49,287.29,16.21,100.15,36043.48
CHEM_CHLO_0023,11.23,335.33,18.94,167.43,30440.76
CHEM_CHLO_0024,11.8,112.33,16.82,196.65,33542.2
CHEM_CHLO_0025,12.23,176.47,3.77,130.55,38288.53
CHEM_CHLO_0026,11.89,380.15,14.51,167.26,54939.27
CHEM_CHLO_0027,12.83,141.57,8.35,91.1,31487.81
CHEM_CHLO_0028,12.04,184.59,1.43,192.07,55856.85
CHEM_CHLO_0029,12.36,237.75,18.83,56.59,35612.5
CHEM_CHLO_0030,12.04,159.31,3.56,197.14,43459.5
CHEM_CHLO_0031,11.85,183.03,14.83,174.02,40551.25
CHEM_CHLO_0032,12.18,110.08,19.46,195.89,34670.01
CHEM_CHLO_0033,12.73,186.74,17.23,92.67,46679.58
CHEM_CHLO_0034,11.74,372.52,11.63,187.87,37362.79
CHEM_CHLO_0035,12.53,390.41,3.0,191.94,38137.88
CHEM_CHLO_0036,12.96,290.27,13.16,77.36,53813.05
CHEM_CHLO_0037,12.32,161.68,1.91,104.82,43431.94
CHEM_CHLO_0038,12.11,106.98,6.1,110.7,45304.27
CHEM_CHLO_0039,12.57,365.55,1.19,190.56,56943.94
CHEM_CHLO_0040,11.15,139.98,7.41,148.84,33491.06
CHEM_CHLO_0041,12.21,274.01,0.89,75.73,40399.17
CHEM_CHLO_0042,12.68,252.93,11.11,93.62,36773.55
CHEM_CHLO_0043,11.23,292.37,19.65,59.68,54448.3
CHEM_CHLO_0044,11.86,277.22,4.47,113.93,34651.9
CHEM_CHLO_0045,12.79,319.57,19.37,148.22,31474.22
CHEM_CHLO_0046,12.56,265.85,10.42,192.59,42772.25
CHEM_CHLO_0047,12.04,362.44,7.99,70.55,58347.74
CHEM_CHLO_0048,11.43,396.59,6.14,193.2,42353.19
CHEM_CHLO_0049,12.86,215.61,13.11,143.99,50421.42
CHEM_CHLO_0050,11.38,106.84,8.9,54.64,30095.55
CHEM_CHLO_0051,12.43,294.48,15.69,83.02,50402.8
CHEM_CHLO_0052,11.8,285.09,4.59,180.87,38690.44
CHEM_CHLO_0053,11.24,383.96,10.29,119.47,36004.34
CHEM_CHLO_0054,11.34,399.97,16.37,96.37,57301.26
CHEM_CHLO_0055,11.14,181.58,8.33,74.27,50540.48
CHEM_CHLO_0056,11.86,124.02,13.01,108.88,45402.5
CHEM_CHLO_0057,12.56,255.5,15.21,178.21,38731.18
CHEM_CHLO_0058,12.61,215.13,14.61,144.2,47793.47
CHEM_CHLO_0059,12.53,358.93,11.02,78.16,55548.22
CHEM_CHLO_0060,12.44,365.11,19.82,154.92,45060.71
CHEM_CHLO_0061,11.95,301.61,5.11,142.64,41725.9
CHEM_CHLO_0062,12.57,155.0,16.59,99.72,35996.48
CHEM_CHLO_0063,12.07,376.82,6.38,157.74,55697.41
CHEM_CHLO_0064,12.93,171.77,6.69,187.88,42807.08
CHEM_CHLO_0065,11.71,142.95,12.36,123.91,40921.12
CHEM_CHLO_0066,11.42,124.07,17.37,82.43,41344.65
CHEM_CHLO_0067,12.49,350.95,11.44,148.81,56545.1
CHEM_CHLO_0068,12.33,182.91,4.59,143.48,38985.94
CHEM_CHLO_0069,12.42,241.35,6.38,51.97,51725.61
CHEM_CHLO_0070,11.51,245.14,11.53,159.48,56258.58
CHEM_CHLO_0071,12.46,314.14,13.02,97.16,51449.61
CHEM_CHLO_0072,12.59,316.64,15.45,177.32,34863.01
CHEM_CHLO_0073,11.52,125.59,12.84,61.33,47626.21
CHEM_CHLO_0074,12.84,180.13,13.65,98.19,39195.81
CHEM_CHLO_0075,12.17,180.96,19.57,193.43,54133.29
CHEM_CHLO_0076,12.91,154.78,8.19,156.62,30820.28
CHEM_CHLO_0077,12.63,380.45,19.72,175.12,35564.4
CHEM_CHLO_0078,12.8,305.16,19.61,184.93,40513.52
CHEM_CHLO_0079,12.58,258.38,10.89,167.99,48446.02
CHEM_CHLO_0080,11.36,178.85,4.4,184.95,55291.99
CHEM_CHLO_0081,12.29,228.02,5.31,75.25,52082.09
CHEM_CHLO_0082,11.09,275.82,12.47,50.03,39997.33
CHEM_CHLO_0083,11.6,205.05,9.63,61.88,54123.44
CHEM_CHLO_0084,11.13,290.96,15.23,162.82,30632.88
CHEM_CHLO_0085,11.43,133.41,1.74,79.94,50557.09
CHEM_CHLO_0086,12.37,218.75,14.55,153.31,53957.64
CHEM_CHLO_0087,12.05,220.05,1.31,137.65,57211.35
CHEM_CHLO_0088,11.35,206.16,17.71,144.38,51946.41
CHEM_CHLO_0089,12.4,225.97,13.08,162.52,42776.71
CHEM_CHLO_0090,11.34,292.02,17.33,160.87,42282.37
CHEM_CHLO_0091,12.07,203.88,12.62,192.37,51303.63
CHEM_CHLO_0092,11.36,381.14,14.5,66.28,47060.85
CHEM_CHLO_0093,11.27,231.8,16.36,161.07,37265.21
CHEM_CHLO_0094,12.26,204.12,4.88,74.44,48531.01
CHEM_CHLO_0095,12.54,267.31,1.03,56.56,43837.5
CHEM_CHLO_0096,11.81,207.64,3.2,151.99,52586.05
CHEM_CHLO_0097,12.91,170.8,11.06,65.9,42306.19
CHEM_CHLO_0098,11.53,303.7,6.11,78.64,31061.83
CHEM_CHLO_0099,12.69,290.78,4.56,114.09,49651.24
CHEM_CHLO_0100,11.29,236.83,5.81,178.52,34348.41
CHEM_CHLO_0101,11.02,143.95,0.04,98.95,36601.33
CHEM_CHLO_0102,11.96,192.46,1.34,108.15,58494.02
CHEM_CHLO_0103,11.38,188.63,16.62,102.7,39021.74
CHEM_CHLO_0104,11.09,244.62,2.68,64.63,33884.67
CHEM_CHLO_0105,11.65,103.74,5.06,134.81,55665.52
CHEM_CHLO_0106,11.64,162.79,13.59,196.5,51234.47
CHEM_CHLO_0107,11.35,226.52,12.92,187.22,37536.65
CHEM_CHLO_0108,11.23,331.59,4.0,170.51,57752.88
CHEM_CHLO_0109,12.53,390.47,10.7,77.81,33938.11
CHEM_CHLO_0110,12.61,191.82,14.69,68.0,39637.11
CHEM_CHLO_0111,12.07,148.83,10.74,177.16,33563.67
CHEM_CHLO_0112,12.55,288.51,2.13,175.94,54781.81
CHEM_CHLO_0113,11.51,358.06,0.18,88.01,39809.72
CHEM_CHLO_0114,11.61,136.88,7.32,191.91,45707.77
CHEM_CHLO_0115,11.35,346.6,9.73,68.15,49019.86
CHEM_CHLO_0116,12.27,112.51,8.02,198.16,38796.37
CHEM_CHLO_0117,12.99,266.91,13.6,172.39,56236.9
CHEM_CHLO_0118,11.42,123.88,12.04,192.75,31665.38
CHEM_CHLO_0119,11.37,368.04,6.29,122.98,44550.54
CHEM_CHLO_0120,12.23,270.1,7.13,117.88,31991.22
CHEM_CHLO_0121,11.95,180.32,0.5,52.43,43326.16
CHEM_CHLO_0122,12.46,258.08,1.49,133.68,43361.86
CHEM_CHLO_0123,12.9,275.98,13.98,166.36,38229.02
CHEM_CHLO_0124,12.9,301.65,16.6,162.26,51015.91
CHEM_CHLO_0125,11.38,300.71,4.16,145.32,55767.3
CHEM_CHLO_0126,12.61,368.77,19.29,64.87,56034.14
CHEM_CHLO_0127,12.61,344.71,11.34,151.71,54644.47
CHEM_CHLO_0128,11.44,255.36,19.63,168.53,39537.16
CHEM_CHLO_0129,12.17,256.42,3.46,180.88,56935.22
CHEM_CHLO_0130,12.41,356.87,19.12,147.6,54029.44
CHEM_CHLO_0131,11.22,367.76,10.51,155.98,35763.5
CHEM_CHLO_0132,11.96,105.48,17.18,177.92,32910.05
CHEM_CHLO_0133,12.55,225.03,16.31,108.96,36497.45
CHEM_CHLO_0134,11.96,168.95,2.61,51.2,36393.29
CHEM_CHLO_0135,11.49,117.1,15.38,91.36,37778.35
CHEM_CHLO_0136,12.82,193.88,1.42,159.94,32463.72
CHEM_CHLO_0137,12.95,354.39,10.51,133.78,45449.58
CHEM_CHLO_0138,11.39,247.78,6.17,109.84,50312.9
CHEM_CHLO_0139,12.41,270.24,5.46,92.64,32240.14
