Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
CHEM_DYE__0001,8.39,16349.71,3946.01,1584.2,12484.14
CHEM_DYE__0002,7.26,19191.19,2261.65,1397.86,16650.05
CHEM_DYE__0003,7.78,15180.84,4211.88,2449.14,14056.26
CHEM_DYE__0004,7.87,24958.77,2245.94,1619.28,22231.08
CHEM_DYE__0005,8.21,20622.27,3528.67,1459.17,17883.73
CHEM_DYE__0006,6.1,26525.92,3613.01,1362.43,16115.9
CHEM_DYE__0007,7.29,31991.52,4746.96,1871.85,10989.15
CHEM_DYE__0008,6.85,16992.37,4658.05,1614.29,20240.13
CHEM_DYE__0009,7.52,20716.38,3597.66,2060.71,24914.25
CHEM_DYE__0010,8.19,25547.18,3594.15,1832.05,13319.8
CHEM_DYE__0011,7.54,26468.79,4404.78,1370.49,17712.02
CHEM_DYE__0012,7.39,30382.05,3174.0,1460.54,21298.64
CHEM_DYE__0013,7.35,17657.63,2165.46,1887.32,21869.46
CHEM_DYE__0014,8.5,31911.04,3401.37,1812.43,17077.75
CHEM_DYE__0015,6.68,15182.92,3267.44,1344.52,23029.07
CHEM_DYE__0016,7.14,22643.71,4426.11,1128.22,15046.98
CHEM_DYE__0017,6.64,18650.93,2343.31,2219.24,17879.16
CHEM_DYE__0018,7.59,23197.73,3907.15,1205.61,17621.55
CHEM_DYE__0019,6.38,33381.27,3032.67,1308.42,10511.78
CHEM_DYE__0020,7.91,15033.25,3059.15,2420.13,18802.91
CHEM_DYE__0021,8.47,34728.53,4880.77,1056.04,23933.62
CHEM_DYE__0022,8.21,19164.54,3947.16,2440.25,21062.9
CHEM_DYE__0023,6.53,28645.38,4699.68,2408.36,18810.75
CHEM_DYE__0024,7.46,26506.94,2815.72,1588.56,10142.95
CHEM_DYE__0025,6.39,22520.42,4608.25,1618.97,21114.03
CHEM_DYE__0026,7.16,17184.33,4479.62,1117.56,12279.57
CHEM_DYE__0027,6.79,32849.77,2293.25,1895.19,12051.68
CHEM_DYE__0028,6.15,33782.08,3789.53,2215.66,20289.65
CHEM_DYE__0029,6.54,27121.51,3372.32,2354.05,16240.53
CHEM_DYE__0030,7.21,15881.46,3060.47,2266.42,19919.64
CHEM_DYE__0031,6.61,17509.14,4750.97,1142.95,11911.71
CHEM_DYE__0032,6.34,27382.86,2313.36,2033.75,11468.15
CHEM_DYE__0033,7.42,27286.75,4450.48,1453.55,24090.6
CHEM_DYE__0034,6.76,31024.3,4871.9,2240.47,23100.3
CHEM_DYE__0035,6.13,30732.3,2661.68,2179.31,15787.95
CHEM_DYE__0036,8.49,29825.56,4251.04,2008.51,19303.21
CHEM_DYE__0037,7.76,27419.32,4352.6,1733.81,19756.38
CHEM_DYE__0038,7.06,28204.24,3929.75,2346.26,23361.74
CHEM_DYE__0039,6.94,33323.29,4930.41,2192.52,11690.04
CHEM_DYE__0040,7.64,33201.46,3165.06,1619.93,12360.71
CHEM_DYE__0041,7.92,27453.92,3860.63,1272.73,17050.43
CHEM_DYE__0042,6.14,29285.9,4828.04,1375.75,24366.23
CHEM_DYE__0043,6.87,32423.78,4619.96,1140.2,24789.32
CHEM_DYE__0044,7.65,24001.3,3538.85,2231.9,21114.98
CHEM_DYE__0045,8.46,19993.18,4737.48,2494.5,19668.03
CHEM_DYE__0046,6.83,28578.27,3234.54,1888.02,16083.53
CHEM_DYE__0047,7.55,28124.41,2255.89,2162.51,11092.74
CHEM_DYE__0048,7.18,23356.69,4233.32,1172.45,22484.38
CHEM_DYE__0049,6.2,17068.53,4976.03,1710.55,17999.39
CHEM_DYE__0050,6.04,25192.41,4216.07,1895.31,10524.06
