Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
ELEC_ACID_0001,1.8,165.21,34.88,764.77,11118.21
ELEC_ACID_0002,3.02,166.01,29.78,649.7,7138.65
ELEC_ACID_0003,1.66,67.22,21.97,846.39,14545.0
ELEC_ACID_0004,1.54,102.81,35.85,994.38,14017.27
ELEC_ACID_0005,2.83,117.96,31.1,1267.88,13370.27
ELEC_ACID_0006,1.67,101.19,26.16,1098.18,5693.72
ELEC_ACID_0007,1.79,84.12,35.23,509.79,10538.13
ELEC_ACID_0008,2.25,85.26,14.78,889.24,14031.95
ELEC_ACID_0009,1.52,172.25,29.01,610.48,13261.44
ELEC_ACID_0010,1.93,67.06,33.7,555.49,7624.08
ELEC_ACID_0011,2.64,195.07,36.25,1475.3,6385.36
ELEC_ACID_0012,3.19,135.19,34.11,1310.55,7983.84
ELEC_ACID_0013,2.11,126.81,24.0,1475.49,7367.41
ELEC_ACID_0014,3.1,152.33,36.54,530.17,14944.17
ELEC_ACID_0015,1.77,128.34,37.05,1045.99,13408.68
ELEC_ACID_0016,3.47,70.65,19.72,1140.83,8901.51
ELEC_ACID_0017,2.63,90.67,25.46,886.62,7149.28
ELEC_ACID_0018,1.52,193.17,32.37,1331.31,9833.9
ELEC_ACID_0019,3.34,157.26,29.19,652.83,11202.14
ELEC_ACID_0020,1.53,167.18,21.28,942.35,14433.98
ELEC_ACID_0021,2.82,74.71,26.21,1004.87,11929.57
ELEC_ACID_0022,2.98,88.39,27.64,1475.93,6571.87
ELEC_ACID_0023,2.41,144.14,28.44,1139.74,5547.47
ELEC_ACID_0024,1.51,75.8,35.74,735.31,12585.1
ELEC_ACID_0025,2.65,139.63,14.98,1007.73,10160.97
ELEC_ACID_0026,3.32,168.18,28.68,1126.9,5570.44
ELEC_ACID_0027,3.24,192.98,19.25,594.89,7971.22
ELEC_ACID_0028,2.65,192.23,19.19,1228.88,14882.11
ELEC_ACID_0029,1.71,112.82,36.77,1163.51,14962.46
ELEC_ACID_0030,1.89,190.79,27.04,1407.31,8193.05
ELEC_ACID_0031,3.42,80.52,37.1,1328.6,6541.97
ELEC_ACID_0032,2.35,132.96,24.74,1181.02,11890.65
ELEC_ACID_0033,3.28,170.27,35.4,1179.83,5694.76
ELEC_ACID_0034,3.02,96.54,14.15,1367.54,6305.53
ELEC_ACID_0035,1.7,109.97,26.4,1404.35,12692.52
ELEC_ACID_0036,3.21,85.99,30.18,1249.91,13270.54
ELEC_ACID_0037,1.57,73.91,17.35,792.63,14375.53
ELEC_ACID_0038,1.57,186.13,16.52,622.96,10970.95
ELEC_ACID_0039,3.16,148.27,39.1,594.38,9445.52
ELEC_ACID_0040,3.09,146.17,26.7,1358.64,8977.77
ELEC_ACID_0041,3.33,85.14,29.68,1069.12,14964.93
ELEC_ACID_0042,2.72,115.97,21.56,622.57,12677.89
ELEC_ACID_0043,3.49,154.94,33.32,977.65,7772.57
ELEC_ACID_0044,2.61,76.14,33.48,1408.33,13401.12
ELEC_ACID_0045,2.48,118.23,20.67,1222.99,10352.43
ELEC_ACID_0046,2.51,171.44,13.17,1168.85,7478.45
ELEC_ACID_0047,1.53,148.74,30.1,553.0,12836.73
ELEC_ACID_0048,2.17,87.1,12.51,1117.13,14576.25
ELEC_ACID_0049,2.62,117.89,34.59,594.92,7928.23
ELEC_ACID_0050,2.46,111.74,27.3,618.55,9003.86
ELEC_ACID_0051,2.78,52.46,30.15,1289.46,7960.5
ELEC_ACID_0052,2.18,122.36,33.12,1050.56,7399.08
ELEC_ACID_0053,3.02,144.73,33.47,779.06,12643.86
ELEC_ACID_0054,2.3,144.24,33.66,658.83,9808.2
ELEC_ACID_0055,2.42,145.51,20.4,1029.61,5047.18
ELEC_ACID_0056,3.43,167.64,21.08,965.69,8598.25
ELEC_ACID_0057,1.54,168.47,31.74,970.55,13575.97
ELEC_ACID_0058,2.3,196.4,39.75,700.78,8792.74
ELEC_ACID_0059,2.62,134.11,36.15,642.65,7299.76
ELEC_ACID_0060,2.11,189.53,33.84,866.8,8405.47
ELEC_ACID_0061,2.85,156.63,27.28,925.91,10025.37
ELEC_ACID_0062,2.95,96.02,19.66,556.69,13193.69
ELEC_ACID_0063,1.62,74.64,16.98,1238.28,14185.14
ELEC_ACID_0064,3.21,171.68,28.37,970.52,13246.72
ELEC_ACID_0065,2.35,142.71,35.85,982.79,6000.17
ELEC_ACID_0066,2.96,163.6,10.94,748.04,5750.38
ELEC_ACID_0067,2.08,182.5,29.35,1279.12,10292.01
ELEC_ACID_0068,2.75,98.23,17.6,1105.75,7487.9
ELEC_ACID_0069,3.47,138.21,29.44,1308.13,12265.06
ELEC_ACID_0070,2.06,165.25,15.11,530.35,6634.51
ELEC_ACID_0071,3.06,83.66,39.99,757.81,11936.46
ELEC_ACID_0072,1.96,70.15,23.8,1062.98,10152.48
ELEC_ACID_0073,2.92,116.96,15.3,1286.56,7031.86
ELEC_ACID_0074,2.15,178.15,35.45,1026.92,9869.07
ELEC_ACID_0075,1.76,170.82,10.62,604.5,8117.88
ELEC_ACID_0076,3.48,164.79,35.13,619.67,9616.2
ELEC_ACID_0077,2.64,116.69,26.51,1386.92,7911.9
ELEC_ACID_0078,2.41,90.66,28.1,1180.13,12634.27
ELEC_ACID_0079,2.98,59.99,32.41,1349.19,5120.65
ELEC_ACID_0080,3.18,92.03,25.03,623.05,12393.56
ELEC_ACID_0081,3.22,182.62,10.14,1294.14,13503.81
ELEC_ACID_0082,3.35,178.31,12.68,840.68,13602.97
ELEC_ACID_0083,1.7,174.93,29.56,798.16,5661.25
ELEC_ACID_0084,3.11,62.88,32.09,591.21,7448.95
ELEC_ACID_0085,2.67,134.29,22.63,1453.58,11050.96
ELEC_ACID_0086,2.86,92.57,15.41,1407.93,10666.99
ELEC_ACID_0087,1.6,118.25,28.41,796.6,9683.14
ELEC_ACID_0088,1.96,164.85,30.36,532.37,7716.2
ELEC_ACID_0089,2.26,138.58,20.25,997.19,12583.42
ELEC_ACID_0090,2.0,165.72,20.03,864.56,5270.49
ELEC_ACID_0091,2.36,90.75,17.51,653.89,11314.81
ELEC_ACID_0092,2.12,52.94,11.92,766.1,6602.8
ELEC_ACID_0093,3.44,196.07,31.5,559.75,5079.62
ELEC_ACID_0094,2.61,55.74,34.37,1094.01,5334.18
ELEC_ACID_0095,2.42,134.16,26.83,1027.15,9692.72
ELEC_ACID_0096,2.3,95.49,13.73,1212.38,6263.28
ELEC_ACID_0097,2.48,95.96,20.17,761.24,6175.34
ELEC_ACID_0098,1.94,153.06,37.14,1460.43,14171.9
ELEC_ACID_0099,2.22,126.7,32.08,1158.09,9254.3
ELEC_ACID_0100,1.96,182.56,36.8,1466.42,12586.86
ELEC_ACID_0101,2.79,77.55,26.69,1193.03,11027.27
ELEC_ACID_0102,3.44,137.17,37.66,1352.92,13013.21
ELEC_ACID_0103,2.02,159.91,27.68,1472.35,8088.34
ELEC_ACID_0104,2.12,186.73,20.47,1082.95,14982.19
ELEC_ACID_0105,2.77,92.74,15.17,1442.64,10799.23
ELEC_ACID_0106,2.55,115.93,29.8,1102.13,14903.76
ELEC_ACID_0107,2.96,123.84,16.0,1406.56,5103.62
ELEC_ACID_0108,2.89,73.54,23.11,1067.47,8726.64
ELEC_ACID_0109,2.39,87.3,31.19,644.19,13463.92
ELEC_ACID_0110,2.42,95.78,11.11,1222.46,6086.38
ELEC_ACID_0111,2.36,121.39,38.86,675.48,10595.39
ELEC_ACID_0112,1.64,54.54,39.85,1296.29,5574.21
ELEC_ACID_0113,3.36,168.02,23.46,950.0,12787.32
ELEC_ACID_0114,2.95,119.61,31.84,1480.16,13865.56
ELEC_ACID_0115,1.56,166.9,14.1,1375.53,5653.45
ELEC_ACID_0116,3.44,63.36,32.31,964.99,7153.97
ELEC_ACID_0117,1.98,103.25,17.97,911.69,8212.06
ELEC_ACID_0118,1.84,104.08,19.29,1062.3,8632.05
ELEC_ACID_0119,2.69,144.62,22.47,524.29,8117.16
ELEC_ACID_0120,2.64,50.4,23.69,1003.36,11632.83
ELEC_ACID_0121,1.98,110.93,19.82,619.18,12498.7
ELEC_ACID_0122,2.64,85.57,23.08,1412.22,10177.37
ELEC_ACID_0123,1.75,194.59,20.13,722.13,7641.09
ELEC_ACID_0124,1.59,116.7,10.85,813.1,10552.75
ELEC_ACID_0125,2.05,145.9,28.8,965.62,13283.76
ELEC_ACID_0126,1.95,124.26,32.49,1320.44,13963.86
ELEC_ACID_0127,2.56,101.99,15.45,544.42,6558.78
ELEC_ACID_0128,2.01,174.37,21.8,642.77,12964.58
ELEC_ACID_0129,2.32,170.23,32.89,667.09,6376.14
ELEC_ACID_0130,2.44,169.32,23.22,1276.83,12282.14
ELEC_ACID_0131,2.55,143.79,16.94,748.45,13582.38
ELEC_ACID_0132,2.54,136.98,29.11,696.49,11683.15
ELEC_ACID_0133,2.46,129.05,25.28,1290.62,6004.02
ELEC_ACID_0134,1.57,56.93,16.86,1071.82,11816.87
ELEC_ACID_0135,1.94,151.67,13.9,769.9,7277.75
ELEC_ACID_0136,2.7,198.29,12.51,841.53,13594.49
ELEC_ACID_0137,2.73,51.93,33.82,1081.52,5063.24
ELEC_ACID_0138,1.79,96.98,21.16,1126.69,11677.26
ELEC_ACID_0139,1.63,116.45,38.74,669.78,12235.84
ELEC_ACID_0140,2.61,195.73,23.15,842.11,12894.52
ELEC_ACID_0141,1.7,138.52,21.29,727.97,7927.92
ELEC_ACID_0142,1.94,141.96,31.78,1244.99,10056.67
ELEC_ACID_0143,2.66,88.37,12.57,880.66,11794.64
ELEC_ACID_0144,3.42,144.0,22.56,1022.58,10840.8
ELEC_ACID_0145,2.78,176.05,16.0,1040.12,13509.18
ELEC_ACID_0146,1.76,157.34,16.53,1183.17,13817.7
ELEC_ACID_0147,2.21,85.19,21.84,1276.1,10203.77
ELEC_ACID_0148,1.69,161.7,12.34,626.4,7060.71
ELEC_ACID_0149,2.71,109.36,39.13,1031.41,8636.26
