Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
ELEC_ELEC_0001,8.74,134.09,61.0,217.72,6059.81
ELEC_ELEC_0002,9.71,314.72,74.92,469.69,7912.64
ELEC_ELEC_0003,6.19,127.31,41.46,244.84,8615.83
ELEC_ELEC_0004,7.15,324.38,32.98,672.96,6653.46
ELEC_ELEC_0005,8.6,288.84,28.36,774.39,4029.03
ELEC_ELEC_0006,8.75,313.68,58.04,280.69,8414.12
ELEC_ELEC_0007,8.48,200.64,22.3,491.25,3521.21
ELEC_ELEC_0008,9.69,293.56,66.23,443.62,6134.59
ELEC_ELEC_0009,6.2,383.74,33.04,240.8,6422.65
ELEC_ELEC_0010,8.93,290.27,25.59,379.32,6818.66
ELEC_ELEC_0011,6.3,290.18,66.94,645.05,9122.26
ELEC_ELEC_0012,9.74,125.56,21.8,494.93,4894.22
ELEC_ELEC_0013,6.6,142.88,48.61,339.62,3621.12
ELEC_ELEC_0014,7.66,389.52,42.29,322.64,9113.08
ELEC_ELEC_0015,9.81,299.46,41.45,351.83,4428.94
ELEC_ELEC_0016,9.51,113.94,26.38,485.55,3259.51
ELEC_ELEC_0017,7.25,146.28,69.08,291.71,3646.87
ELEC_ELEC_0018,8.29,194.37,23.76,258.41,9115.83
ELEC_ELEC_0019,6.68,338.05,37.57,414.81,5372.15
ELEC_ELEC_0020,8.72,155.33,26.16,410.66,3792.06
ELEC_ELEC_0021,9.48,265.58,48.32,522.36,9235.11
ELEC_ELEC_0022,9.71,146.47,57.37,200.68,8782.67
ELEC_ELEC_0023,7.3,180.15,78.29,673.32,7884.47
ELEC_ELEC_0024,7.54,283.2,30.47,584.78,5011.84
ELEC_ELEC_0025,7.79,203.76,22.58,384.07,3680.23
ELEC_ELEC_0026,9.01,192.96,74.24,611.56,9432.57
ELEC_ELEC_0027,7.59,160.29,57.22,513.07,3803.45
ELEC_ELEC_0028,9.07,273.32,43.29,593.85,6598.86
ELEC_ELEC_0029,7.74,352.81,76.05,474.38,5998.31
ELEC_ELEC_0030,7.12,242.78,41.86,374.77,7266.63
ELEC_ELEC_0031,8.15,127.17,23.02,583.74,7391.03
ELEC_ELEC_0032,6.98,191.49,51.02,627.3,4443.64
ELEC_ELEC_0033,8.04,182.62,42.03,478.58,8395.59
ELEC_ELEC_0034,8.65,238.97,28.4,510.55,8945.17
ELEC_ELEC_0035,9.33,111.37,43.17,556.77,5538.12
ELEC_ELEC_0036,8.32,316.56,48.01,694.02,5987.79
ELEC_ELEC_0037,8.11,255.85,34.46,253.54,9921.25
ELEC_ELEC_0038,7.55,254.31,69.59,376.16,9359.18
ELEC_ELEC_0039,9.82,283.64,28.03,432.06,7319.01
ELEC_ELEC_0040,9.59,147.32,41.66,752.68,7628.26
ELEC_ELEC_0041,9.75,382.42,70.96,397.2,7750.47
ELEC_ELEC_0042,6.9,173.13,64.14,300.69,5726.9
ELEC_ELEC_0043,9.65,300.57,76.83,774.63,8536.95
ELEC_ELEC_0044,8.7,245.72,43.63,208.51,6441.11
ELEC_ELEC_0045,6.09,270.9,41.27,338.82,9156.84
ELEC_ELEC_0046,7.48,357.89,27.63,250.61,7562.65
ELEC_ELEC_0047,9.05,127.11,69.32,481.91,5280.73
