Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
ELEC_SURF_0001,8.6,480.89,140.65,2961.2,2643.3
ELEC_SURF_0002,8.03,397.4,96.09,2319.36,3186.21
ELEC_SURF_0003,8.94,726.0,94.77,2431.78,4124.44
ELEC_SURF_0004,8.28,714.27,128.52,1227.85,4265.54
ELEC_SURF_0005,7.63,431.23,144.89,1902.98,4971.65
ELEC_SURF_0006,7.9,775.17,109.1,2087.75,3165.17
ELEC_SURF_0007,8.48,521.22,84.23,2994.04,5436.66
ELEC_SURF_0008,8.16,714.9,89.34,2820.98,2114.12
ELEC_SURF_0009,8.23,383.19,88.35,2173.83,2486.64
ELEC_SURF_0010,7.39,642.9,78.99,1134.62,5818.66
ELEC_SURF_0011,7.07,542.05,55.19,1830.75,2421.16
ELEC_SURF_0012,7.84,462.62,140.54,2127.83,5240.47
ELEC_SURF_0013,8.74,580.99,83.94,1932.22,2365.66
ELEC_SURF_0014,7.82,755.79,72.64,2002.85,2794.79
ELEC_SURF_0015,7.28,423.53,103.71,2637.73,4966.96
ELEC_SURF_0016,7.84,370.88,125.67,1636.08,3292.83
ELEC_SURF_0017,7.0,346.53,68.81,1423.5,5859.13
ELEC_SURF_0018,7.72,778.57,83.25,1760.13,2959.73
ELEC_SURF_0019,7.91,749.01,131.56,1377.39,5138.95
ELEC_SURF_0020,8.15,796.59,52.96,2277.0,4228.35
ELEC_SURF_0021,8.95,467.93,97.04,2372.22,4590.66
ELEC_SURF_0022,8.13,388.45,112.28,2510.4,3091.86
ELEC_SURF_0023,8.41,634.0,103.88,1297.82,2011.37
ELEC_SURF_0024,7.16,782.04,92.17,2010.56,4620.25
ELEC_SURF_0025,7.11,349.34,133.26,2993.71,4663.69
ELEC_SURF_0026,7.09,454.1,91.1,2417.29,4090.54
ELEC_SURF_0027,8.34,641.88,97.76,2400.19,5341.23
ELEC_SURF_0028,7.29,681.23,59.13,2358.98,5037.17
ELEC_SURF_0029,7.29,314.65,120.06,2345.26,3020.5
ELEC_SURF_0030,8.95,302.52,68.63,1610.6,2382.91
ELEC_SURF_0031,8.79,409.93,58.34,1306.45,4352.09
ELEC_SURF_0032,7.87,595.26,79.35,1594.11,5757.26
ELEC_SURF_0033,8.83,655.08,129.58,1673.07,4533.29
ELEC_SURF_0034,7.71,314.63,118.35,1272.29,5993.79
ELEC_SURF_0035,7.31,722.03,52.47,2959.08,4361.22
ELEC_SURF_0036,8.48,576.45,73.72,1773.16,4746.15
ELEC_SURF_0037,8.51,367.01,50.01,1869.77,4566.86
ELEC_SURF_0038,8.3,624.94,120.08,1318.57,2209.87
ELEC_SURF_0039,7.13,755.11,102.22,2039.04,2631.1
ELEC_SURF_0040,8.67,505.72,104.82,2793.97,4684.49
ELEC_SURF_0041,7.57,382.58,147.72,1600.44,2650.49
ELEC_SURF_0042,8.87,438.57,135.81,2222.14,4926.9
ELEC_SURF_0043,7.77,345.54,97.74,2188.08,3164.64
ELEC_SURF_0044,9.0,518.13,55.84,1897.21,4845.11
ELEC_SURF_0045,7.54,462.79,131.67,1847.32,3995.6
ELEC_SURF_0046,7.11,431.14,82.17,2710.71,2051.87
ELEC_SURF_0047,7.04,527.04,67.26,1306.7,4470.23
ELEC_SURF_0048,8.81,335.35,140.8,2793.21,4165.27
ELEC_SURF_0049,8.15,658.06,62.11,2264.48,4409.02
ELEC_SURF_0050,7.08,377.76,81.36,1866.56,2144.76
ELEC_SURF_0051,7.29,566.27,66.69,2507.72,4684.15
ELEC_SURF_0052,8.09,492.59,104.15,1125.76,3428.17
