Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
FERT_AMMO_0001,9.17,239.55,75.63,159.88,3084.55
FERT_AMMO_0002,10.01,228.06,58.35,120.5,2569.12
FERT_AMMO_0003,10.29,127.62,46.45,179.74,4160.82
FERT_AMMO_0004,9.42,267.88,26.48,73.76,2726.55
FERT_AMMO_0005,10.15,178.5,73.96,131.38,2589.03
FERT_AMMO_0006,9.34,117.92,74.95,148.42,2073.95
FERT_AMMO_0007,9.29,169.51,20.31,85.81,4970.84
FERT_AMMO_0008,9.29,284.58,72.59,163.61,2692.25
FERT_AMMO_0009,9.17,108.18,64.82,193.52,4481.43
FERT_AMMO_0010,10.45,265.18,36.06,166.9,2994.88
FERT_AMMO_0011,8.92,220.34,55.6,137.57,2119.3
FERT_AMMO_0012,9.99,244.33,65.44,147.53,2479.85
FERT_AMMO_0013,9.63,117.97,56.77,154.37,3226.46
FERT_AMMO_0014,10.47,209.9,41.94,56.24,4444.64
FERT_AMMO_0015,10.45,281.72,57.68,162.76,3213.75
FERT_AMMO_0016,9.58,106.79,31.57,138.28,3605.91
FERT_AMMO_0017,8.99,135.46,78.52,66.97,4562.58
FERT_AMMO_0018,9.82,243.08,75.82,173.56,3794.42
FERT_AMMO_0019,10.44,135.08,77.07,53.8,3619.02
FERT_AMMO_0020,9.17,103.07,23.6,140.4,3449.14
FERT_AMMO_0021,10.27,114.7,77.62,50.01,3820.17
FERT_AMMO_0022,9.44,251.32,48.63,81.55,3483.16
FERT_AMMO_0023,9.12,233.3,51.95,70.18,4402.53
FERT_AMMO_0024,10.32,179.93,44.04,183.21,2860.36
FERT_AMMO_0025,9.03,272.13,68.23,169.16,3150.89
FERT_AMMO_0026,9.35,199.22,64.89,107.97,2323.94
FERT_AMMO_0027,10.07,181.95,36.52,122.96,2692.95
FERT_AMMO_0028,9.88,140.13,46.99,51.14,4684.92
FERT_AMMO_0029,9.11,298.96,64.66,99.72,2643.06
FERT_AMMO_0030,8.64,165.13,59.83,89.92,4702.57
FERT_AMMO_0031,10.32,217.42,76.1,178.5,4995.91
FERT_AMMO_0032,8.91,155.0,79.13,191.46,3185.27
FERT_AMMO_0033,10.45,267.8,28.15,166.57,2612.35
FERT_AMMO_0034,8.54,196.51,49.24,193.61,2340.91
FERT_AMMO_0035,9.36,253.69,75.11,74.0,3934.44
FERT_AMMO_0036,8.54,139.2,22.88,91.62,3202.99
FERT_AMMO_0037,10.16,252.1,66.83,71.74,4963.38
FERT_AMMO_0038,8.67,106.86,76.5,145.21,4406.42
FERT_AMMO_0039,10.46,221.35,59.64,114.47,4903.46
FERT_AMMO_0040,10.42,128.19,69.31,183.87,3589.63
FERT_AMMO_0041,10.05,103.48,50.93,92.66,4903.85
FERT_AMMO_0042,10.41,252.91,31.33,114.65,2271.14
FERT_AMMO_0043,9.42,202.89,39.97,102.14,2824.23
FERT_AMMO_0044,9.57,252.62,21.95,177.14,4850.51
FERT_AMMO_0045,10.01,254.14,37.16,178.64,4568.25
FERT_AMMO_0046,10.41,268.98,75.33,91.66,3624.53
FERT_AMMO_0047,9.8,226.76,44.48,139.9,4751.21
FERT_AMMO_0048,8.91,116.01,37.73,124.61,2861.23
FERT_AMMO_0049,9.45,143.12,20.81,192.87,3573.73
FERT_AMMO_0050,9.05,296.64,69.44,112.28,4022.41
FERT_AMMO_0051,9.56,246.58,47.28,103.02,4184.4
FERT_AMMO_0052,8.88,152.85,29.07,152.15,3977.07
FERT_AMMO_0053,8.82,100.97,72.97,59.26,2087.07
FERT_AMMO_0054,10.44,255.91,55.77,131.48,2831.85
FERT_AMMO_0055,8.77,283.76,45.72,101.72,2231.8
FERT_AMMO_0056,9.02,170.19,20.1,191.03,2163.88
FERT_AMMO_0057,9.97,125.47,71.74,157.97,2852.85
FERT_AMMO_0058,8.65,298.8,34.62,193.6,2116.58
FERT_AMMO_0059,9.27,109.3,40.88,149.29,3007.03
FERT_AMMO_0060,9.57,165.5,72.87,88.63,3109.1
FERT_AMMO_0061,9.01,280.81,74.74,170.1,3658.32
FERT_AMMO_0062,9.33,244.63,63.79,132.23,2035.51
FERT_AMMO_0063,9.23,213.88,67.12,88.05,2666.95
FERT_AMMO_0064,10.45,207.68,60.43,73.49,3790.7
FERT_AMMO_0065,10.48,155.54,38.4,115.52,3925.38
FERT_AMMO_0066,9.52,101.26,75.39,61.27,4930.0
FERT_AMMO_0067,9.0,237.37,69.23,195.84,2533.58
FERT_AMMO_0068,9.32,185.26,64.59,101.91,2689.12
FERT_AMMO_0069,9.72,261.87,69.06,170.58,4990.96
FERT_AMMO_0070,10.18,204.27,51.64,68.54,2876.64
FERT_AMMO_0071,10.47,278.74,25.68,177.29,2699.71
FERT_AMMO_0072,9.83,242.7,64.99,132.35,4090.06
FERT_AMMO_0073,8.85,274.94,36.95,81.77,2633.58
FERT_AMMO_0074,9.25,196.74,24.16,120.18,4628.97
