Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
FERT_GRAN_0001,8.03,297.51,125.43,2729.42,6567.96
FERT_GRAN_0002,8.35,351.59,107.12,2769.44,7697.51
FERT_GRAN_0003,7.08,340.19,82.9,2919.53,5438.67
FERT_GRAN_0004,8.15,268.44,68.97,2772.84,5083.78
FERT_GRAN_0005,7.24,204.89,147.36,2274.82,4633.08
FERT_GRAN_0006,7.65,365.92,143.86,2366.64,4618.76
FERT_GRAN_0007,8.57,570.24,61.16,2481.13,9855.52
FERT_GRAN_0008,7.13,276.54,121.27,1223.74,9301.64
FERT_GRAN_0009,7.18,506.41,138.95,2107.2,7418.61
FERT_GRAN_0010,7.27,341.9,100.21,2635.7,9792.81
FERT_GRAN_0011,8.05,484.89,85.22,2072.62,5071.46
FERT_GRAN_0012,8.8,366.15,76.68,2603.97,8462.86
FERT_GRAN_0013,7.37,486.39,65.25,1914.51,8561.12
FERT_GRAN_0014,7.14,497.96,140.7,2551.0,9556.27
FERT_GRAN_0015,7.0,548.02,108.89,1012.75,4596.39
FERT_GRAN_0016,7.04,459.68,55.16,2662.55,8089.61
FERT_GRAN_0017,8.29,426.96,104.79,1997.44,4692.92
FERT_GRAN_0018,7.78,429.54,75.58,1282.96,9930.54
FERT_GRAN_0019,7.8,520.38,62.2,1398.36,5626.63
FERT_GRAN_0020,8.72,596.95,126.54,1623.36,4821.11
FERT_GRAN_0021,7.84,355.91,96.96,1815.02,8459.97
FERT_GRAN_0022,7.66,493.38,60.63,2261.48,7964.1
FERT_GRAN_0023,8.37,491.82,122.02,2465.65,9193.98
FERT_GRAN_0024,7.67,323.92,135.13,1623.89,5588.74
FERT_GRAN_0025,8.14,541.79,68.32,1132.84,8412.45
FERT_GRAN_0026,7.4,206.55,110.58,1327.97,4323.26
FERT_GRAN_0027,7.91,268.9,81.21,2538.36,4852.31
FERT_GRAN_0028,7.86,497.78,63.69,2738.97,8780.77
FERT_GRAN_0029,8.11,467.23,86.39,2549.88,9002.26
FERT_GRAN_0030,7.43,524.92,57.78,1249.24,7285.07
FERT_GRAN_0031,8.7,451.5,99.62,1581.84,7207.01
FERT_GRAN_0032,7.45,445.08,113.54,1029.26,9593.28
FERT_GRAN_0033,7.13,355.34,140.6,2575.33,7265.59
FERT_GRAN_0034,7.46,486.42,68.76,1962.49,9813.6
FERT_GRAN_0035,7.55,571.35,111.64,2325.81,7946.06
FERT_GRAN_0036,8.73,278.0,66.17,1752.24,4399.31
FERT_GRAN_0037,7.28,257.39,144.8,2270.6,6316.76
FERT_GRAN_0038,8.2,338.75,108.16,2124.55,7049.2
FERT_GRAN_0039,8.46,202.5,98.13,2530.98,8071.12
FERT_GRAN_0040,7.12,599.66,119.76,2266.29,6424.86
FERT_GRAN_0041,7.19,598.21,141.32,1686.72,5787.9
FERT_GRAN_0042,8.24,439.63,82.28,2564.73,4398.88
FERT_GRAN_0043,7.65,343.02,136.76,2512.0,4297.06
FERT_GRAN_0044,7.02,368.03,94.9,1666.43,9107.61
FERT_GRAN_0045,8.57,353.89,140.98,2251.52,8877.66
FERT_GRAN_0046,7.33,205.67,135.49,2296.22,4837.87
FERT_GRAN_0047,7.17,202.5,82.24,2883.65,5411.96
FERT_GRAN_0048,7.82,388.02,128.78,2611.46,6090.44
FERT_GRAN_0049,7.98,200.68,147.05,1597.78,9902.1
FERT_GRAN_0050,8.01,479.82,63.9,2770.69,4048.5
FERT_GRAN_0051,8.94,412.38,84.4,1126.91,6498.2
FERT_GRAN_0052,7.51,504.55,135.51,2993.28,8774.05
FERT_GRAN_0053,7.54,495.22,136.69,1882.98,4274.75
FERT_GRAN_0054,8.41,231.99,104.52,2843.36,5222.7
FERT_GRAN_0055,7.24,272.35,87.71,1756.44,4651.61
FERT_GRAN_0056,8.09,244.75,142.59,2679.99,9447.11
FERT_GRAN_0057,7.75,443.71,57.12,2190.14,7191.59
FERT_GRAN_0058,7.33,538.36,80.37,1378.57,8354.88
FERT_GRAN_0059,7.57,464.81,138.41,2766.46,9384.27
FERT_GRAN_0060,8.66,592.63,92.5,2932.0,4809.41
FERT_GRAN_0061,8.47,297.1,130.1,2201.54,4364.89
FERT_GRAN_0062,7.48,504.06,93.32,2583.98,9077.98
FERT_GRAN_0063,8.67,368.39,116.43,1007.93,7119.1
FERT_GRAN_0064,8.41,456.92,114.05,1378.87,9929.97
FERT_GRAN_0065,8.1,547.22,79.79,1049.04,9231.34
FERT_GRAN_0066,7.08,482.86,68.89,2222.55,8969.85
FERT_GRAN_0067,7.51,213.82,61.4,1057.38,7223.02
FERT_GRAN_0068,7.57,405.79,138.95,1250.71,9412.56
FERT_GRAN_0069,8.61,538.57,74.05,1183.51,4834.21
FERT_GRAN_0070,7.49,368.69,138.73,1295.21,7484.57
FERT_GRAN_0071,8.26,278.34,144.48,1771.64,4129.74
FERT_GRAN_0072,7.11,365.24,143.24,2362.74,9809.35
FERT_GRAN_0073,7.72,345.26,85.49,1912.33,7435.58
FERT_GRAN_0074,8.44,448.3,86.26,2712.68,7401.19
FERT_GRAN_0075,8.74,536.72,109.32,1686.39,5073.23
FERT_GRAN_0076,7.48,338.77,83.97,1763.74,7954.44
FERT_GRAN_0077,7.14,235.58,74.78,1926.8,7264.06
