Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
FERT_NITR_0001,6.23,142.02,26.12,282.59,5947.18
FERT_NITR_0002,7.88,52.12,33.58,122.98,3874.67
FERT_NITR_0003,6.29,130.75,28.74,245.06,4608.01
FERT_NITR_0004,7.85,112.36,26.97,128.12,6417.53
FERT_NITR_0005,6.44,119.02,26.99,175.85,7353.11
FERT_NITR_0006,7.16,105.14,34.11,199.15,6810.92
FERT_NITR_0007,7.74,55.0,18.77,209.05,6748.72
FERT_NITR_0008,6.33,85.28,12.9,146.32,5636.66
FERT_NITR_0009,7.12,98.57,24.4,193.49,5539.53
FERT_NITR_0010,6.28,82.09,32.63,266.7,3727.39
FERT_NITR_0011,7.12,51.72,30.32,253.7,7765.35
FERT_NITR_0012,6.34,81.23,10.64,207.32,6364.47
FERT_NITR_0013,6.45,138.85,27.97,274.36,5476.98
FERT_NITR_0014,6.27,79.08,21.66,195.68,4968.64
FERT_NITR_0015,6.26,52.71,18.6,234.66,4875.49
FERT_NITR_0016,6.83,91.15,12.34,282.55,6297.01
FERT_NITR_0017,7.61,76.24,25.23,284.13,5088.71
FERT_NITR_0018,6.93,140.26,19.34,147.25,3940.71
FERT_NITR_0019,6.84,101.79,15.83,202.51,4650.09
FERT_NITR_0020,7.07,98.81,35.24,205.61,3061.47
FERT_NITR_0021,7.6,91.02,35.58,190.53,6519.74
FERT_NITR_0022,7.89,78.96,20.45,271.74,5960.11
FERT_NITR_0023,7.78,107.84,20.41,133.96,4246.2
FERT_NITR_0024,7.37,147.45,34.73,174.25,7138.28
FERT_NITR_0025,6.02,100.84,35.04,160.73,5554.96
FERT_NITR_0026,7.95,55.01,23.28,290.57,6865.88
FERT_NITR_0027,7.9,146.0,19.05,255.64,6291.76
FERT_NITR_0028,7.48,72.12,37.95,227.41,3982.9
FERT_NITR_0029,6.47,75.96,30.0,175.86,6107.03
FERT_NITR_0030,6.9,99.13,27.36,186.06,5153.84
FERT_NITR_0031,6.54,98.1,30.82,265.34,3478.41
FERT_NITR_0032,6.64,74.68,32.39,198.85,3050.99
FERT_NITR_0033,7.32,147.12,32.61,134.14,4747.79
FERT_NITR_0034,7.32,94.14,34.96,140.81,7144.28
FERT_NITR_0035,7.95,118.07,17.95,131.42,5635.09
FERT_NITR_0036,6.44,98.94,31.84,266.76,6946.56
FERT_NITR_0037,7.21,89.19,27.29,271.61,5370.01
FERT_NITR_0038,7.29,70.0,27.16,150.36,3172.86
FERT_NITR_0039,7.45,96.48,16.95,199.82,7016.91
FERT_NITR_0040,7.72,140.65,12.36,147.18,7267.25
FERT_NITR_0041,6.43,96.98,39.44,196.31,3700.42
FERT_NITR_0042,7.23,88.13,19.84,208.62,7807.81
FERT_NITR_0043,7.99,95.29,35.91,209.52,6447.02
FERT_NITR_0044,7.62,118.83,33.79,214.36,5256.62
FERT_NITR_0045,6.78,100.0,24.27,279.08,4910.72
FERT_NITR_0046,6.11,92.01,20.28,103.43,6657.47
FERT_NITR_0047,6.69,103.6,13.33,230.27,5712.75
FERT_NITR_0048,7.86,55.86,38.66,210.13,3849.65
FERT_NITR_0049,6.12,92.82,11.44,178.24,7809.35
FERT_NITR_0050,6.74,136.31,35.97,102.38,6219.02
FERT_NITR_0051,7.5,72.08,26.42,230.7,4829.55
FERT_NITR_0052,7.24,66.74,17.5,221.63,7266.48
FERT_NITR_0053,7.16,78.77,18.03,220.03,5310.99
FERT_NITR_0054,6.5,109.6,18.72,100.31,4439.49
FERT_NITR_0055,6.48,110.35,10.15,188.7,4198.69
FERT_NITR_0056,6.57,94.97,26.27,105.99,6133.45
FERT_NITR_0057,7.3,113.93,30.71,151.29,4553.5
FERT_NITR_0058,7.2,90.75,28.98,178.62,3553.26
FERT_NITR_0059,7.7,83.61,24.46,160.97,6655.14
FERT_NITR_0060,7.1,82.76,37.75,107.91,5309.19
FERT_NITR_0061,6.31,130.31,33.7,291.1,5261.7
FERT_NITR_0062,6.77,106.54,18.68,227.59,4885.3
FERT_NITR_0063,7.84,112.28,12.04,124.72,3609.3
FERT_NITR_0064,7.47,88.18,35.98,236.7,4898.52
FERT_NITR_0065,7.42,146.81,33.7,126.57,7372.2
FERT_NITR_0066,7.26,50.6,11.99,274.78,4712.43
FERT_NITR_0067,7.73,141.6,15.24,234.56,4838.13
FERT_NITR_0068,6.22,76.99,17.02,268.68,6384.84
FERT_NITR_0069,6.29,72.47,35.0,266.81,5960.18
FERT_NITR_0070,6.26,81.3,27.1,199.44,7353.61
FERT_NITR_0071,7.67,101.05,14.8,277.39,5210.78
FERT_NITR_0072,6.95,55.54,29.81,148.87,6799.64
FERT_NITR_0073,7.33,118.06,18.54,115.51,6364.56
FERT_NITR_0074,7.21,115.55,36.98,152.62,5006.6
FERT_NITR_0075,7.52,119.62,17.57,250.97,3337.34
FERT_NITR_0076,6.58,52.88,31.93,120.21,3792.28
FERT_NITR_0077,6.88,124.17,35.7,114.95,7836.8
FERT_NITR_0078,6.15,89.45,17.3,213.79,7914.31
FERT_NITR_0079,7.72,80.86,28.87,101.72,7419.06
FERT_NITR_0080,7.85,102.91,21.36,179.13,4598.17
FERT_NITR_0081,7.07,106.47,38.19,242.32,7516.86
FERT_NITR_0082,6.93,57.89,39.9,132.77,5416.74
FERT_NITR_0083,7.25,121.29,20.33,213.29,3464.26
FERT_NITR_0084,7.67,99.96,19.21,134.01,4010.45
FERT_NITR_0085,7.01,88.91,26.9,162.75,4184.81
FERT_NITR_0086,7.85,109.52,23.37,150.14,3874.65
FERT_NITR_0087,7.19,125.73,33.81,164.33,5472.22
FERT_NITR_0088,6.64,137.1,14.73,244.59,4841.77
FERT_NITR_0089,6.3,80.49,15.5,173.11,7024.71
FERT_NITR_0090,7.16,59.74,29.13,246.25,5629.48
FERT_NITR_0091,6.03,137.0,11.35,292.36,6519.01
FERT_NITR_0092,7.83,112.71,38.43,275.66,4435.71
FERT_NITR_0093,7.68,135.45,16.51,111.33,5623.43
FERT_NITR_0094,7.51,75.26,32.82,200.51,6487.82
FERT_NITR_0095,6.16,104.1,16.76,161.27,7717.58
