Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
FERT_PHOS_0001,2.72,205.87,38.63,1421.68,10376.73
FERT_PHOS_0002,3.07,136.73,20.19,1297.36,9974.15
FERT_PHOS_0003,1.73,101.45,31.68,1197.0,6065.92
FERT_PHOS_0004,1.95,247.59,41.32,580.58,8067.05
FERT_PHOS_0005,1.64,242.58,22.53,974.15,5847.32
FERT_PHOS_0006,2.41,173.7,36.12,1223.33,10872.18
FERT_PHOS_0007,2.23,184.9,49.49,1405.49,9692.25
FERT_PHOS_0008,2.41,122.46,24.64,889.52,10553.21
FERT_PHOS_0009,3.32,228.79,34.99,1271.75,8252.96
FERT_PHOS_0010,2.12,146.69,44.97,663.5,9958.47
FERT_PHOS_0011,1.9,196.36,40.3,720.13,11249.09
FERT_PHOS_0012,1.55,189.15,31.18,1264.6,11786.7
FERT_PHOS_0013,2.65,107.07,43.81,535.36,5287.37
FERT_PHOS_0014,2.38,182.26,37.82,1346.74,9050.24
FERT_PHOS_0015,1.82,240.52,24.25,974.26,9784.0
FERT_PHOS_0016,2.23,235.39,43.99,1308.79,5328.85
FERT_PHOS_0017,3.07,148.2,23.08,1315.22,8706.81
FERT_PHOS_0018,1.89,207.81,27.38,1070.95,7208.16
FERT_PHOS_0019,1.84,187.65,47.39,1058.4,11190.72
FERT_PHOS_0020,2.85,157.98,40.15,1011.74,9456.03
FERT_PHOS_0021,1.84,130.3,33.97,927.27,11923.38
FERT_PHOS_0022,2.18,102.24,35.42,584.56,10584.64
FERT_PHOS_0023,2.91,201.35,38.52,555.05,9181.4
FERT_PHOS_0024,1.91,191.24,49.7,1023.72,6056.75
FERT_PHOS_0025,3.1,242.35,29.58,920.2,7625.67
FERT_PHOS_0026,3.5,171.33,41.61,878.27,7431.56
FERT_PHOS_0027,2.2,139.28,47.79,1013.65,11510.45
FERT_PHOS_0028,1.98,219.73,45.54,1310.5,10894.21
FERT_PHOS_0029,3.1,200.99,41.0,1197.63,11040.59
FERT_PHOS_0030,2.46,143.69,39.86,1053.99,10518.15
FERT_PHOS_0031,2.82,171.53,30.19,1424.6,6494.77
FERT_PHOS_0032,2.54,128.85,45.56,614.1,7202.59
FERT_PHOS_0033,2.05,210.09,43.87,760.91,10046.82
FERT_PHOS_0034,1.77,249.0,46.16,1350.94,11480.92
FERT_PHOS_0035,2.63,122.0,38.31,799.16,9414.52
FERT_PHOS_0036,1.61,195.2,49.07,891.56,5278.26
FERT_PHOS_0037,2.73,186.44,39.08,905.13,6279.79
FERT_PHOS_0038,2.31,122.21,49.19,860.16,10976.01
FERT_PHOS_0039,2.36,186.69,21.73,1488.88,6446.17
FERT_PHOS_0040,2.52,233.02,38.41,1154.9,9707.95
FERT_PHOS_0041,2.14,234.87,41.1,1071.71,6273.1
FERT_PHOS_0042,2.61,159.78,21.85,1292.48,6483.3
FERT_PHOS_0043,2.18,106.17,47.06,1204.11,8890.16
FERT_PHOS_0044,2.73,170.3,49.35,568.56,11044.39
FERT_PHOS_0045,3.42,136.67,32.2,1102.12,6578.22
FERT_PHOS_0046,2.46,174.09,43.96,547.23,9028.89
FERT_PHOS_0047,2.81,245.34,42.16,756.39,7427.22
FERT_PHOS_0048,2.35,203.88,38.97,638.85,9699.35
FERT_PHOS_0049,1.61,226.64,48.3,884.66,5218.58
FERT_PHOS_0050,3.43,249.0,20.75,1050.56,6584.43
FERT_PHOS_0051,3.02,105.18,32.77,619.32,9319.09
FERT_PHOS_0052,2.26,193.41,27.13,1034.12,5331.24
FERT_PHOS_0053,2.59,125.49,43.66,596.3,5706.12
FERT_PHOS_0054,2.84,108.43,27.08,1301.94,9270.98
FERT_PHOS_0055,3.09,117.66,34.39,873.07,10557.0
FERT_PHOS_0056,1.54,166.06,36.19,897.89,7122.4
FERT_PHOS_0057,3.29,143.76,23.39,1431.29,9298.1
FERT_PHOS_0058,3.46,240.63,23.9,503.07,11066.43
FERT_PHOS_0059,1.51,244.55,41.09,1470.34,9596.67
FERT_PHOS_0060,2.3,208.48,39.77,1437.85,8016.78
FERT_PHOS_0061,2.26,164.53,28.83,1046.9,8193.7
FERT_PHOS_0062,3.44,181.71,27.9,989.96,11302.59
FERT_PHOS_0063,2.33,153.39,44.49,1209.59,7274.08
FERT_PHOS_0064,3.03,230.84,32.07,679.43,7039.87
FERT_PHOS_0065,1.75,188.58,27.34,1066.77,5377.84
