Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
FMCG_COSM_0001,6.77,6511.2,3718.34,1383.43,3314.39
FMCG_COSM_0002,6.71,8110.4,3241.93,1736.92,2655.9
FMCG_COSM_0003,7.68,8195.33,3253.61,1194.6,3659.48
FMCG_COSM_0004,6.52,9878.24,3912.98,1251.36,2536.92
FMCG_COSM_0005,7.11,8566.8,2607.3,1521.96,2121.52
FMCG_COSM_0006,6.91,9068.42,3412.21,1587.56,3496.56
FMCG_COSM_0007,7.52,9030.84,3294.0,1871.86,2923.17
FMCG_COSM_0008,8.17,8983.62,4180.65,1480.66,3015.47
FMCG_COSM_0009,7.37,6565.3,4044.75,1180.42,3478.14
FMCG_COSM_0010,7.6,7301.42,3642.56,1873.87,2150.33
FMCG_COSM_0011,8.37,6586.55,3215.48,1353.95,3401.81
FMCG_COSM_0012,6.83,8283.97,4273.45,1971.62,3397.54
FMCG_COSM_0013,6.59,6479.58,3259.66,1977.47,2262.27
FMCG_COSM_0014,8.06,6205.08,3559.09,1066.7,2135.49
FMCG_COSM_0015,6.7,6751.77,2767.98,1464.63,2172.17
FMCG_COSM_0016,6.65,8757.51,4044.35,1372.22,3644.25
FMCG_COSM_0017,8.46,9936.94,3848.91,1622.76,2217.83
FMCG_COSM_0018,6.53,6566.22,3426.42,1533.48,3054.55
FMCG_COSM_0019,6.83,9523.85,4191.76,1533.49,2763.22
FMCG_COSM_0020,7.11,7410.44,3401.17,1126.47,3142.21
FMCG_COSM_0021,7.75,8659.54,3474.96,1368.8,3037.2
FMCG_COSM_0022,6.76,9826.38,4182.82,1319.37,3203.99
FMCG_COSM_0023,7.45,7502.04,2862.04,1157.8,3332.66
FMCG_COSM_0024,7.55,7951.57,4080.44,1022.01,3000.86
FMCG_COSM_0025,8.34,7675.84,4150.53,1512.44,3569.86
FMCG_COSM_0026,6.96,8100.8,3590.74,1330.7,2945.39
FMCG_COSM_0027,7.24,9071.11,2850.37,1619.82,2983.89
FMCG_COSM_0028,7.06,8081.72,2578.91,1628.05,3368.91
FMCG_COSM_0029,8.26,9581.15,2806.76,1199.16,3792.86
FMCG_COSM_0030,6.54,7596.22,3848.35,1390.5,2471.4
FMCG_COSM_0031,6.75,6988.37,4435.14,1616.78,2667.71
FMCG_COSM_0032,7.14,6664.73,2882.53,1035.76,3026.22
FMCG_COSM_0033,8.08,9445.64,4373.21,1147.28,2186.1
FMCG_COSM_0034,7.56,6108.41,4243.82,1927.01,2395.39
FMCG_COSM_0035,8.34,7911.97,3657.91,1488.86,2665.13
FMCG_COSM_0036,8.4,8327.7,2623.53,1719.63,2845.0
FMCG_COSM_0037,7.9,7930.37,2541.79,1206.5,2718.21
FMCG_COSM_0038,7.33,8158.17,3393.25,1847.0,3308.86
FMCG_COSM_0039,6.61,6349.96,4376.61,1259.88,2016.53
FMCG_COSM_0040,7.15,8209.78,2650.37,1199.25,2914.3
FMCG_COSM_0041,7.2,8804.11,4454.8,1477.6,3811.14
FMCG_COSM_0042,7.94,6966.96,3026.34,1125.91,2440.49
FMCG_COSM_0043,6.98,8134.66,3121.58,1546.86,2665.07
FMCG_COSM_0044,8.35,9715.73,2659.86,1247.65,2129.86
FMCG_COSM_0045,8.36,8477.64,3637.69,1212.73,3066.15
FMCG_COSM_0046,7.25,8764.9,4155.05,1762.48,2266.07
FMCG_COSM_0047,6.72,8746.35,4421.34,1635.51,2015.53
FMCG_COSM_0048,7.74,6005.67,2708.09,1568.37,3190.65
FMCG_COSM_0049,7.97,7832.87,3038.94,1077.8,3402.77
FMCG_COSM_0050,7.99,8580.2,3048.89,1120.32,3808.07
FMCG_COSM_0051,7.77,6133.53,2510.8,1896.61,3427.23
