Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
FMCG_HOME_0001,10.46,5908.7,2762.09,1380.95,4086.14
FMCG_HOME_0002,10.35,7577.34,4427.29,951.54,5044.08
FMCG_HOME_0003,10.24,8548.47,3745.74,1387.28,4556.61
FMCG_HOME_0004,9.94,8729.77,4199.69,973.25,5043.26
FMCG_HOME_0005,9.9,6848.37,3646.5,1493.15,5871.07
FMCG_HOME_0006,8.87,8407.47,2014.45,857.13,4438.65
FMCG_HOME_0007,9.86,5584.13,2040.21,1005.05,5290.3
FMCG_HOME_0008,9.02,7818.2,4396.11,1494.5,4866.03
FMCG_HOME_0009,10.34,5856.08,3446.84,1249.63,4110.25
FMCG_HOME_0010,9.98,6875.62,3522.69,906.41,3238.83
FMCG_HOME_0011,9.53,8100.97,2601.53,1273.36,4822.51
FMCG_HOME_0012,9.67,7537.22,2435.37,1384.06,4176.8
FMCG_HOME_0013,9.06,8086.87,2559.63,806.77,5235.7
FMCG_HOME_0014,10.11,8825.65,2831.4,993.58,3580.89
FMCG_HOME_0015,9.02,5080.95,2976.8,1498.08,4743.98
FMCG_HOME_0016,9.54,6671.6,2846.3,1341.72,3535.84
FMCG_HOME_0017,8.77,8060.75,2121.58,1183.52,3371.18
FMCG_HOME_0018,9.67,7078.52,3750.27,1138.44,4886.06
FMCG_HOME_0019,9.12,5250.6,2837.74,1430.2,4675.51
FMCG_HOME_0020,9.24,5222.5,2543.75,1284.91,5709.1
FMCG_HOME_0021,9.82,5221.16,2414.44,1086.54,3278.84
FMCG_HOME_0022,9.91,8833.7,2018.29,964.06,3587.09
FMCG_HOME_0023,8.87,8894.85,3314.26,1298.93,3234.34
FMCG_HOME_0024,9.14,5470.39,4178.46,1413.16,4526.23
FMCG_HOME_0025,9.13,8702.85,2292.49,1276.56,4441.8
FMCG_HOME_0026,9.0,5986.33,3870.37,837.37,4902.95
FMCG_HOME_0027,8.84,6563.34,3518.44,1445.85,5353.05
FMCG_HOME_0028,9.51,7599.26,2776.83,1119.14,3223.32
FMCG_HOME_0029,8.62,5518.61,3025.9,1111.21,4874.34
FMCG_HOME_0030,8.92,5935.51,3374.96,1086.59,4203.64
FMCG_HOME_0031,8.86,8600.81,3759.81,1273.98,5479.89
FMCG_HOME_0032,10.09,5065.63,2822.31,1362.94,3292.64
FMCG_HOME_0033,10.32,6845.87,3113.81,1038.88,4137.65
FMCG_HOME_0034,9.75,8899.22,2807.95,1081.96,3413.82
FMCG_HOME_0035,10.41,7223.74,2322.53,1200.58,5265.15
FMCG_HOME_0036,8.69,8000.72,2819.81,1057.08,4594.76
FMCG_HOME_0037,10.08,6956.94,4355.64,1115.66,5932.81
FMCG_HOME_0038,9.38,8039.79,3801.46,1449.2,4727.37
FMCG_HOME_0039,9.13,8434.91,2096.55,1253.22,3666.26
FMCG_HOME_0040,9.28,8676.83,2792.89,856.27,3719.21
FMCG_HOME_0041,9.14,8681.65,3643.96,989.41,4039.74
FMCG_HOME_0042,8.87,7409.79,3606.83,823.58,5191.75
FMCG_HOME_0043,10.01,8706.96,3602.87,1383.01,3707.62
FMCG_HOME_0044,8.73,7005.06,3247.04,1267.7,3910.7
FMCG_HOME_0045,9.19,8023.84,4459.08,1337.86,4004.16
FMCG_HOME_0046,8.92,5980.04,3004.35,906.1,5217.49
FMCG_HOME_0047,10.35,7208.37,2027.19,1251.79,4500.06
FMCG_HOME_0048,9.83,8676.99,2639.66,1135.35,3448.95
FMCG_HOME_0049,8.93,6481.31,3633.49,910.15,5152.0
FMCG_HOME_0050,9.39,6899.03,2768.5,1230.69,3963.99
FMCG_HOME_0051,10.16,6729.67,2176.08,952.32,3309.03
FMCG_HOME_0052,9.1,8168.46,3497.99,1400.4,3905.53
FMCG_HOME_0053,9.62,6555.05,3346.62,834.3,5165.61
FMCG_HOME_0054,9.92,5822.87,2429.46,1068.23,5800.66
FMCG_HOME_0055,9.65,8464.84,3176.97,1361.42,3219.87
FMCG_HOME_0056,8.73,8781.31,2395.17,1287.16,3916.31
FMCG_HOME_0057,9.72,7150.51,4458.74,862.67,3039.69
FMCG_HOME_0058,9.66,5357.98,3007.44,911.87,4806.35
FMCG_HOME_0059,10.28,8271.24,3904.04,1292.79,3029.62
FMCG_HOME_0060,9.7,7645.67,3753.96,935.89,5905.21
FMCG_HOME_0061,8.87,5967.71,3844.49,842.22,3140.67
FMCG_HOME_0062,8.75,7390.36,2718.03,1352.58,3595.99
FMCG_HOME_0063,9.04,8189.54,3765.41,1381.72,3463.21
FMCG_HOME_0064,10.12,7208.79,2416.4,1292.31,5034.46
FMCG_HOME_0065,9.74,7374.43,4259.06,807.93,3972.78
FMCG_HOME_0066,9.89,7958.97,3076.93,1183.49,4280.19
FMCG_HOME_0067,10.02,7980.0,3052.05,958.01,5793.97
FMCG_HOME_0068,10.1,6431.74,2228.28,1130.18,5318.23
FMCG_HOME_0069,9.37,7694.05,4416.09,1443.64,5473.17
FMCG_HOME_0070,9.38,5051.28,2563.33,1227.92,3137.01
FMCG_HOME_0071,9.4,8110.9,3303.47,1285.43,4882.66
FMCG_HOME_0072,9.85,7523.57,3044.82,1298.06,3290.32
FMCG_HOME_0073,10.3,7560.39,4109.89,1396.23,3823.75
FMCG_HOME_0074,9.0,8390.18,2994.85,887.25,5191.29
FMCG_HOME_0075,8.84,8669.06,3227.3,1115.8,3227.96
FMCG_HOME_0076,10.0,6714.43,3978.13,1024.26,5738.47
FMCG_HOME_0077,9.88,8005.97,4316.66,899.24,5897.13
FMCG_HOME_0078,8.59,7677.56,2147.41,816.22,5090.1
FMCG_HOME_0079,9.58,6611.5,2363.92,900.04,3228.61
FMCG_HOME_0080,8.87,6822.4,2572.87,1197.83,5088.5
FMCG_HOME_0081,8.7,6444.63,3256.99,1287.41,3610.35
FMCG_HOME_0082,9.77,5520.11,4367.24,836.41,4116.77
FMCG_HOME_0083,8.69,8133.87,3710.25,1491.13,5682.83
FMCG_HOME_0084,10.28,6820.76,2793.49,1395.52,4812.54
FMCG_HOME_0085,10.2,5336.45,4464.41,1012.11,5460.16
FMCG_HOME_0086,8.72,8461.99,4212.07,1416.27,5417.64
FMCG_HOME_0087,8.69,8290.69,3617.25,1127.51,4167.54
FMCG_HOME_0088,8.98,6577.82,4276.75,1437.84,5007.24
FMCG_HOME_0089,9.57,7640.99,2225.88,905.06,4551.0
FMCG_HOME_0090,10.27,7117.09,2044.6,819.36,5282.73
FMCG_HOME_0091,9.83,6412.3,2475.92,1019.71,5518.97
FMCG_HOME_0092,10.46,8859.3,4158.32,868.22,3050.47
FMCG_HOME_0093,10.24,6232.9,2178.14,1376.11,4027.79
FMCG_HOME_0094,9.27,8785.16,3908.86,1260.49,3809.08
FMCG_HOME_0095,10.24,8095.22,3537.07,1498.47,4790.34
FMCG_HOME_0096,8.72,6863.61,4089.45,1465.01,3626.79
FMCG_HOME_0097,9.31,8995.23,2661.94,1360.24,4499.03
FMCG_HOME_0098,9.15,5733.53,2086.45,1214.57,5016.06
FMCG_HOME_0099,9.48,5461.18,4299.33,1335.35,4857.96
FMCG_HOME_0100,9.41,5829.88,4384.24,1015.02,5881.74
FMCG_HOME_0101,9.62,7658.21,2030.47,944.52,3939.77
FMCG_HOME_0102,8.74,8676.14,3611.8,954.13,5687.97
FMCG_HOME_0103,8.7,8590.98,2044.91,1204.85,4143.28
FMCG_HOME_0104,9.61,6028.14,3057.41,906.57,4617.17
FMCG_HOME_0105,9.63,7575.38,2253.47,873.31,4025.59
FMCG_HOME_0106,10.36,6365.41,4483.63,1147.32,5900.54
FMCG_HOME_0107,8.75,8032.6,4252.03,950.36,5258.57
FMCG_HOME_0108,9.66,8116.79,3530.69,1373.96,3800.82
FMCG_HOME_0109,8.57,7389.18,3742.24,1371.32,4033.56
FMCG_HOME_0110,10.02,5955.44,2694.65,1269.29,3404.85
FMCG_HOME_0111,9.23,5277.69,4262.82,1399.9,5775.53
FMCG_HOME_0112,9.65,8836.12,3321.66,1128.54,5039.1
FMCG_HOME_0113,9.27,8492.17,2827.22,1314.8,3631.52
FMCG_HOME_0114,8.61,8502.03,2440.74,1381.06,4239.8
FMCG_HOME_0115,10.26,6617.45,3610.87,1383.3,3294.38
FMCG_HOME_0116,8.97,6779.64,2581.15,1011.04,4480.1
FMCG_HOME_0117,10.45,6638.43,4231.56,1083.95,4373.48
FMCG_HOME_0118,9.99,8382.71,3861.84,836.64,3902.72
FMCG_HOME_0119,8.98,8335.75,4442.72,1030.13,5759.88
FMCG_HOME_0120,8.53,6141.59,4174.53,809.0,4561.33
FMCG_HOME_0121,9.8,5344.57,3657.28,898.03,3838.51
FMCG_HOME_0122,10.09,5880.1,2540.55,1274.59,5143.41
FMCG_HOME_0123,8.61,7256.97,3236.01,1082.52,4651.01
FMCG_HOME_0124,9.21,7173.42,3512.15,1412.04,5132.64
FMCG_HOME_0125,10.09,7952.54,2514.64,806.62,5304.84
FMCG_HOME_0126,8.87,5780.51,2226.38,1386.47,3921.6
FMCG_HOME_0127,9.67,8023.17,3359.81,1461.97,4096.78
FMCG_HOME_0128,9.52,5550.27,2638.66,1208.96,5171.57
