Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
FMCG_PERS_0001,9.49,5896.0,2768.77,505.08,2350.79
FMCG_PERS_0002,8.17,6404.57,2616.77,597.04,2211.74
FMCG_PERS_0003,8.47,7936.88,2566.35,580.01,2337.34
FMCG_PERS_0004,8.77,4044.26,3324.41,860.66,2433.01
FMCG_PERS_0005,9.48,4805.31,2833.43,835.1,1724.16
FMCG_PERS_0006,8.63,6471.41,3839.46,762.39,2507.93
FMCG_PERS_0007,7.57,4377.08,2477.0,585.47,1800.41
FMCG_PERS_0008,8.28,7636.41,1869.03,656.04,2445.16
FMCG_PERS_0009,8.18,4039.25,2963.92,659.81,1928.77
FMCG_PERS_0010,8.62,4801.4,1941.52,778.52,1952.41
FMCG_PERS_0011,8.57,5870.78,3924.34,721.61,2453.03
FMCG_PERS_0012,8.23,5815.3,3679.15,1021.42,2422.45
FMCG_PERS_0013,9.29,4218.71,2860.21,1135.69,2931.92
FMCG_PERS_0014,8.42,6705.36,3487.9,612.98,1573.33
FMCG_PERS_0015,9.11,5500.87,3738.18,646.18,2320.1
FMCG_PERS_0016,9.33,7675.97,2373.7,1086.06,2833.86
FMCG_PERS_0017,8.76,7926.31,3394.3,1077.32,2556.71
FMCG_PERS_0018,9.04,6242.67,3484.64,569.3,2967.2
FMCG_PERS_0019,9.24,5021.31,2644.01,913.71,1668.92
FMCG_PERS_0020,8.84,4680.2,3802.2,666.96,2056.07
FMCG_PERS_0021,9.34,5436.46,3898.97,652.54,2816.45
FMCG_PERS_0022,8.35,7565.43,3525.63,940.72,2396.33
FMCG_PERS_0023,7.73,7578.85,3814.8,976.22,2986.47
FMCG_PERS_0024,7.89,7193.88,3769.84,693.39,2768.12
FMCG_PERS_0025,8.47,7169.9,3958.0,1106.6,2252.17
FMCG_PERS_0026,8.49,5099.82,2490.27,609.54,1865.03
FMCG_PERS_0027,8.21,4074.17,3897.58,521.74,2267.53
FMCG_PERS_0028,7.55,5678.94,3441.34,1072.61,2498.55
FMCG_PERS_0029,8.58,6440.62,2707.98,737.13,1984.66
FMCG_PERS_0030,7.91,7244.17,2962.56,1027.24,2127.36
FMCG_PERS_0031,9.22,4192.77,2434.96,628.4,2256.77
FMCG_PERS_0032,8.56,5031.37,1961.7,514.36,2283.25
FMCG_PERS_0033,9.45,7059.51,2450.38,796.34,2400.74
FMCG_PERS_0034,9.08,6564.76,1870.25,678.61,2456.49
FMCG_PERS_0035,9.36,6372.57,2206.63,670.64,2400.41
FMCG_PERS_0036,7.77,7349.09,2066.34,694.42,1985.75
FMCG_PERS_0037,8.74,6356.55,2929.74,1185.69,1779.8
FMCG_PERS_0038,8.49,5178.96,3709.42,1133.9,2511.6
FMCG_PERS_0039,8.89,5221.42,2423.01,862.22,2284.99
FMCG_PERS_0040,8.98,4534.15,3862.86,1035.31,1751.31
FMCG_PERS_0041,7.92,6868.62,3601.46,1100.52,1893.52
FMCG_PERS_0042,7.53,7806.38,3692.15,1167.87,1770.04
FMCG_PERS_0043,7.89,7554.7,1857.89,1174.8,1562.92
FMCG_PERS_0044,8.23,6464.73,3040.94,1187.45,2201.27
FMCG_PERS_0045,7.88,6838.19,2668.66,979.85,2141.82
FMCG_PERS_0046,7.96,5291.97,2424.93,978.32,2921.56
FMCG_PERS_0047,9.07,6451.55,2496.48,549.79,1542.55
FMCG_PERS_0048,8.1,6852.38,2398.06,949.28,2965.74
FMCG_PERS_0049,9.29,6259.58,3620.73,871.2,2503.37
FMCG_PERS_0050,9.33,6905.27,2724.99,549.24,1663.43
FMCG_PERS_0051,8.98,5947.65,1996.39,937.27,1755.59
FMCG_PERS_0052,7.94,4692.44,3698.65,1108.75,1891.24
FMCG_PERS_0053,7.63,4760.87,3854.43,945.23,1628.71
FMCG_PERS_0054,8.76,6441.51,3771.98,645.32,2931.96
FMCG_PERS_0055,7.7,6505.1,3723.52,732.66,2841.04
FMCG_PERS_0056,9.44,6319.09,3796.48,753.0,2074.44
FMCG_PERS_0057,7.97,6409.92,3757.23,700.67,2872.73
FMCG_PERS_0058,8.15,5493.91,2517.73,525.58,2029.17
FMCG_PERS_0059,8.34,6276.16,2011.83,693.14,2673.14
FMCG_PERS_0060,7.73,7895.67,3857.59,649.06,2852.92
FMCG_PERS_0061,8.62,6422.78,1827.32,773.07,1516.83
FMCG_PERS_0062,9.09,5765.87,2826.78,1182.62,2649.23
FMCG_PERS_0063,8.24,7278.03,2831.28,850.97,2167.67
FMCG_PERS_0064,8.57,7059.39,3615.68,653.53,2386.62
FMCG_PERS_0065,7.88,6000.56,3061.81,543.24,2205.99
FMCG_PERS_0066,8.42,6114.64,2636.31,1129.64,2904.85
FMCG_PERS_0067,9.25,6986.78,1922.48,503.29,2614.23
FMCG_PERS_0068,9.4,4508.94,3137.17,810.91,2037.85
FMCG_PERS_0069,9.29,5600.04,3686.85,810.96,2661.25
FMCG_PERS_0070,8.07,4117.04,3124.76,526.31,2109.99
FMCG_PERS_0071,7.89,6269.31,3104.82,1040.0,1795.44
FMCG_PERS_0072,9.4,4103.38,2641.41,640.41,2518.31
FMCG_PERS_0073,7.88,6873.58,3973.48,1144.84,1992.22
FMCG_PERS_0074,8.04,4514.42,2177.17,1017.03,2137.73
FMCG_PERS_0075,9.32,5497.22,1942.64,1120.23,2631.16
FMCG_PERS_0076,7.59,5644.87,1981.34,1124.54,1592.62
FMCG_PERS_0077,8.74,5431.14,2892.37,1170.09,2022.75
