Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
IRON_BLAS_0001,8.21,113.72,64.33,2430.21,2235.29
IRON_BLAS_0002,7.41,349.19,38.21,2316.6,2479.63
IRON_BLAS_0003,7.42,244.63,23.11,4088.63,1185.26
IRON_BLAS_0004,7.61,276.18,54.34,4155.33,1971.17
IRON_BLAS_0005,7.17,193.98,21.59,2292.29,2424.56
IRON_BLAS_0006,8.35,200.04,77.29,3231.22,2370.45
IRON_BLAS_0007,7.21,364.36,72.96,2989.92,1457.85
IRON_BLAS_0008,8.49,219.68,46.07,4169.96,2923.0
IRON_BLAS_0009,7.88,366.68,64.64,4797.46,2668.43
IRON_BLAS_0010,7.54,388.95,56.01,2860.53,1993.96
IRON_BLAS_0011,8.3,328.3,59.71,2473.45,1193.89
IRON_BLAS_0012,7.89,288.96,23.82,2820.96,2877.29
IRON_BLAS_0013,8.2,382.09,41.35,3545.57,2847.43
IRON_BLAS_0014,8.15,317.16,52.31,3869.86,2170.48
IRON_BLAS_0015,7.99,233.59,38.36,4338.43,2568.18
IRON_BLAS_0016,7.4,165.13,75.58,4261.68,1537.91
IRON_BLAS_0017,8.26,114.79,66.18,3866.12,2231.11
IRON_BLAS_0018,8.01,101.7,72.3,4843.73,2431.14
IRON_BLAS_0019,7.83,206.4,44.89,2070.28,2249.69
IRON_BLAS_0020,8.34,216.89,68.49,3127.93,1522.56
IRON_BLAS_0021,7.76,210.82,22.08,3007.4,1862.73
IRON_BLAS_0022,7.02,394.04,73.9,4162.69,2755.07
IRON_BLAS_0023,7.98,242.31,65.74,2660.1,2363.86
IRON_BLAS_0024,7.63,356.37,20.36,2922.89,2231.36
IRON_BLAS_0025,7.7,359.88,38.62,4587.61,2463.51
IRON_BLAS_0026,7.44,388.43,56.78,4554.33,1787.08
IRON_BLAS_0027,7.61,304.43,48.12,4623.29,2670.51
IRON_BLAS_0028,8.14,170.05,67.04,4215.45,1831.49
IRON_BLAS_0029,7.52,396.2,39.01,4063.98,2969.48
IRON_BLAS_0030,7.28,279.18,26.84,2738.21,1736.89
IRON_BLAS_0031,8.12,358.02,34.99,4072.86,1515.02
IRON_BLAS_0032,7.32,122.47,61.98,4884.66,2939.39
IRON_BLAS_0033,8.27,110.28,79.17,2621.83,2509.98
IRON_BLAS_0034,7.94,363.66,47.41,4041.09,1926.47
IRON_BLAS_0035,7.92,292.26,69.81,4039.69,1151.29
IRON_BLAS_0036,8.36,279.62,40.82,4183.38,1354.58
IRON_BLAS_0037,8.06,357.35,56.21,3611.41,2247.17
IRON_BLAS_0038,7.62,261.49,61.39,4500.6,1977.96
IRON_BLAS_0039,7.67,122.96,70.5,4229.94,2635.61
IRON_BLAS_0040,7.93,191.51,20.59,4849.35,2307.87
IRON_BLAS_0041,8.34,138.01,71.91,2076.03,1551.6
IRON_BLAS_0042,8.3,298.72,31.09,3151.56,2934.22
IRON_BLAS_0043,7.85,113.09,20.71,3720.77,2981.62
IRON_BLAS_0044,7.76,194.89,22.05,3246.04,2287.26
IRON_BLAS_0045,8.11,363.71,64.88,2217.48,1561.37
IRON_BLAS_0046,8.43,185.86,48.08,2529.38,1887.41
IRON_BLAS_0047,8.21,212.01,33.15,2553.77,2684.27
IRON_BLAS_0048,7.51,162.84,31.86,4816.83,2984.3
IRON_BLAS_0049,8.28,198.08,41.1,4732.36,1320.01
IRON_BLAS_0050,8.18,294.55,56.26,2608.57,1048.86
IRON_BLAS_0051,8.14,285.93,75.79,2875.54,2055.1
IRON_BLAS_0052,8.19,360.74,70.82,2084.18,2421.57
IRON_BLAS_0053,7.54,199.65,74.83,3201.42,1250.47
IRON_BLAS_0054,7.77,250.27,46.64,3144.26,1621.94
IRON_BLAS_0055,7.5,263.33,25.9,3034.15,1813.78
IRON_BLAS_0056,8.28,274.77,23.52,3976.89,1390.99
IRON_BLAS_0057,8.09,164.38,62.05,4487.18,1485.67
IRON_BLAS_0058,7.17,359.28,72.2,3612.4,1342.61
IRON_BLAS_0059,8.34,297.5,27.96,4399.75,1754.38
IRON_BLAS_0060,7.66,185.14,78.49,2061.81,2479.25
IRON_BLAS_0061,7.89,259.14,55.85,3262.47,2609.03
IRON_BLAS_0062,7.41,210.11,69.4,2674.35,2032.17
IRON_BLAS_0063,7.19,311.89,56.08,2926.75,2741.07
IRON_BLAS_0064,8.15,188.84,32.61,3555.07,2832.57
IRON_BLAS_0065,8.5,132.33,25.84,4375.2,1972.18
IRON_BLAS_0066,8.08,220.42,62.02,3789.15,2637.41
IRON_BLAS_0067,7.34,152.9,60.45,2426.67,1560.42
IRON_BLAS_0068,8.28,377.21,71.72,4287.57,2201.09
IRON_BLAS_0069,7.82,165.54,53.93,4302.29,1964.51
IRON_BLAS_0070,7.15,366.09,56.25,3751.66,2986.04
IRON_BLAS_0071,8.18,312.76,26.16,2609.11,2545.53
IRON_BLAS_0072,7.7,168.68,75.05,2579.95,1427.02
IRON_BLAS_0073,7.71,108.67,65.71,2491.51,1014.22
IRON_BLAS_0074,8.25,227.89,24.04,4349.63,1959.46
IRON_BLAS_0075,8.32,304.07,57.72,2844.05,1610.86
IRON_BLAS_0076,7.66,105.98,50.55,4827.21,1208.31
IRON_BLAS_0077,7.04,267.01,72.62,3372.71,1207.53
IRON_BLAS_0078,8.26,119.99,70.18,2994.46,1668.34
IRON_BLAS_0079,8.22,153.06,27.62,2962.67,2086.37
IRON_BLAS_0080,7.14,304.31,21.63,2166.73,2622.68
IRON_BLAS_0081,7.52,146.17,48.59,2813.19,2343.01
IRON_BLAS_0082,8.28,339.17,77.15,3950.77,1772.67
IRON_BLAS_0083,7.12,330.86,39.28,3620.93,1469.56
IRON_BLAS_0084,7.35,375.94,66.81,2771.84,1899.77
IRON_BLAS_0085,7.19,258.08,74.03,4245.96,1995.19
