Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
IRON_COKE_0001,9.21,4821.16,536.6,376.84,7126.94
IRON_COKE_0002,8.25,5792.64,600.71,787.88,3079.04
IRON_COKE_0003,8.95,3007.73,715.18,429.25,7320.14
IRON_COKE_0004,8.79,4253.75,1462.22,761.98,6757.41
IRON_COKE_0005,8.14,5529.58,911.4,346.83,5223.07
IRON_COKE_0006,8.08,5038.71,1148.93,362.95,5969.51
IRON_COKE_0007,8.22,3677.58,715.05,327.44,6565.5
IRON_COKE_0008,9.27,3790.94,1410.48,614.93,7040.72
IRON_COKE_0009,9.49,3730.25,1488.13,728.64,3323.24
IRON_COKE_0010,8.89,3852.01,1098.02,505.46,6400.63
IRON_COKE_0011,9.19,5565.83,773.01,488.83,3098.7
IRON_COKE_0012,8.2,5344.43,1157.89,545.06,6779.42
IRON_COKE_0013,8.5,4284.87,877.61,241.84,4761.81
IRON_COKE_0014,9.45,5306.46,1352.2,343.34,7582.24
IRON_COKE_0015,8.49,3557.1,1210.21,424.38,6956.37
IRON_COKE_0016,8.22,3302.5,1290.09,643.7,5386.23
IRON_COKE_0017,9.11,4206.34,764.22,271.8,5453.77
IRON_COKE_0018,9.18,5840.89,844.14,310.69,5138.49
IRON_COKE_0019,8.11,4360.98,1087.9,229.96,7628.46
IRON_COKE_0020,8.32,5528.48,1291.44,368.11,6505.18
IRON_COKE_0021,9.41,4555.46,896.82,354.18,6003.15
IRON_COKE_0022,9.23,3626.44,1447.07,731.89,5939.28
IRON_COKE_0023,8.09,3311.67,1417.95,573.71,5552.39
IRON_COKE_0024,9.43,3168.85,664.07,405.35,7960.4
IRON_COKE_0025,8.81,3931.4,1380.27,372.38,4046.21
IRON_COKE_0026,9.32,4045.19,999.87,780.61,4273.77
IRON_COKE_0027,9.3,4787.6,992.74,286.9,6937.0
IRON_COKE_0028,9.28,3550.29,724.22,282.3,7762.78
IRON_COKE_0029,8.48,3764.91,1472.99,432.17,6704.26
IRON_COKE_0030,8.52,5363.17,1486.42,729.9,5287.1
IRON_COKE_0031,8.04,3995.06,1038.12,562.32,3997.66
IRON_COKE_0032,9.45,3192.67,953.73,324.23,6575.15
IRON_COKE_0033,8.21,5704.99,857.71,389.06,3469.48
IRON_COKE_0034,8.72,5840.09,551.94,617.18,4732.5
IRON_COKE_0035,8.15,3204.35,1111.43,383.9,3285.72
IRON_COKE_0036,9.47,4034.61,814.97,683.21,6626.38
IRON_COKE_0037,8.15,3545.4,688.91,478.45,6687.17
IRON_COKE_0038,8.06,3828.21,1096.89,368.77,7881.54
IRON_COKE_0039,8.51,4118.39,796.61,299.0,4203.07
IRON_COKE_0040,8.65,3323.01,1424.05,552.73,7961.24
IRON_COKE_0041,9.01,3258.91,610.47,473.34,4720.87
IRON_COKE_0042,8.17,3006.89,1191.05,451.93,6747.12
IRON_COKE_0043,8.63,4006.59,599.0,268.82,4708.02
IRON_COKE_0044,8.48,3392.15,735.89,534.25,7784.01
IRON_COKE_0045,8.98,3596.43,1315.56,228.7,3824.26
IRON_COKE_0046,9.25,4985.19,859.49,400.18,6551.43
IRON_COKE_0047,8.11,3903.54,1069.24,475.61,4551.94
IRON_COKE_0048,8.83,3849.08,1408.25,595.9,7086.26
IRON_COKE_0049,8.72,3572.74,716.0,579.5,3408.6
IRON_COKE_0050,8.03,3652.62,521.69,709.45,5199.86
IRON_COKE_0051,8.92,4142.42,945.22,665.45,6672.09
IRON_COKE_0052,8.42,5062.75,963.74,215.53,6864.45
IRON_COKE_0053,8.02,5646.32,1351.05,209.87,5626.65
IRON_COKE_0054,9.14,3002.6,1018.65,769.94,6802.3
IRON_COKE_0055,9.2,4411.27,829.67,205.31,3062.59
IRON_COKE_0056,9.09,3363.76,1391.95,703.26,6274.04
IRON_COKE_0057,8.04,5941.72,948.04,673.31,3587.09
