Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
IRON_COOL_0001,8.48,501.3,77.84,3265.3,3542.97
IRON_COOL_0002,8.2,565.85,125.37,2808.76,2396.42
IRON_COOL_0003,7.72,583.27,145.26,3069.99,3444.53
IRON_COOL_0004,7.94,381.02,93.99,3108.64,4788.25
IRON_COOL_0005,8.27,337.54,55.44,1553.93,3519.3
IRON_COOL_0006,7.98,235.31,117.43,1922.2,4977.63
IRON_COOL_0007,7.87,447.46,70.31,2650.93,3287.36
IRON_COOL_0008,8.22,265.67,106.79,3433.46,3838.92
IRON_COOL_0009,7.77,564.31,129.3,3382.46,2805.12
IRON_COOL_0010,8.21,214.56,130.23,1685.72,2255.09
IRON_COOL_0011,8.88,264.32,104.54,1699.73,2240.4
IRON_COOL_0012,7.84,255.62,127.02,3212.3,4511.32
IRON_COOL_0013,8.7,406.85,100.91,2840.36,4411.93
IRON_COOL_0014,8.32,545.0,81.36,3251.65,3043.98
IRON_COOL_0015,8.93,428.53,68.59,1968.35,2860.05
IRON_COOL_0016,8.05,584.2,136.41,3732.03,4059.54
IRON_COOL_0017,8.2,409.95,63.66,3817.14,3798.92
IRON_COOL_0018,7.52,478.84,64.67,3317.54,3104.65
IRON_COOL_0019,8.96,226.79,73.31,2427.31,2194.14
IRON_COOL_0020,8.25,267.18,56.69,2696.38,2690.29
IRON_COOL_0021,7.53,268.51,139.05,2732.93,3320.65
IRON_COOL_0022,8.74,440.02,72.99,3017.38,4516.79
IRON_COOL_0023,8.98,491.0,107.5,2828.59,2285.94
IRON_COOL_0024,7.97,392.91,81.54,1797.67,4569.27
IRON_COOL_0025,7.69,415.2,128.21,2543.26,3429.15
IRON_COOL_0026,8.76,217.86,92.97,2676.83,4903.6
IRON_COOL_0027,7.68,481.64,144.31,2544.74,3727.69
IRON_COOL_0028,8.11,483.02,148.4,3602.59,3807.1
IRON_COOL_0029,7.72,353.51,130.4,3024.56,3168.49
