Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
IRON_PICK_0001,2.16,91.36,18.01,1842.48,25207.27
IRON_PICK_0002,1.1,63.46,2.72,842.24,28399.91
IRON_PICK_0003,1.35,108.32,17.68,1470.75,20597.6
IRON_PICK_0004,1.41,129.1,6.37,835.4,13929.95
IRON_PICK_0005,1.79,190.29,7.53,1034.11,26512.28
IRON_PICK_0006,2.03,181.06,9.74,1968.81,10825.08
IRON_PICK_0007,1.83,59.97,1.43,1505.82,10698.46
IRON_PICK_0008,1.68,103.81,17.63,962.5,16124.98
IRON_PICK_0009,2.44,74.27,7.65,944.94,11437.35
IRON_PICK_0010,1.96,151.01,0.53,1242.0,26172.47
IRON_PICK_0011,2.08,111.71,16.21,1139.53,28071.71
IRON_PICK_0012,2.46,124.18,1.8,806.27,12608.92
IRON_PICK_0013,1.76,109.71,9.61,1673.89,16687.25
IRON_PICK_0014,1.25,117.66,18.86,1429.74,26051.95
IRON_PICK_0015,1.54,138.07,14.29,819.14,28189.87
IRON_PICK_0016,2.2,62.23,11.65,1467.69,21710.01
IRON_PICK_0017,1.78,95.93,5.08,1695.05,13877.59
IRON_PICK_0018,2.09,134.78,5.15,1042.2,10310.7
IRON_PICK_0019,1.16,89.97,8.51,1998.21,20295.8
IRON_PICK_0020,1.03,95.45,9.48,1839.32,21326.18
IRON_PICK_0021,1.44,124.51,1.07,1474.19,25633.39
IRON_PICK_0022,2.26,146.55,4.04,1674.3,23827.69
IRON_PICK_0023,1.82,88.14,6.86,895.26,24137.59
IRON_PICK_0024,1.4,154.94,3.63,827.23,23602.06
IRON_PICK_0025,1.02,124.24,16.02,1661.59,29082.63
IRON_PICK_0026,2.36,110.74,16.66,1252.32,29726.79
IRON_PICK_0027,1.52,145.97,6.3,1022.82,10221.56
IRON_PICK_0028,1.14,159.77,0.95,1509.23,11217.79
IRON_PICK_0029,1.99,105.77,1.67,1723.08,25649.78
IRON_PICK_0030,1.02,103.06,17.59,976.77,17899.79
IRON_PICK_0031,1.54,186.01,19.12,1287.9,27361.61
IRON_PICK_0032,1.26,88.22,7.58,863.22,12975.2
IRON_PICK_0033,1.75,161.11,6.7,1881.97,20364.37
IRON_PICK_0034,2.2,121.3,2.49,1937.07,23506.19
IRON_PICK_0035,1.06,180.56,10.33,1405.93,19567.35
IRON_PICK_0036,1.44,184.14,3.65,1846.94,21711.37
IRON_PICK_0037,1.94,112.91,6.97,1324.04,23901.49
IRON_PICK_0038,1.33,167.35,17.33,1389.74,17597.36
IRON_PICK_0039,1.14,59.94,13.84,1881.25,22151.27
IRON_PICK_0040,2.36,139.54,18.66,1983.98,27502.31
IRON_PICK_0041,1.42,119.47,11.48,1721.95,11828.86
IRON_PICK_0042,1.35,163.36,18.64,1664.21,20275.23
IRON_PICK_0043,1.95,196.41,16.06,1651.84,10558.13
IRON_PICK_0044,2.2,182.81,6.43,1062.29,22110.92
IRON_PICK_0045,1.63,178.52,16.04,1688.2,26979.15
IRON_PICK_0046,1.62,144.47,6.54,1578.95,23470.5
IRON_PICK_0047,1.83,182.08,1.98,1051.38,18702.87
IRON_PICK_0048,1.23,130.24,9.74,1624.73,29462.29
IRON_PICK_0049,1.48,183.36,12.44,923.0,28546.4
IRON_PICK_0050,1.05,85.0,3.36,1859.65,13890.31
IRON_PICK_0051,2.19,125.34,2.68,1080.47,18083.55
IRON_PICK_0052,1.85,151.38,2.9,936.66,29925.58
IRON_PICK_0053,2.04,142.66,3.38,868.02,29129.28
IRON_PICK_0054,2.28,199.57,4.76,1382.73,28058.94
IRON_PICK_0055,1.9,90.2,8.14,1949.4,13154.16
IRON_PICK_0056,1.85,198.72,14.27,1216.29,27509.02
IRON_PICK_0057,2.3,71.21,11.0,1886.8,22636.79
IRON_PICK_0058,1.88,165.45,16.53,1961.05,27235.14
IRON_PICK_0059,1.29,177.03,2.39,1595.47,21008.86
IRON_PICK_0060,1.5,149.05,13.31,1515.38,16054.62
IRON_PICK_0061,1.72,75.96,19.43,1373.39,10742.89
IRON_PICK_0062,1.3,71.87,8.26,903.35,15494.8
IRON_PICK_0063,1.42,184.93,18.37,859.46,16752.44
IRON_PICK_0064,1.46,58.4,2.91,1733.57,15235.88
IRON_PICK_0065,1.81,100.18,10.71,1160.87,16354.48
IRON_PICK_0066,1.92,60.59,2.23,1367.82,26625.09
IRON_PICK_0067,2.34,133.12,10.48,1907.62,29041.54
IRON_PICK_0068,2.32,120.05,9.55,1689.88,22708.41
IRON_PICK_0069,1.26,185.98,10.61,1322.12,12655.68
IRON_PICK_0070,1.39,149.71,7.93,1661.98,26480.67
IRON_PICK_0071,1.86,147.35,10.12,1788.13,21698.36
IRON_PICK_0072,1.61,101.58,5.07,1238.26,29253.87
IRON_PICK_0073,1.9,156.4,1.61,1483.0,22126.24
IRON_PICK_0074,2.05,73.85,18.76,1434.79,14521.89
IRON_PICK_0075,1.1,85.47,0.93,924.56,18877.8
IRON_PICK_0076,1.8,159.64,15.98,1502.8,11247.59
IRON_PICK_0077,1.55,198.83,3.64,1516.73,29508.23
IRON_PICK_0078,2.39,70.69,12.5,1563.6,21736.09
IRON_PICK_0079,2.13,101.74,4.6,964.48,29968.13
IRON_PICK_0080,1.17,93.56,19.02,1849.38,27986.7
IRON_PICK_0081,1.63,196.97,15.75,1145.25,21424.0
IRON_PICK_0082,2.02,151.64,1.49,1438.74,11411.66
IRON_PICK_0083,1.75,50.17,3.55,968.74,13041.71
IRON_PICK_0084,1.05,178.66,8.94,1430.05,24455.67
IRON_PICK_0085,2.43,123.34,6.76,1880.66,23590.22
IRON_PICK_0086,2.1,56.2,13.67,811.74,18126.01
IRON_PICK_0087,2.28,81.07,8.06,1668.8,18135.66
IRON_PICK_0088,1.07,141.35,8.77,1242.84,15049.89
IRON_PICK_0089,1.99,64.09,11.15,1608.88,29020.68
IRON_PICK_0090,2.32,75.84,2.37,1271.53,21995.54
IRON_PICK_0091,1.82,95.65,9.95,824.64,16168.88
IRON_PICK_0092,2.45,169.84,1.83,1885.84,29881.17
IRON_PICK_0093,1.45,53.92,1.51,802.63,26054.12
IRON_PICK_0094,1.2,77.92,16.48,1937.85,20164.14
IRON_PICK_0095,1.25,189.86,19.25,1105.76,19474.2
IRON_PICK_0096,1.38,78.44,3.41,1968.34,24299.19
IRON_PICK_0097,1.56,78.59,9.64,926.91,13997.42
IRON_PICK_0098,1.25,83.33,14.28,1747.61,14267.4
IRON_PICK_0099,2.12,77.86,19.52,1888.99,12205.72
IRON_PICK_0100,1.68,128.49,19.38,983.99,14436.96
IRON_PICK_0101,1.27,123.31,13.53,1422.61,27019.37
IRON_PICK_0102,1.48,144.41,6.32,1327.67,10595.26
IRON_PICK_0103,2.3,116.98,15.32,1677.35,23232.19
IRON_PICK_0104,1.49,151.69,19.85,1064.12,15880.87
IRON_PICK_0105,1.17,156.14,9.67,1309.67,10294.64
IRON_PICK_0106,1.15,157.06,16.86,1997.7,15934.5
IRON_PICK_0107,2.12,67.05,16.06,1028.95,15243.32
IRON_PICK_0108,1.45,127.55,6.79,1432.79,12637.21
IRON_PICK_0109,1.58,176.34,8.57,1867.86,13462.33
IRON_PICK_0110,1.88,109.06,4.09,1734.26,22961.06
IRON_PICK_0111,1.47,59.9,5.65,1839.59,27988.14
IRON_PICK_0112,1.84,141.81,9.99,1298.53,16235.23
IRON_PICK_0113,1.11,195.77,0.41,901.08,20323.17
IRON_PICK_0114,1.07,139.48,9.41,824.84,27364.17
IRON_PICK_0115,2.38,187.12,14.96,1334.9,19322.18
IRON_PICK_0116,2.19,78.91,0.92,1222.12,20941.37
IRON_PICK_0117,1.7,108.55,3.4,1889.33,20852.91
IRON_PICK_0118,1.36,75.75,4.83,1086.43,11902.17
IRON_PICK_0119,1.66,176.75,7.44,1209.08,23478.27
IRON_PICK_0120,1.94,178.07,13.33,1063.79,28370.89
IRON_PICK_0121,2.31,169.74,1.06,1849.04,20702.97
IRON_PICK_0122,2.17,135.2,14.21,1076.28,25496.41
IRON_PICK_0123,1.8,64.89,14.47,1023.96,17896.26
IRON_PICK_0124,2.32,70.9,0.1,1947.31,11497.71
IRON_PICK_0125,1.16,67.08,3.67,1528.79,29334.42
IRON_PICK_0126,1.83,76.25,1.43,1987.29,14010.08
IRON_PICK_0127,1.86,158.66,16.73,1316.58,11417.7
IRON_PICK_0128,2.42,154.7,7.7,1039.39,10073.15
IRON_PICK_0129,1.49,53.27,4.84,864.97,25619.19
IRON_PICK_0130,2.28,194.51,0.92,1332.11,27759.13
IRON_PICK_0131,2.32,69.18,2.28,1881.84,21345.92
IRON_PICK_0132,1.19,69.65,13.15,1063.9,21385.8
IRON_PICK_0133,1.26,186.73,8.29,1098.93,16250.29
IRON_PICK_0134,2.31,71.57,12.05,1302.88,13997.39
IRON_PICK_0135,2.12,87.04,16.57,1313.69,21585.48
IRON_PICK_0136,2.32,90.92,0.01,1996.9,25037.75
IRON_PICK_0137,1.57,114.86,11.57,1126.08,18450.71
IRON_PICK_0138,2.37,87.53,4.92,1329.63,20761.61
IRON_PICK_0139,1.62,155.46,4.16,1614.69,21705.59
IRON_PICK_0140,1.92,98.25,17.38,851.4,12732.18
IRON_PICK_0141,1.65,190.13,15.12,1129.29,17261.7
IRON_PICK_0142,1.96,143.85,1.63,1094.83,13031.13
IRON_PICK_0143,2.18,95.19,18.19,1099.33,17462.03
IRON_PICK_0144,1.57,78.27,16.68,1023.08,17794.95
IRON_PICK_0145,1.91,54.24,19.11,1348.54,11441.9
IRON_PICK_0146,2.49,90.86,13.69,1567.34,24942.49
IRON_PICK_0147,1.3,74.66,13.18,1943.92,12866.98
IRON_PICK_0148,1.47,78.59,15.61,1307.03,22954.72
IRON_PICK_0149,1.5,130.9,4.29,1094.56,29384.29
IRON_PICK_0150,1.22,63.23,1.94,1942.95,29260.51
IRON_PICK_0151,1.99,131.41,18.55,1777.69,19733.34
IRON_PICK_0152,1.11,163.75,7.54,1142.45,29925.99
IRON_PICK_0153,1.3,50.16,8.82,1621.45,24145.09
IRON_PICK_0154,2.26,176.37,19.54,1893.01,22489.88
IRON_PICK_0155,2.13,171.4,3.38,1299.62,26991.19
IRON_PICK_0156,1.37,140.1,5.09,1859.71,17194.76
IRON_PICK_0157,2.24,107.28,13.81,1615.1,21748.17
IRON_PICK_0158,1.65,88.91,14.58,1639.46,12604.33
IRON_PICK_0159,1.67,194.89,4.78,865.99,19824.82
IRON_PICK_0160,2.1,170.39,10.16,1103.69,25714.64
IRON_PICK_0161,2.22,101.16,11.59,1520.58,16880.01
IRON_PICK_0162,2.1,117.57,9.7,1010.89,27044.54
IRON_PICK_0163,1.92,199.36,12.8,1221.79,10558.57
IRON_PICK_0164,1.62,121.98,17.5,934.76,20109.52
IRON_PICK_0165,1.41,128.44,9.41,1244.85,25664.51
IRON_PICK_0166,2.39,192.2,18.78,1570.1,12294.09
IRON_PICK_0167,1.05,116.36,19.94,1550.49,18285.39
IRON_PICK_0168,1.7,187.15,13.94,1039.79,13404.71
IRON_PICK_0169,1.36,189.76,11.03,1819.15,24283.12
IRON_PICK_0170,2.33,125.29,17.4,1688.95,10342.26
IRON_PICK_0171,2.32,64.41,3.78,1229.87,11368.14
IRON_PICK_0172,1.68,196.97,5.37,1942.55,26037.79
IRON_PICK_0173,1.1,196.14,0.5,1053.87,14722.1
IRON_PICK_0174,1.94,128.9,6.47,1136.95,13496.87
IRON_PICK_0175,1.39,53.34,3.04,814.22,19383.07
IRON_PICK_0176,1.07,123.98,10.18,968.18,26479.11
IRON_PICK_0177,2.2,64.55,4.55,1807.43,29657.47
IRON_PICK_0178,2.3,108.17,13.42,929.69,15339.39
IRON_PICK_0179,2.31,96.63,13.8,820.44,27824.65
IRON_PICK_0180,2.32,82.55,6.92,1518.97,18387.94
IRON_PICK_0181,1.95,56.96,12.01,1642.44,10763.77
IRON_PICK_0182,1.67,136.34,16.37,1380.56,22868.9
IRON_PICK_0183,1.94,91.53,14.14,1335.36,24525.53
IRON_PICK_0184,1.24,193.53,0.92,1723.02,28146.35
IRON_PICK_0185,2.03,89.95,3.74,1281.57,27674.35
IRON_PICK_0186,1.47,101.49,2.39,1048.81,22700.29
IRON_PICK_0187,2.33,129.22,7.38,1954.93,27122.29
IRON_PICK_0188,1.51,140.43,5.86,869.87,13804.35
IRON_PICK_0189,2.07,155.84,7.64,1189.43,17651.54
IRON_PICK_0190,2.24,157.77,7.89,1852.52,15210.05
IRON_PICK_0191,2.48,163.72,4.46,1702.91,11336.72
IRON_PICK_0192,1.5,141.47,2.14,896.23,14956.83
IRON_PICK_0193,1.33,134.89,13.02,1775.39,21077.28
IRON_PICK_0194,1.73,180.26,5.48,1189.41,17002.13
IRON_PICK_0195,1.51,182.57,2.74,1798.26,12948.71
IRON_PICK_0196,2.44,187.7,13.85,1425.88,19919.6
IRON_PICK_0197,2.04,161.04,4.46,1619.3,11681.64
IRON_PICK_0198,1.26,138.44,17.03,1603.14,24398.41
IRON_PICK_0199,1.81,178.45,1.5,1511.74,11206.03
IRON_PICK_0200,1.52,194.5,0.61,1841.93,17683.01
IRON_PICK_0201,2.27,198.63,10.22,1940.41,23587.92
IRON_PICK_0202,1.59,103.92,12.54,1607.38,28349.07
IRON_PICK_0203,1.08,157.18,18.3,902.36,15297.56
IRON_PICK_0204,1.32,171.64,7.12,1512.28,19550.7
IRON_PICK_0205,2.3,96.45,3.2,992.31,21433.06
IRON_PICK_0206,1.37,67.9,17.76,809.72,17466.02
IRON_PICK_0207,1.23,86.88,19.2,983.33,28828.9
IRON_PICK_0208,2.32,137.8,9.05,1551.9,26162.51
IRON_PICK_0209,1.76,147.32,11.89,1943.2,17235.87
IRON_PICK_0210,1.31,92.96,8.4,1549.44,19058.4
IRON_PICK_0211,1.93,50.97,8.93,1595.29,29025.72
IRON_PICK_0212,1.15,134.24,5.06,1775.36,18305.8
IRON_PICK_0213,1.25,122.83,10.78,1628.19,29981.49
IRON_PICK_0214,2.42,121.32,4.62,839.99,18358.22
IRON_PICK_0215,1.35,131.96,6.69,1135.3,25245.53
IRON_PICK_0216,2.29,190.86,9.28,1661.04,18535.9
IRON_PICK_0217,1.45,196.57,13.43,1469.26,26434.81
IRON_PICK_0218,1.8,122.19,14.59,926.98,20983.99
IRON_PICK_0219,1.51,154.17,9.5,905.19,27328.28
IRON_PICK_0220,1.97,134.01,8.19,1578.97,19024.35
IRON_PICK_0221,1.83,103.52,13.82,1973.07,13033.43
IRON_PICK_0222,1.01,125.43,17.85,1777.16,22809.78
IRON_PICK_0223,2.04,83.66,19.3,1054.91,26959.19
IRON_PICK_0224,1.86,147.59,10.87,1216.28,27476.92
IRON_PICK_0225,1.07,129.38,6.42,1447.09,19980.11
IRON_PICK_0226,2.02,163.4,8.91,1384.8,13095.08
IRON_PICK_0227,1.73,147.57,10.13,1534.86,26595.57
IRON_PICK_0228,2.31,163.62,17.17,1529.34,17653.96
IRON_PICK_0229,1.8,179.74,6.85,1032.27,24768.35
