Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
IRON_ROLL_0001,6.72,1496.32,223.6,1777.36,1959.17
IRON_ROLL_0002,6.82,1417.8,262.4,1897.11,2094.66
IRON_ROLL_0003,7.06,1269.12,182.59,1622.66,1547.63
IRON_ROLL_0004,7.73,1025.03,251.16,1269.58,2183.6
IRON_ROLL_0005,7.33,731.4,203.16,636.29,1460.14
IRON_ROLL_0006,7.87,646.62,294.9,1129.92,2419.98
IRON_ROLL_0007,7.54,830.07,130.75,1208.17,1157.45
IRON_ROLL_0008,6.76,1363.88,173.99,1761.4,1820.37
IRON_ROLL_0009,7.81,1303.61,262.42,1993.37,1938.83
IRON_ROLL_0010,7.85,552.36,280.71,1178.0,1217.13
IRON_ROLL_0011,7.65,749.78,166.62,1006.69,1807.45
IRON_ROLL_0012,7.55,722.08,232.35,864.85,2344.72
IRON_ROLL_0013,6.57,736.52,203.12,1641.78,1467.59
IRON_ROLL_0014,7.46,555.4,222.15,1907.15,2422.17
IRON_ROLL_0015,7.71,1143.32,259.29,1721.32,1350.16
IRON_ROLL_0016,6.77,1446.91,292.87,1259.6,1787.02
IRON_ROLL_0017,7.99,1010.1,168.05,790.5,2070.91
IRON_ROLL_0018,7.98,1412.58,186.1,891.84,1389.38
IRON_ROLL_0019,7.71,559.04,138.88,1307.61,2072.42
IRON_ROLL_0020,7.98,1037.02,291.8,1160.69,1392.95
IRON_ROLL_0021,7.55,1336.93,262.36,1125.61,2159.68
IRON_ROLL_0022,6.92,685.7,200.38,1951.44,1589.23
IRON_ROLL_0023,7.25,1446.69,116.85,1220.85,2203.47
IRON_ROLL_0024,7.27,843.32,186.91,1418.91,1470.53
IRON_ROLL_0025,7.96,706.5,231.76,1263.57,1650.64
IRON_ROLL_0026,7.59,1331.86,298.72,710.21,1081.78
IRON_ROLL_0027,7.41,1372.35,168.47,879.92,1180.45
IRON_ROLL_0028,7.93,521.3,127.46,1696.24,1058.97
IRON_ROLL_0029,7.85,1275.45,261.56,1894.15,2003.25
IRON_ROLL_0030,7.01,595.7,176.13,1790.41,1553.89
IRON_ROLL_0031,7.71,1389.6,101.72,1393.12,1417.59
IRON_ROLL_0032,7.64,1304.73,102.0,502.35,2186.1
IRON_ROLL_0033,6.77,1439.7,153.94,1407.52,1452.37
IRON_ROLL_0034,7.87,556.25,202.36,982.24,1065.05
IRON_ROLL_0035,7.03,1187.32,271.87,1573.49,1370.98
IRON_ROLL_0036,7.39,1438.23,270.35,1691.17,1722.61
IRON_ROLL_0037,7.24,517.55,270.9,1639.48,2495.25
IRON_ROLL_0038,7.92,1017.46,186.37,1227.38,2411.61
IRON_ROLL_0039,7.33,525.37,111.59,806.14,1806.89
IRON_ROLL_0040,6.84,1190.17,238.82,1909.79,1090.54
IRON_ROLL_0041,7.01,514.51,196.73,1357.0,2429.48
IRON_ROLL_0042,6.98,695.22,135.68,1678.04,1512.41
IRON_ROLL_0043,7.78,1291.63,148.58,1926.04,1536.13
IRON_ROLL_0044,6.8,1417.89,124.86,1898.3,1279.36
IRON_ROLL_0045,6.79,1183.76,139.8,1749.24,1656.96
IRON_ROLL_0046,6.5,830.15,256.03,1248.47,2086.25
IRON_ROLL_0047,6.86,1462.82,103.44,815.76,1628.59
IRON_ROLL_0048,7.28,1427.06,171.15,1844.19,1113.73
IRON_ROLL_0049,6.71,785.79,292.01,818.92,1046.69
IRON_ROLL_0050,7.43,830.95,266.56,1466.38,1968.27
IRON_ROLL_0051,7.2,1357.91,248.65,790.29,1946.85
IRON_ROLL_0052,7.41,637.97,163.64,1481.3,1133.27
IRON_ROLL_0053,7.11,906.85,293.29,1006.54,1604.59
IRON_ROLL_0054,6.79,520.69,241.84,1902.56,1228.56
IRON_ROLL_0055,6.53,1074.25,274.07,1457.33,1039.48
IRON_ROLL_0056,7.48,1257.05,190.58,993.52,2134.71
IRON_ROLL_0057,7.46,1072.46,284.24,569.49,1129.54
IRON_ROLL_0058,7.35,1455.61,261.09,1210.35,1117.88
IRON_ROLL_0059,7.51,1225.34,260.73,1524.53,1634.49
IRON_ROLL_0060,7.4,1111.83,167.55,600.31,2471.43
IRON_ROLL_0061,7.46,1202.86,201.24,1067.92,1786.59
IRON_ROLL_0062,7.0,1011.86,112.63,1926.94,1502.75
IRON_ROLL_0063,7.89,543.84,233.32,1587.55,1834.8
IRON_ROLL_0064,6.53,621.57,277.28,1681.23,1391.91
IRON_ROLL_0065,7.77,696.59,110.76,587.35,1610.74
IRON_ROLL_0066,7.6,1242.01,171.34,1418.62,1623.95
IRON_ROLL_0067,7.41,564.39,180.87,1268.43,1952.59
IRON_ROLL_0068,7.69,989.56,187.4,1006.94,2097.95
IRON_ROLL_0069,6.77,613.19,126.24,777.47,2046.73
IRON_ROLL_0070,6.79,1317.01,177.34,1834.24,1885.63
IRON_ROLL_0071,6.6,869.59,144.4,696.9,2083.13
IRON_ROLL_0072,7.48,1398.26,193.57,1595.92,2411.95
IRON_ROLL_0073,7.64,1229.98,231.88,900.61,1205.48
IRON_ROLL_0074,7.02,724.55,294.17,902.79,1943.45
IRON_ROLL_0075,7.19,771.19,221.66,1617.71,1594.5
IRON_ROLL_0076,7.93,1154.0,190.96,1641.75,1376.95
IRON_ROLL_0077,7.66,1093.77,159.41,699.05,2431.27
IRON_ROLL_0078,7.3,1063.29,229.56,1853.91,1119.12
IRON_ROLL_0079,7.24,537.97,139.6,1796.26,2259.13
IRON_ROLL_0080,7.11,830.33,151.86,1298.67,1689.32
IRON_ROLL_0081,7.85,1267.52,191.59,1392.72,1830.91
IRON_ROLL_0082,7.82,671.15,232.75,1339.38,2252.03
IRON_ROLL_0083,7.44,727.88,129.38,1085.72,2427.95
IRON_ROLL_0084,6.57,905.06,219.27,980.38,1762.02
IRON_ROLL_0085,6.79,834.01,190.49,1178.67,2133.69
IRON_ROLL_0086,7.87,558.09,233.39,1543.26,1213.3
IRON_ROLL_0087,7.83,1282.13,293.21,1144.45,1257.01
IRON_ROLL_0088,6.77,703.09,191.64,1579.54,1486.9
IRON_ROLL_0089,7.97,981.28,272.24,1338.02,1474.79
IRON_ROLL_0090,6.86,973.92,218.88,1082.42,1266.38
IRON_ROLL_0091,7.35,1460.62,268.04,914.34,1971.6
IRON_ROLL_0092,7.23,1224.35,152.76,961.09,1435.48
IRON_ROLL_0093,6.96,636.69,256.91,838.07,1980.97
IRON_ROLL_0094,7.7,1177.55,175.53,1269.77,1323.94
IRON_ROLL_0095,6.9,578.94,276.21,758.68,2304.66
IRON_ROLL_0096,7.75,849.73,180.18,1345.28,2332.58
IRON_ROLL_0097,7.86,1102.35,195.28,1660.64,2227.1
IRON_ROLL_0098,7.66,579.64,286.54,543.72,1781.39
IRON_ROLL_0099,7.99,1172.0,123.63,880.42,1132.71
IRON_ROLL_0100,6.77,1024.14,187.94,977.32,1505.44
IRON_ROLL_0101,7.66,694.62,283.8,636.4,1054.26
IRON_ROLL_0102,7.96,1486.87,258.5,1963.81,1857.38
IRON_ROLL_0103,7.42,1283.47,144.61,707.16,2406.1
IRON_ROLL_0104,7.66,1172.38,279.62,721.74,1925.78
IRON_ROLL_0105,6.62,963.34,249.83,1608.35,2371.32
IRON_ROLL_0106,7.06,753.98,111.58,1310.97,1361.58
IRON_ROLL_0107,6.59,1018.87,232.7,720.22,2416.78
IRON_ROLL_0108,7.82,1403.23,293.76,1239.38,1449.18
IRON_ROLL_0109,7.68,543.19,106.14,1321.26,1201.78
IRON_ROLL_0110,7.51,501.9,130.31,1967.73,1617.13
IRON_ROLL_0111,7.78,634.3,276.03,1779.91,1633.11
IRON_ROLL_0112,7.74,1249.01,104.57,914.49,2380.5
IRON_ROLL_0113,7.36,1256.56,279.39,1747.46,1279.96
IRON_ROLL_0114,6.71,643.96,121.4,1516.23,1270.79
IRON_ROLL_0115,6.97,686.17,122.6,1004.9,2105.8
IRON_ROLL_0116,6.99,555.97,279.15,1175.11,1192.33
IRON_ROLL_0117,7.76,1461.16,178.18,953.58,1058.34
IRON_ROLL_0118,7.29,769.49,124.65,916.2,1430.4
