Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
MINI_ACID_0001,3.28,65.83,6.66,1062.14,4666.5
MINI_ACID_0002,3.18,38.16,1.9,1838.46,8039.56
MINI_ACID_0003,1.62,74.14,8.76,995.84,5749.96
MINI_ACID_0004,1.65,83.0,6.14,1381.62,9073.21
MINI_ACID_0005,2.9,93.2,2.04,1992.6,4049.82
MINI_ACID_0006,3.33,82.46,8.58,1138.98,7733.9
MINI_ACID_0007,1.64,99.07,8.66,1661.36,5266.72
MINI_ACID_0008,2.91,78.21,5.57,1441.04,9269.12
MINI_ACID_0009,1.87,73.91,2.22,979.09,5698.63
MINI_ACID_0010,2.22,43.35,9.91,1438.06,7325.89
MINI_ACID_0011,1.66,44.08,0.83,870.71,8558.65
MINI_ACID_0012,2.07,64.51,4.81,1198.01,8012.26
MINI_ACID_0013,3.22,55.06,9.9,1737.77,9314.82
MINI_ACID_0014,2.94,93.44,3.75,1913.15,6706.58
MINI_ACID_0015,2.43,86.93,1.85,1948.84,5706.49
MINI_ACID_0016,3.44,98.28,5.39,1981.69,9158.53
MINI_ACID_0017,2.24,90.71,9.35,1787.41,5772.53
MINI_ACID_0018,2.58,40.17,4.9,1537.63,9701.93
MINI_ACID_0019,2.91,78.32,8.82,1306.38,4747.14
MINI_ACID_0020,3.2,41.45,4.9,1995.93,6750.6
MINI_ACID_0021,2.63,44.51,2.88,1897.0,4404.26
MINI_ACID_0022,3.34,84.29,1.38,822.29,8741.48
MINI_ACID_0023,2.69,88.27,7.79,1061.05,9509.84
MINI_ACID_0024,3.01,87.74,6.8,1293.23,9253.97
MINI_ACID_0025,1.64,36.67,9.16,1204.35,6189.25
MINI_ACID_0026,2.21,43.66,8.63,1094.06,9965.71
MINI_ACID_0027,1.67,83.64,9.17,1619.43,6499.48
MINI_ACID_0028,2.32,77.79,6.55,1587.4,7403.11
MINI_ACID_0029,3.19,56.75,3.77,884.33,8939.43
MINI_ACID_0030,1.89,35.8,9.02,1104.25,7773.1
MINI_ACID_0031,2.36,69.11,8.98,1118.38,8938.97
MINI_ACID_0032,2.33,87.83,8.38,1627.42,9926.47
MINI_ACID_0033,2.75,56.16,5.81,1458.93,7047.04
MINI_ACID_0034,1.56,96.95,5.83,1806.91,8464.67
MINI_ACID_0035,1.86,79.64,1.44,1816.78,8771.56
MINI_ACID_0036,2.32,54.73,8.5,1637.99,4826.53
MINI_ACID_0037,2.89,81.75,8.42,1603.58,4881.86
MINI_ACID_0038,3.4,65.67,1.05,1305.18,5090.42
MINI_ACID_0039,3.31,95.34,4.1,844.09,9586.02
MINI_ACID_0040,2.52,78.88,1.0,1048.53,7132.52
MINI_ACID_0041,1.62,40.87,5.56,1280.88,9807.48
