Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
MINI_FLOT_0001,9.44,426.63,35.81,4139.63,3878.55
MINI_FLOT_0002,8.08,540.05,59.48,3513.81,4294.66
MINI_FLOT_0003,8.13,532.06,62.58,3225.67,2273.4
MINI_FLOT_0004,8.47,237.94,42.56,6704.55,4405.13
MINI_FLOT_0005,8.52,305.7,32.47,7564.05,2766.44
MINI_FLOT_0006,9.06,487.73,26.35,6437.14,4345.18
MINI_FLOT_0007,7.88,320.47,71.73,6197.44,4408.37
MINI_FLOT_0008,8.74,565.6,59.28,7532.61,2837.27
MINI_FLOT_0009,9.01,584.08,73.31,4847.52,3784.12
MINI_FLOT_0010,8.18,419.27,55.33,7131.77,4522.11
MINI_FLOT_0011,9.47,428.28,70.72,5458.42,4879.1
MINI_FLOT_0012,9.37,467.94,53.89,3249.66,4227.63
MINI_FLOT_0013,7.87,291.39,29.95,4749.97,2904.3
MINI_FLOT_0014,8.47,557.78,39.01,6174.75,3074.77
MINI_FLOT_0015,7.58,567.88,27.72,4110.83,2975.97
MINI_FLOT_0016,8.28,263.98,22.12,7935.62,4115.95
MINI_FLOT_0017,8.96,214.37,59.64,6961.26,4528.04
MINI_FLOT_0018,8.56,294.71,26.48,6990.77,4610.07
MINI_FLOT_0019,7.69,586.12,73.2,4533.41,4408.04
MINI_FLOT_0020,7.5,271.33,42.18,3211.33,4860.23
MINI_FLOT_0021,7.81,346.05,27.9,4079.97,2845.71
MINI_FLOT_0022,7.53,431.91,42.89,3518.33,3599.76
MINI_FLOT_0023,7.77,475.77,44.15,4227.92,4075.75
MINI_FLOT_0024,7.66,591.16,77.03,4381.41,2377.08
MINI_FLOT_0025,9.41,475.37,32.91,6488.91,4307.65
MINI_FLOT_0026,8.42,472.27,69.81,4778.34,4607.57
MINI_FLOT_0027,9.22,464.74,33.13,5034.98,3055.98
MINI_FLOT_0028,7.53,533.79,25.73,4880.95,2989.25
MINI_FLOT_0029,7.75,560.81,60.95,3535.58,3865.62
MINI_FLOT_0030,8.79,396.79,73.31,4618.52,4384.1
MINI_FLOT_0031,8.87,362.52,37.74,7712.37,3310.52
MINI_FLOT_0032,8.18,525.49,63.1,3166.49,2679.55
MINI_FLOT_0033,8.34,364.49,79.3,5029.9,2891.81
MINI_FLOT_0034,8.5,271.97,20.96,7147.16,4205.6
MINI_FLOT_0035,8.91,580.03,35.3,4716.01,2561.18
MINI_FLOT_0036,7.99,530.18,43.48,3650.2,2448.13
MINI_FLOT_0037,8.38,579.93,53.15,5585.02,2999.19
MINI_FLOT_0038,7.7,259.71,38.01,5247.42,2658.32
MINI_FLOT_0039,9.39,566.69,32.33,7393.64,2217.34
MINI_FLOT_0040,7.61,341.01,69.35,7930.45,4126.93
MINI_FLOT_0041,7.67,308.49,40.1,3975.28,4773.97
MINI_FLOT_0042,8.73,518.09,41.3,3930.28,2246.57
MINI_FLOT_0043,7.62,569.71,69.18,5926.39,3405.2
MINI_FLOT_0044,7.53,509.95,46.97,3385.01,3559.64
MINI_FLOT_0045,9.06,569.52,51.88,3959.47,4716.31
MINI_FLOT_0046,7.5,428.95,24.22,3321.53,3247.63
MINI_FLOT_0047,8.98,387.59,26.28,6242.1,4259.67
MINI_FLOT_0048,8.25,344.51,75.12,4264.33,2508.79
MINI_FLOT_0049,8.12,476.57,29.15,5559.52,3838.12
MINI_FLOT_0050,7.98,493.29,30.95,3150.17,3938.82
MINI_FLOT_0051,9.05,250.4,52.98,6929.33,4531.85
MINI_FLOT_0052,8.92,462.71,74.47,4572.91,3778.58
MINI_FLOT_0053,8.04,399.74,51.5,6274.16,4831.13
MINI_FLOT_0054,8.8,354.18,32.65,6343.77,3977.94
MINI_FLOT_0055,7.57,454.57,76.48,6349.02,2372.23
MINI_FLOT_0056,8.77,470.96,50.14,7277.71,3639.18
MINI_FLOT_0057,9.11,258.29,61.86,4330.64,4396.16
MINI_FLOT_0058,9.25,485.02,61.41,5154.28,4581.03
MINI_FLOT_0059,7.87,584.87,79.62,6417.92,3424.14
MINI_FLOT_0060,9.17,422.4,73.53,4229.74,3510.78
MINI_FLOT_0061,8.95,368.52,69.33,6073.35,2638.23
MINI_FLOT_0062,8.95,340.59,47.2,3263.52,2949.4
MINI_FLOT_0063,8.88,529.96,76.42,5535.71,4304.0
MINI_FLOT_0064,7.53,225.31,36.4,7507.7,4622.24
MINI_FLOT_0065,7.75,202.92,59.58,5481.84,3092.39
MINI_FLOT_0066,9.41,247.53,72.51,7094.22,2928.82
MINI_FLOT_0067,8.64,442.47,52.19,4554.44,4128.86
MINI_FLOT_0068,7.94,456.26,49.84,5857.87,2365.98
MINI_FLOT_0069,9.1,367.5,35.35,6495.97,3845.66
MINI_FLOT_0070,8.94,245.96,40.6,5115.35,3997.81
MINI_FLOT_0071,8.06,237.24,56.7,7099.39,3297.51
