Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
MINI_ORE__0001,6.75,128.12,34.39,13697.15,2074.89
MINI_ORE__0002,7.76,213.43,33.84,8441.45,2366.02
MINI_ORE__0003,7.25,104.42,37.25,8195.05,2562.43
MINI_ORE__0004,7.51,144.48,29.03,14602.52,1362.13
MINI_ORE__0005,6.21,183.99,44.07,11515.73,2918.59
MINI_ORE__0006,8.24,217.94,36.77,14880.7,1597.2
MINI_ORE__0007,6.02,162.56,49.73,6836.24,1242.81
MINI_ORE__0008,6.25,164.4,24.94,5674.32,2631.82
MINI_ORE__0009,6.53,268.1,27.66,10101.98,2470.87
MINI_ORE__0010,6.67,122.59,24.31,8388.27,1644.18
MINI_ORE__0011,6.39,111.35,44.44,12419.93,2366.53
MINI_ORE__0012,6.91,253.07,10.62,5717.2,2815.61
MINI_ORE__0013,7.84,124.91,49.24,5019.15,1923.53
MINI_ORE__0014,7.64,218.1,49.46,5597.87,1653.41
MINI_ORE__0015,6.9,188.55,20.55,8727.44,2652.23
MINI_ORE__0016,6.75,156.16,33.57,6557.92,2235.62
MINI_ORE__0017,6.78,209.74,47.87,10386.52,2297.45
MINI_ORE__0018,8.35,219.37,44.6,10608.5,1287.49
MINI_ORE__0019,6.21,212.23,18.39,8812.94,1264.11
MINI_ORE__0020,7.97,270.05,18.97,12220.89,2740.08
MINI_ORE__0021,6.98,133.54,40.8,12911.95,2341.6
MINI_ORE__0022,7.22,179.85,38.95,6695.37,2226.27
MINI_ORE__0023,7.56,292.69,29.42,9302.72,2273.43
MINI_ORE__0024,7.59,232.63,10.07,5931.62,2304.2
MINI_ORE__0025,8.19,252.69,47.14,7078.3,1875.9
MINI_ORE__0026,8.03,233.42,27.9,9059.85,1944.95
MINI_ORE__0027,6.36,188.71,43.21,5550.06,2328.85
MINI_ORE__0028,6.88,176.03,35.61,8808.45,2570.86
MINI_ORE__0029,7.91,235.35,30.59,12257.46,2325.62
MINI_ORE__0030,7.68,200.34,21.63,9902.1,2446.92
MINI_ORE__0031,6.19,224.11,21.07,7929.14,1499.2
MINI_ORE__0032,8.24,223.05,17.73,10242.03,1354.74
MINI_ORE__0033,7.0,133.48,34.96,12197.2,1436.96
MINI_ORE__0034,7.71,177.61,15.37,10615.9,1281.95
MINI_ORE__0035,6.63,289.93,39.67,8731.05,1597.04
MINI_ORE__0036,7.93,107.13,49.15,10494.37,1232.16
MINI_ORE__0037,7.18,201.21,33.27,7962.26,2253.51
MINI_ORE__0038,7.83,291.18,35.36,11404.53,1119.41
MINI_ORE__0039,6.03,258.91,49.64,9952.11,2284.18
MINI_ORE__0040,6.93,103.69,16.02,13648.42,2148.59
MINI_ORE__0041,7.61,119.15,32.38,14546.95,1300.99
MINI_ORE__0042,7.86,276.77,34.64,12530.66,1078.47
MINI_ORE__0043,7.84,283.29,48.3,10396.47,2167.92
MINI_ORE__0044,6.66,175.47,44.41,12502.48,2943.53
MINI_ORE__0045,6.44,245.4,41.59,9594.93,2898.67
MINI_ORE__0046,7.9,286.39,13.58,5646.09,2661.36
MINI_ORE__0047,6.17,115.41,18.62,5841.53,1400.55
MINI_ORE__0048,7.92,295.13,40.3,11999.56,2672.62
MINI_ORE__0049,8.41,136.86,40.8,11971.04,2498.85
MINI_ORE__0050,8.1,229.1,31.94,10359.26,2015.55
MINI_ORE__0051,7.61,200.02,43.85,5113.71,2965.53
MINI_ORE__0052,7.83,259.58,34.05,14272.83,1044.57
MINI_ORE__0053,6.31,233.25,44.9,12498.75,2111.75
MINI_ORE__0054,8.2,186.34,31.26,6550.64,1545.02
MINI_ORE__0055,8.41,136.27,49.33,8752.44,2052.77
MINI_ORE__0056,6.91,222.5,41.45,8660.68,1248.47
MINI_ORE__0057,6.27,191.05,22.39,13812.96,2941.88
MINI_ORE__0058,6.27,226.23,38.93,7523.38,2941.96
MINI_ORE__0059,6.38,128.52,12.77,13742.96,1203.23
MINI_ORE__0060,6.75,263.0,38.97,8779.01,1001.2
MINI_ORE__0061,7.62,157.17,28.51,14652.49,2281.15
MINI_ORE__0062,7.81,115.86,15.6,7592.3,2189.68
MINI_ORE__0063,7.13,214.08,34.83,14577.68,2718.48
MINI_ORE__0064,6.24,203.93,29.72,9048.62,2285.1
MINI_ORE__0065,7.51,140.83,42.09,8318.63,1975.07
MINI_ORE__0066,8.2,131.23,38.27,14411.39,1654.5
MINI_ORE__0067,8.09,255.0,44.24,6496.61,2323.18
MINI_ORE__0068,7.71,173.46,47.96,11001.83,1684.77
MINI_ORE__0069,6.11,264.2,23.82,7235.54,2357.38
MINI_ORE__0070,7.28,235.16,27.08,6253.23,1821.93
MINI_ORE__0071,8.23,291.38,41.11,7948.99,1933.73
MINI_ORE__0072,7.81,119.0,28.39,14296.04,2052.95
MINI_ORE__0073,8.46,236.66,24.69,9564.17,2693.86
MINI_ORE__0074,7.54,267.82,14.51,10966.34,2453.19
MINI_ORE__0075,7.67,137.68,47.01,9000.77,1103.97
MINI_ORE__0076,6.66,184.87,40.93,5641.74,2347.43
MINI_ORE__0077,6.18,121.87,34.87,6085.72,1492.08
MINI_ORE__0078,6.38,122.68,36.34,8505.11,1247.95
MINI_ORE__0079,6.42,201.06,40.61,14580.58,2452.01
MINI_ORE__0080,6.78,159.21,41.83,14677.46,1648.11
MINI_ORE__0081,6.22,247.61,24.58,10376.11,2960.12
MINI_ORE__0082,6.97,157.46,40.33,11601.9,2348.96
MINI_ORE__0083,7.88,245.34,36.57,8027.12,2104.65
MINI_ORE__0084,6.98,246.6,26.35,6777.22,2059.27
MINI_ORE__0085,6.29,256.88,44.27,5389.66,1476.62
MINI_ORE__0086,7.91,153.94,23.17,12052.22,1742.27
MINI_ORE__0087,8.4,115.9,18.38,11648.01,1864.07
MINI_ORE__0088,8.35,200.64,10.5,13940.07,1790.89
MINI_ORE__0089,7.43,174.73,33.26,8458.31,2404.51
MINI_ORE__0090,7.19,288.57,21.14,11527.22,1032.92
MINI_ORE__0091,7.57,117.01,24.9,7509.67,1114.12
MINI_ORE__0092,6.06,236.35,41.02,12227.69,2630.78
MINI_ORE__0093,7.91,158.98,20.35,7110.93,2784.41
MINI_ORE__0094,7.96,252.38,14.7,6446.89,2415.86
MINI_ORE__0095,6.67,279.76,31.87,8173.06,2737.4
MINI_ORE__0096,6.94,126.19,28.78,8684.16,1023.09
MINI_ORE__0097,6.02,268.99,44.72,6990.35,2834.78
MINI_ORE__0098,6.95,124.75,11.76,6420.54,2548.64
MINI_ORE__0099,6.1,183.64,12.67,13767.8,1010.41
MINI_ORE__0100,6.82,248.57,41.27,13580.4,2706.23
MINI_ORE__0101,7.85,142.74,36.26,6849.59,1502.63
MINI_ORE__0102,6.8,162.48,40.14,5412.5,2408.25
MINI_ORE__0103,6.78,248.52,31.41,9320.75,1129.54
MINI_ORE__0104,6.96,160.17,47.09,14852.94,2309.78
MINI_ORE__0105,8.3,205.8,40.12,8191.68,1089.9
MINI_ORE__0106,6.23,185.06,10.24,13327.93,1202.86
MINI_ORE__0107,7.69,214.71,45.57,7345.03,1009.04
MINI_ORE__0108,8.16,179.94,44.81,8549.83,2244.39
MINI_ORE__0109,8.19,254.87,32.76,14248.74,1455.23
MINI_ORE__0110,6.61,207.45,31.62,13343.86,1517.73
MINI_ORE__0111,7.53,104.59,23.84,10167.59,2215.46
MINI_ORE__0112,8.4,221.55,12.52,6800.36,2952.45
MINI_ORE__0113,7.91,281.12,48.22,5473.75,2089.08
MINI_ORE__0114,6.39,188.97,24.15,8278.17,2392.08
MINI_ORE__0115,7.51,256.58,25.66,7598.5,2967.94
MINI_ORE__0116,8.06,191.36,37.8,10136.48,1925.11
MINI_ORE__0117,6.61,257.29,42.55,12840.01,2080.33
MINI_ORE__0118,7.43,155.91,14.28,7419.36,2348.31
MINI_ORE__0119,7.04,132.22,43.64,7857.59,1460.8
MINI_ORE__0120,6.09,100.26,19.11,8376.78,1740.71
MINI_ORE__0121,6.24,208.29,40.72,10705.55,2034.72
MINI_ORE__0122,6.42,216.71,28.23,11798.13,1650.24
MINI_ORE__0123,6.1,277.36,37.16,7219.1,2208.49
MINI_ORE__0124,7.3,162.89,49.42,8637.37,1343.05
MINI_ORE__0125,8.22,230.34,45.17,6036.83,1115.62
MINI_ORE__0126,7.43,256.19,48.15,6014.26,1378.13
MINI_ORE__0127,7.73,271.3,29.94,10163.87,2137.36
MINI_ORE__0128,6.04,147.22,26.95,11462.05,2467.29
MINI_ORE__0129,6.08,177.43,10.69,6141.18,2614.94
MINI_ORE__0130,8.46,227.76,38.99,11113.12,1119.84
MINI_ORE__0131,7.81,153.05,32.57,13012.01,2870.05
MINI_ORE__0132,6.61,182.22,14.95,7921.04,1365.27
MINI_ORE__0133,7.86,128.96,44.74,10658.75,1532.82
MINI_ORE__0134,7.67,174.94,11.91,10611.8,1552.41
MINI_ORE__0135,8.19,271.09,29.45,14793.36,2585.82
MINI_ORE__0136,8.13,105.59,25.45,13939.16,1292.96
MINI_ORE__0137,6.88,241.18,35.19,5563.35,2355.61
MINI_ORE__0138,7.23,199.0,47.16,7768.55,1196.92
MINI_ORE__0139,7.59,285.32,44.87,8167.5,2753.27
MINI_ORE__0140,8.2,239.44,15.93,12522.25,2944.04
MINI_ORE__0141,6.47,292.58,23.83,13906.94,1068.07
MINI_ORE__0142,8.09,271.86,16.87,10862.82,2890.11
MINI_ORE__0143,7.38,127.88,18.73,6389.25,1524.31
MINI_ORE__0144,7.7,171.13,43.28,7560.45,1947.75
MINI_ORE__0145,6.17,297.25,43.98,7092.69,1653.74
MINI_ORE__0146,6.66,185.83,47.75,13637.81,2392.81
MINI_ORE__0147,6.21,260.08,37.18,5303.32,1723.77
MINI_ORE__0148,7.32,144.03,48.14,14888.07,2980.55
MINI_ORE__0149,6.22,200.85,13.77,5642.13,2309.85
