Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
PEST_FUNG_0001,6.11,9705.97,2217.06,929.72,5581.47
PEST_FUNG_0002,7.0,12950.18,1403.0,636.65,5080.42
PEST_FUNG_0003,5.56,14072.34,1891.58,936.18,6349.94
PEST_FUNG_0004,5.83,7222.42,1559.58,1126.62,8395.84
PEST_FUNG_0005,6.01,12011.35,1410.73,998.88,5131.8
PEST_FUNG_0006,5.62,10955.22,1398.66,570.91,7310.65
PEST_FUNG_0007,5.59,11970.37,1542.74,531.78,5590.68
PEST_FUNG_0008,5.12,9346.56,1861.39,1123.23,8914.13
PEST_FUNG_0009,6.18,12983.35,1254.63,521.66,6432.1
PEST_FUNG_0010,7.19,14039.85,1861.74,957.77,6860.65
PEST_FUNG_0011,5.65,7941.02,1767.59,548.44,8841.91
PEST_FUNG_0012,5.1,13765.14,2085.75,835.07,6444.81
PEST_FUNG_0013,6.52,9213.33,2391.35,1019.74,7014.4
PEST_FUNG_0014,5.33,12031.05,2088.18,613.99,8838.67
PEST_FUNG_0015,7.15,12417.15,2346.89,1110.23,8374.84
PEST_FUNG_0016,5.65,11064.95,2270.29,733.79,8580.11
PEST_FUNG_0017,5.64,12244.03,2462.16,865.09,7099.28
PEST_FUNG_0018,5.78,13013.44,1231.16,755.25,5654.86
PEST_FUNG_0019,5.1,14818.67,2272.48,861.4,5763.64
PEST_FUNG_0020,6.44,14998.01,1699.48,1023.81,7123.41
PEST_FUNG_0021,5.51,11352.19,2280.75,541.69,7223.61
PEST_FUNG_0022,6.96,14203.12,1487.58,847.55,7444.33
PEST_FUNG_0023,5.63,9700.21,1215.13,909.6,6692.6
PEST_FUNG_0024,6.45,10922.16,2404.46,802.68,9322.11
PEST_FUNG_0025,6.45,13000.59,1685.85,1116.91,7192.95
PEST_FUNG_0026,7.04,11759.12,1611.86,684.07,7703.83
PEST_FUNG_0027,7.42,14076.38,1788.43,1158.87,6812.26
PEST_FUNG_0028,5.8,7457.11,1287.08,1060.31,8998.45
PEST_FUNG_0029,5.93,12845.79,2290.33,979.69,5682.65
PEST_FUNG_0030,5.38,7874.76,1960.02,885.34,5816.3
PEST_FUNG_0031,5.26,7199.64,1341.54,763.45,8153.65
PEST_FUNG_0032,5.81,10112.24,1492.26,695.95,7912.51
PEST_FUNG_0033,6.32,10729.5,2452.31,1153.66,7907.94
PEST_FUNG_0034,6.76,12706.95,1464.81,679.84,6105.57
PEST_FUNG_0035,5.51,10416.68,2033.4,907.29,9779.83
PEST_FUNG_0036,6.21,13754.41,1396.29,931.59,9394.28
PEST_FUNG_0037,6.17,7206.39,1410.83,738.5,7745.23
PEST_FUNG_0038,7.32,10501.19,1819.24,519.59,8549.85
PEST_FUNG_0039,5.58,11848.3,1717.13,855.18,7616.5
PEST_FUNG_0040,5.71,11191.95,2313.98,868.89,7237.72
PEST_FUNG_0041,5.79,12899.69,1911.19,799.43,9214.25
PEST_FUNG_0042,7.48,14655.98,1710.44,610.88,7595.7
PEST_FUNG_0043,5.29,14460.35,2246.89,938.12,8454.78
PEST_FUNG_0044,7.13,9609.0,1947.47,1099.11,5333.57
PEST_FUNG_0045,6.3,12523.73,1867.35,862.24,9584.44
PEST_FUNG_0046,5.22,10852.29,2176.55,736.04,6401.08
PEST_FUNG_0047,5.92,12304.08,1727.37,950.94,6950.77
PEST_FUNG_0048,7.13,12879.64,1875.13,921.32,9025.57
PEST_FUNG_0049,6.94,13028.08,1227.96,1002.22,8577.1
PEST_FUNG_0050,7.09,9614.62,1623.53,988.03,6336.58
PEST_FUNG_0051,6.12,13368.5,1628.69,1159.9,6100.55
PEST_FUNG_0052,6.93,9721.49,1484.0,844.89,5433.62
PEST_FUNG_0053,6.52,9710.14,2095.73,728.6,6454.23
PEST_FUNG_0054,7.01,9882.83,1889.59,717.01,8911.52
PEST_FUNG_0055,5.6,11931.19,1729.18,885.53,5796.7
PEST_FUNG_0056,5.79,13567.43,1327.88,1057.12,8703.87
PEST_FUNG_0057,7.12,11884.9,2106.43,609.72,8494.0
PEST_FUNG_0058,5.22,10862.31,1268.32,968.34,5694.18
PEST_FUNG_0059,5.65,12083.81,2412.86,1143.84,8584.61
PEST_FUNG_0060,6.91,10086.14,2230.25,1171.84,7119.87
PEST_FUNG_0061,5.75,13065.03,2074.32,982.56,8067.25
PEST_FUNG_0062,7.24,14774.81,1979.65,765.73,6575.1
PEST_FUNG_0063,6.48,9473.04,1834.09,745.69,9769.74
PEST_FUNG_0064,6.45,12284.98,1227.81,663.13,5168.52
PEST_FUNG_0065,6.23,7239.27,1222.77,617.34,8017.38
PEST_FUNG_0066,7.14,9935.02,2421.94,565.07,8922.9
PEST_FUNG_0067,5.74,12288.93,1426.37,750.28,9201.04
PEST_FUNG_0068,5.14,12444.04,1534.71,651.68,8318.12
PEST_FUNG_0069,5.05,13819.29,2272.39,1100.28,7946.97
PEST_FUNG_0070,6.04,14964.25,1956.15,638.92,9724.42
PEST_FUNG_0071,5.18,12332.57,1840.11,1092.74,7300.63
PEST_FUNG_0072,6.48,7930.38,2339.74,1124.4,8069.52
PEST_FUNG_0073,6.44,7357.24,1213.86,1090.63,6977.27
PEST_FUNG_0074,5.05,13680.95,2188.64,983.78,5571.18
PEST_FUNG_0075,5.37,12983.26,1209.13,815.5,8998.96
PEST_FUNG_0076,5.05,11097.94,2332.24,687.73,9362.46
PEST_FUNG_0077,5.53,7971.87,1634.71,1171.0,7491.66
PEST_FUNG_0078,5.02,13510.43,1678.85,779.57,6446.21
PEST_FUNG_0079,6.9,7701.27,2256.86,861.49,9412.87
PEST_FUNG_0080,5.24,13919.0,1900.23,874.21,9686.44
PEST_FUNG_0081,5.73,7795.41,2172.12,685.82,5319.68
PEST_FUNG_0082,5.37,12919.63,1321.76,767.93,5094.37
PEST_FUNG_0083,5.24,10843.33,1831.44,602.84,5821.31
PEST_FUNG_0084,5.14,8895.81,1473.99,752.62,5485.86
PEST_FUNG_0085,6.72,12992.85,1339.84,712.36,9257.66
PEST_FUNG_0086,7.08,14358.36,1270.21,787.91,5056.5
PEST_FUNG_0087,6.09,8818.61,2349.92,887.14,9289.58
PEST_FUNG_0088,6.87,9045.28,2363.31,597.77,5418.31
PEST_FUNG_0089,5.08,7827.1,2320.69,985.75,6528.02
PEST_FUNG_0090,6.97,9017.02,1974.16,831.19,9781.5
PEST_FUNG_0091,7.41,10872.45,1944.13,983.7,7093.64
PEST_FUNG_0092,6.6,8422.16,1944.52,534.81,6755.8
PEST_FUNG_0093,5.95,12675.77,1837.35,697.4,5207.34
PEST_FUNG_0094,5.04,11010.92,2210.06,937.66,8941.89
PEST_FUNG_0095,7.39,10827.09,1899.4,1012.49,7897.19
PEST_FUNG_0096,5.83,8214.38,1612.76,1094.97,9077.94
PEST_FUNG_0097,6.19,9256.37,1627.86,1160.4,7399.97
PEST_FUNG_0098,6.02,13366.82,1729.33,774.34,7969.56
PEST_FUNG_0099,6.65,13318.77,1290.92,762.21,6823.8
PEST_FUNG_0100,7.25,9657.81,2221.57,799.9,6811.22
PEST_FUNG_0101,5.51,11193.78,1380.79,1025.1,6319.31
PEST_FUNG_0102,7.29,11289.09,1306.23,715.41,7995.76
PEST_FUNG_0103,7.12,7288.64,2304.12,1194.0,7172.66
PEST_FUNG_0104,7.29,12402.49,1876.37,638.64,9828.99
PEST_FUNG_0105,5.78,14219.53,2140.18,848.15,6710.49
PEST_FUNG_0106,6.71,7616.92,1549.47,507.03,7568.36
PEST_FUNG_0107,5.57,13038.37,1346.86,897.41,7753.88
PEST_FUNG_0108,5.69,7823.69,1773.97,1047.27,5700.39
PEST_FUNG_0109,6.16,8235.76,1359.49,1062.68,7726.7
PEST_FUNG_0110,5.3,9073.22,2135.59,692.02,9941.69
PEST_FUNG_0111,5.49,8871.47,2359.59,644.53,7491.26
PEST_FUNG_0112,5.39,7771.9,1526.73,1075.79,5590.37
PEST_FUNG_0113,7.48,10523.6,1825.88,934.53,8672.94
PEST_FUNG_0114,5.54,7044.45,2183.78,835.82,9430.19
PEST_FUNG_0115,5.5,7377.97,2267.06,721.94,9058.71
PEST_FUNG_0116,7.11,10308.53,2112.36,639.88,8994.19
PEST_FUNG_0117,6.05,11703.73,1213.22,940.58,5833.86
PEST_FUNG_0118,6.15,12379.03,1949.13,762.21,5614.27
PEST_FUNG_0119,5.35,8288.79,1250.6,986.62,9938.04
PEST_FUNG_0120,5.97,12581.02,1911.19,1084.62,7034.7
