Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
PEST_HERB_0001,5.34,8647.51,1186.93,201.02,11219.72
PEST_HERB_0002,5.69,17311.45,2997.61,272.06,8475.42
PEST_HERB_0003,5.17,15468.45,1810.6,248.99,10917.78
PEST_HERB_0004,4.67,13565.4,2013.83,437.42,7398.98
PEST_HERB_0005,5.4,16840.05,1822.11,556.41,6171.53
PEST_HERB_0006,5.24,9021.62,1474.45,396.82,11386.09
PEST_HERB_0007,5.41,9026.93,2422.86,305.31,10024.41
PEST_HERB_0008,5.67,10090.44,2875.73,763.23,8590.17
PEST_HERB_0009,4.22,15421.27,2718.56,378.66,8004.08
PEST_HERB_0010,5.77,11896.82,1327.65,795.5,9665.47
PEST_HERB_0011,4.53,12403.17,1886.77,709.52,8429.7
PEST_HERB_0012,4.87,15933.17,2441.58,721.45,6330.11
PEST_HERB_0013,4.38,15346.61,1663.67,471.32,9870.12
PEST_HERB_0014,4.03,17147.63,1341.38,447.65,10838.35
PEST_HERB_0015,5.73,14358.14,1669.25,798.01,11878.24
PEST_HERB_0016,4.76,14208.43,1523.77,449.27,10920.54
PEST_HERB_0017,4.92,12118.15,1052.38,732.11,11630.16
PEST_HERB_0018,5.51,14216.43,2595.84,716.37,9717.24
PEST_HERB_0019,5.76,17341.42,2308.37,457.36,11523.87
PEST_HERB_0020,4.77,16005.92,1334.7,614.72,9572.59
PEST_HERB_0021,5.04,16657.95,1631.54,427.56,11598.77
PEST_HERB_0022,5.34,17511.3,2482.42,561.96,10378.74
PEST_HERB_0023,5.98,8031.03,2617.85,564.62,9040.06
PEST_HERB_0024,5.45,16636.61,2465.88,298.54,6396.19
PEST_HERB_0025,4.84,13784.72,1956.28,768.42,10520.98
PEST_HERB_0026,5.34,10161.43,2617.41,687.59,10135.17
PEST_HERB_0027,5.02,8541.06,1289.99,536.74,9695.2
PEST_HERB_0028,4.67,9356.6,2319.14,650.77,10050.94
PEST_HERB_0029,4.15,13795.57,2811.6,745.12,11513.14
PEST_HERB_0030,4.91,16895.9,2194.03,651.75,7564.52
PEST_HERB_0031,5.12,9064.1,2805.55,312.78,8456.03
PEST_HERB_0032,4.24,15457.3,2033.35,439.25,9962.81
PEST_HERB_0033,5.54,14277.83,2916.79,593.77,6759.48
PEST_HERB_0034,5.83,14062.25,2814.28,200.23,10750.69
PEST_HERB_0035,4.87,14891.66,1776.68,724.83,6407.73
PEST_HERB_0036,5.59,14831.79,2549.48,772.02,9324.45
PEST_HERB_0037,4.14,17117.77,2848.52,798.74,10680.93
PEST_HERB_0038,4.38,9603.29,1706.33,221.83,6466.98
PEST_HERB_0039,4.65,9331.39,2410.98,214.41,10164.36
PEST_HERB_0040,5.82,9846.06,1874.11,438.37,8554.52
PEST_HERB_0041,5.1,13286.51,1622.15,644.45,7660.66
PEST_HERB_0042,4.82,9303.73,1170.35,214.15,11657.96
PEST_HERB_0043,5.79,8938.26,1823.87,408.56,9311.83
PEST_HERB_0044,4.14,9847.47,2579.11,220.83,11182.54
PEST_HERB_0045,5.87,8580.81,2315.75,720.7,6089.26
PEST_HERB_0046,5.36,12595.46,1294.47,461.06,8127.55
PEST_HERB_0047,4.44,16548.58,2142.53,406.12,9528.23
PEST_HERB_0048,4.86,12108.58,2770.51,642.62,9693.09
PEST_HERB_0049,4.99,17571.41,2145.69,252.66,11254.9
PEST_HERB_0050,5.22,9785.56,2540.97,723.3,9858.88
PEST_HERB_0051,5.27,15178.84,2960.41,723.97,9323.95
PEST_HERB_0052,5.07,9920.5,1312.88,463.59,11752.37
PEST_HERB_0053,5.11,13915.48,2604.97,530.99,8287.65
PEST_HERB_0054,5.09,9443.04,2089.4,472.58,11080.34
PEST_HERB_0055,5.69,10582.29,2328.04,716.89,9624.57
PEST_HERB_0056,4.94,10565.31,2502.12,674.09,8224.75
PEST_HERB_0057,5.48,11887.6,2855.38,698.68,7643.4
PEST_HERB_0058,5.06,12544.34,1370.26,285.76,7508.7
PEST_HERB_0059,4.98,14694.02,2927.04,414.53,7111.32
PEST_HERB_0060,5.71,14968.88,1870.47,537.1,11622.02
PEST_HERB_0061,5.73,13222.31,2493.53,358.78,6421.55
PEST_HERB_0062,5.95,16044.26,2786.32,759.81,10586.75
PEST_HERB_0063,5.39,16632.96,1660.89,650.44,7005.21
PEST_HERB_0064,4.95,10165.42,1366.95,353.69,10838.9
PEST_HERB_0065,4.99,17160.17,1080.32,650.55,6278.31
