Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
PEST_INSE_0001,7.39,24085.77,1895.78,828.06,14212.54
PEST_INSE_0002,6.67,22257.67,2144.34,762.46,9909.06
PEST_INSE_0003,5.69,11970.89,3119.97,674.19,13967.94
PEST_INSE_0004,7.23,23076.5,1807.74,728.48,8838.76
PEST_INSE_0005,5.73,21889.93,3362.96,539.12,14120.37
PEST_INSE_0006,5.94,21132.3,3436.9,705.37,12135.42
PEST_INSE_0007,5.67,15743.43,2466.39,410.39,8431.7
PEST_INSE_0008,5.67,19665.15,3928.32,984.29,13142.66
PEST_INSE_0009,6.54,21357.57,1850.55,469.48,10674.21
PEST_INSE_0010,7.07,17532.58,3273.49,779.07,12819.8
PEST_INSE_0011,6.4,24105.71,1929.8,885.0,11521.51
PEST_INSE_0012,6.22,11192.85,1916.41,562.32,11500.86
PEST_INSE_0013,6.33,22339.75,2990.64,982.8,9843.55
PEST_INSE_0014,5.88,12999.48,3858.65,747.13,9986.82
PEST_INSE_0015,7.73,15295.35,2263.14,873.98,14490.97
PEST_INSE_0016,5.58,15147.94,2872.89,665.46,11531.04
PEST_INSE_0017,6.59,19705.51,3817.54,977.63,14399.92
PEST_INSE_0018,7.78,17930.56,2666.26,689.24,8236.06
PEST_INSE_0019,5.62,18931.27,2829.19,418.98,9050.64
PEST_INSE_0020,6.57,18258.42,3759.53,843.08,11561.68
PEST_INSE_0021,7.16,23145.08,3135.11,980.66,12271.44
PEST_INSE_0022,5.76,19490.45,1656.78,823.82,12190.81
PEST_INSE_0023,7.99,17543.57,1675.24,609.7,14626.18
PEST_INSE_0024,7.85,16742.12,1684.37,587.47,14036.51
PEST_INSE_0025,5.85,14585.2,2061.28,316.58,14165.79
PEST_INSE_0026,6.07,20693.2,3967.81,462.44,13725.78
PEST_INSE_0027,6.33,23390.02,3252.23,816.17,14414.11
PEST_INSE_0028,6.86,19518.34,3409.17,437.36,8435.96
PEST_INSE_0029,5.91,17352.02,2703.17,307.52,12869.0
PEST_INSE_0030,7.57,22186.79,1812.05,507.87,9280.48
PEST_INSE_0031,6.96,21602.45,3050.47,924.88,11583.83
PEST_INSE_0032,7.92,19503.16,1570.64,734.36,13960.38
PEST_INSE_0033,6.74,22835.07,2217.38,780.85,12552.38
PEST_INSE_0034,5.74,18578.01,2710.94,789.32,12654.29
PEST_INSE_0035,7.99,24670.89,2392.43,750.2,14065.09
PEST_INSE_0036,5.79,15421.8,3967.77,449.62,14552.15
PEST_INSE_0037,7.05,22354.07,3709.98,939.07,13523.3
PEST_INSE_0038,7.42,24157.93,2198.78,669.7,11624.96
PEST_INSE_0039,5.65,10370.36,3955.68,729.63,9901.74
PEST_INSE_0040,7.31,17696.28,2547.44,705.5,14741.9
PEST_INSE_0041,6.16,13370.98,1942.92,522.35,10606.22
PEST_INSE_0042,5.79,23702.21,3991.88,749.52,12424.21
PEST_INSE_0043,7.6,22637.69,1527.64,558.19,9268.42
PEST_INSE_0044,6.4,12833.96,2706.54,367.0,12312.66
PEST_INSE_0045,6.38,20577.84,3578.48,875.69,11753.31
PEST_INSE_0046,7.35,12980.99,1843.73,865.61,13731.74
PEST_INSE_0047,7.03,18872.95,3584.03,481.66,10464.55
PEST_INSE_0048,6.58,12868.0,3736.23,824.57,10544.72
PEST_INSE_0049,6.79,20884.82,2798.23,969.95,10384.0
PEST_INSE_0050,7.3,10473.92,3582.22,577.08,14598.83
PEST_INSE_0051,7.58,23862.88,2150.71,690.19,12843.89
PEST_INSE_0052,7.7,10344.99,1711.36,345.54,12921.09
PEST_INSE_0053,6.5,23402.57,2073.81,811.43,14195.11
PEST_INSE_0054,7.69,20445.99,2411.39,940.95,14537.59
PEST_INSE_0055,6.49,10561.29,3807.63,989.15,11495.83
PEST_INSE_0056,7.03,21647.17,2539.91,532.53,9936.42
PEST_INSE_0057,6.1,14299.74,3556.83,321.1,10242.73
PEST_INSE_0058,6.04,11518.71,3049.14,655.03,9631.4
PEST_INSE_0059,5.69,19368.93,2161.56,324.22,9915.63
PEST_INSE_0060,6.38,19434.14,3064.08,405.46,13419.45
PEST_INSE_0061,7.77,21467.0,3405.63,816.56,8926.31
PEST_INSE_0062,6.45,15056.64,2397.5,350.55,8058.23
PEST_INSE_0063,6.61,23348.41,2937.39,477.85,12286.52
PEST_INSE_0064,6.79,15333.95,3228.88,970.14,11927.13
PEST_INSE_0065,7.64,19423.93,2017.78,658.56,11095.88
PEST_INSE_0066,6.05,24023.54,2565.27,578.88,9405.38
PEST_INSE_0067,7.92,14720.34,3688.48,543.46,10635.05
PEST_INSE_0068,7.34,15674.43,2231.54,804.79,9034.49
PEST_INSE_0069,6.9,23384.43,2034.4,904.86,9999.85
PEST_INSE_0070,7.2,14383.69,3112.87,321.75,14545.02
PEST_INSE_0071,6.85,14317.53,3403.88,879.54,9934.83
PEST_INSE_0072,6.62,12642.41,2318.81,907.21,10181.79
PEST_INSE_0073,7.11,14650.9,2959.35,722.14,12999.8
