Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
SLAU_REND_0001,6.63,15203.25,9366.77,6963.55,4422.79
SLAU_REND_0002,6.26,19853.63,9540.46,6444.62,4610.99
SLAU_REND_0003,6.14,12657.9,7747.41,6901.11,4783.58
SLAU_REND_0004,6.33,14587.83,8522.58,4155.21,4090.39
SLAU_REND_0005,6.84,19026.07,9078.83,6172.75,3340.66
SLAU_REND_0006,6.22,12796.86,9957.11,4004.13,3966.46
SLAU_REND_0007,6.15,19834.13,9503.33,6824.61,4335.45
SLAU_REND_0008,6.91,18303.05,6354.27,6220.53,3508.16
SLAU_REND_0009,6.79,17262.14,7484.22,6038.15,4281.73
SLAU_REND_0010,6.7,19710.22,6071.97,6692.6,3045.68
SLAU_REND_0011,6.59,13164.09,6312.09,6187.5,3448.37
SLAU_REND_0012,6.8,13190.75,6099.07,5644.29,4945.53
SLAU_REND_0013,6.84,13683.65,9265.64,6234.91,3111.37
SLAU_REND_0014,6.06,19163.28,6547.78,6004.34,3203.88
SLAU_REND_0015,6.24,19190.65,9319.72,5274.91,4572.76
SLAU_REND_0016,6.86,12343.85,6960.68,6277.81,3824.49
SLAU_REND_0017,6.16,13748.67,8690.46,4082.22,3904.8
SLAU_REND_0018,6.94,16878.63,7546.36,4600.19,4391.15
SLAU_REND_0019,6.55,15140.68,6012.97,6722.33,4520.41
SLAU_REND_0020,6.89,16163.43,6633.67,6570.05,3517.4
SLAU_REND_0021,6.99,19929.14,7015.25,5571.63,3069.73
SLAU_REND_0022,6.38,16925.66,9412.58,5763.82,3709.27
SLAU_REND_0023,6.96,12694.61,7552.82,4657.48,3677.09
SLAU_REND_0024,6.83,14560.11,7738.46,6021.41,4306.2
SLAU_REND_0025,6.68,19131.79,6354.41,5051.64,3888.02
SLAU_REND_0026,6.02,17109.32,8423.52,4049.05,3570.93
SLAU_REND_0027,6.22,14030.29,9854.97,4825.1,3613.45
SLAU_REND_0028,6.87,19265.9,6878.4,5007.54,4000.12
SLAU_REND_0029,6.05,12002.65,6488.75,5107.07,3390.55
SLAU_REND_0030,6.49,14595.87,8116.0,4431.49,4285.76
SLAU_REND_0031,6.54,13041.39,6719.08,6691.44,3608.33
SLAU_REND_0032,6.86,17969.25,7339.11,5739.54,3920.2
SLAU_REND_0033,6.06,17972.5,6495.48,6636.88,4592.08
SLAU_REND_0034,6.33,13628.22,9269.98,5794.02,3196.62
SLAU_REND_0035,6.15,18335.83,7080.64,6640.25,3236.51
SLAU_REND_0036,6.32,13962.78,8880.33,4665.58,4223.98
SLAU_REND_0037,7.0,15919.58,9064.59,5528.46,3145.19
SLAU_REND_0038,6.6,18183.34,8077.84,6030.36,3222.17
SLAU_REND_0039,6.66,19517.75,7360.02,5923.43,4039.66
SLAU_REND_0040,6.88,15603.73,9556.93,4827.13,3942.39
SLAU_REND_0041,6.25,15634.07,9962.88,4416.95,3860.15
SLAU_REND_0042,6.25,13599.51,9064.85,6535.45,4447.43
SLAU_REND_0043,6.52,18080.82,8699.73,4932.37,4064.66
SLAU_REND_0044,6.19,14919.43,6150.97,6454.04,3727.17
SLAU_REND_0045,6.6,13957.02,9578.31,5166.4,3972.81
SLAU_REND_0046,6.49,19342.91,7353.25,4146.54,4443.43
SLAU_REND_0047,6.14,19368.86,7077.64,6002.17,4546.79
SLAU_REND_0048,6.75,14268.69,6335.68,4753.57,3676.06
SLAU_REND_0049,6.22,18870.24,8625.52,5912.19,3175.23
SLAU_REND_0050,6.72,19808.56,7278.86,5923.7,4234.36
SLAU_REND_0051,6.35,17175.64,8821.06,6461.2,3108.14
SLAU_REND_0052,6.91,12179.18,7130.23,6884.3,3661.49
SLAU_REND_0053,6.64,18410.33,6767.23,5728.4,3681.42
SLAU_REND_0054,6.16,18322.14,9816.12,5449.53,4347.08
SLAU_REND_0055,6.03,12625.16,7091.62,5186.74,3571.99
SLAU_REND_0056,6.26,15625.91,6785.04,6121.09,3104.18
SLAU_REND_0057,6.65,18104.46,6022.97,5973.75,3167.51
SLAU_REND_0058,6.51,17561.79,8037.72,6102.91,3614.47
SLAU_REND_0059,6.94,16370.06,9920.9,5860.1,3928.71
SLAU_REND_0060,6.46,13704.34,6925.92,5458.88,4141.01
SLAU_REND_0061,6.45,19961.24,8976.86,5161.72,4128.09
SLAU_REND_0062,6.3,16989.19,9984.5,5736.0,3924.52
SLAU_REND_0063,6.14,19878.84,8109.17,4749.72,4603.71
SLAU_REND_0064,6.41,12560.72,8073.25,5286.23,4340.7
SLAU_REND_0065,6.56,15485.08,8973.35,4302.85,3102.57
SLAU_REND_0066,6.88,16682.36,8239.37,5502.44,3580.49
SLAU_REND_0067,6.28,12107.06,7165.41,6008.86,4126.94
SLAU_REND_0068,6.45,12297.95,8483.41,4934.94,4984.74
SLAU_REND_0069,6.02,12936.23,6568.57,4856.59,3916.61
SLAU_REND_0070,6.88,13662.42,9773.15,5466.51,3915.02
SLAU_REND_0071,6.94,14557.14,7375.93,4731.13,4632.59
SLAU_REND_0072,6.16,13509.93,7321.96,6922.09,4021.48
SLAU_REND_0073,6.28,19893.67,7202.42,4968.59,4921.5
SLAU_REND_0074,6.99,19013.11,8275.22,4482.42,4069.94
SLAU_REND_0075,6.96,14910.06,7180.88,6779.19,4854.34
SLAU_REND_0076,6.29,16027.34,8173.9,4762.14,3409.92
SLAU_REND_0077,6.12,14795.62,8567.14,5793.24,4109.35
SLAU_REND_0078,6.25,14483.91,6499.89,5039.44,4279.79
SLAU_REND_0079,6.89,18544.14,8727.39,4293.68,3563.72
SLAU_REND_0080,6.86,15300.44,9313.19,5661.74,3858.01
SLAU_REND_0081,6.2,15498.91,7747.52,6593.04,3298.44
SLAU_REND_0082,6.85,19323.53,9660.01,4266.03,4866.36
SLAU_REND_0083,6.84,19925.17,8035.08,5178.75,3810.08
SLAU_REND_0084,6.59,13709.65,7668.33,4835.61,4457.66
SLAU_REND_0085,6.27,16217.14,7906.84,4563.25,3375.2
SLAU_REND_0086,6.97,14760.08,7415.84,4773.89,3770.99
SLAU_REND_0087,6.26,16790.42,6983.88,6927.12,3916.76
SLAU_REND_0088,6.11,19931.04,9675.24,6521.91,4826.52
SLAU_REND_0089,6.71,12932.97,6368.63,6562.83,3570.27
SLAU_REND_0090,6.89,12448.05,7466.98,4410.28,3312.53
SLAU_REND_0091,6.87,19107.31,8438.28,4968.87,3335.72
SLAU_REND_0092,6.41,13446.67,8543.22,5171.35,3936.83
SLAU_REND_0093,6.48,15360.71,8464.5,6475.42,4817.94
SLAU_REND_0094,6.22,15440.12,9933.45,4089.72,4776.67
SLAU_REND_0095,6.01,18294.03,6553.73,6401.65,3730.24
SLAU_REND_0096,6.73,16066.57,8562.89,4099.97,4242.05
SLAU_REND_0097,6.84,12483.64,9647.48,4808.91,4894.16
SLAU_REND_0098,6.61,15463.88,6515.85,5042.58,4638.98
SLAU_REND_0099,6.02,13994.78,8960.29,6592.51,3336.97
SLAU_REND_0100,6.13,12014.4,8373.36,4481.95,4887.98
SLAU_REND_0101,6.3,14675.03,7506.59,6866.45,3317.45
SLAU_REND_0102,6.09,15022.25,8691.11,6284.79,4801.94
SLAU_REND_0103,6.21,12630.38,9260.42,4156.05,4633.64
SLAU_REND_0104,6.45,17353.55,8676.19,4449.38,4770.94
SLAU_REND_0105,6.35,18082.72,7851.14,6600.67,4725.43
SLAU_REND_0106,6.42,14987.06,7382.85,5483.43,3125.65
SLAU_REND_0107,6.08,14109.24,7065.62,5557.22,4324.62
SLAU_REND_0108,6.04,16589.55,9567.13,4797.58,3316.37
SLAU_REND_0109,6.5,14324.62,8082.53,5904.76,4479.22
SLAU_REND_0110,6.96,18203.28,8689.89,5593.49,3297.41
SLAU_REND_0111,6.55,18052.41,9738.8,6185.69,3499.33
SLAU_REND_0112,6.39,18825.69,9465.06,6920.35,4843.19
SLAU_REND_0113,6.48,15426.52,8992.19,4779.03,4922.42
SLAU_REND_0114,6.25,17696.86,8604.22,5194.07,3320.75
SLAU_REND_0115,6.59,18653.07,8337.48,6403.29,3050.59
SLAU_REND_0116,6.68,15079.58,8377.53,6096.55,3478.63
SLAU_REND_0117,6.79,18978.36,9745.54,4896.49,4092.12
SLAU_REND_0118,6.77,13773.67,7746.44,6065.3,3682.24
SLAU_REND_0119,6.42,12362.03,6116.26,5534.35,3231.03
SLAU_REND_0120,6.1,18068.3,8613.1,5675.63,3394.29
SLAU_REND_0121,6.07,15707.79,6737.13,5806.0,3897.64
SLAU_REND_0122,6.38,18227.81,8445.94,5162.5,3540.39
SLAU_REND_0123,6.06,17086.04,6496.56,4994.9,4372.88
SLAU_REND_0124,6.07,19541.45,9375.57,5718.29,3094.33
SLAU_REND_0125,6.7,13018.69,6879.55,5927.87,3855.43
SLAU_REND_0126,6.26,14595.74,7075.93,4054.13,4603.69
SLAU_REND_0127,6.92,13526.54,8292.3,5838.31,3331.38
SLAU_REND_0128,6.96,16061.19,8058.14,5596.78,3781.98
SLAU_REND_0129,6.98,19665.37,6393.0,6845.88,3553.86
SLAU_REND_0130,6.36,14650.31,9301.37,4093.65,4868.44
SLAU_REND_0131,6.08,15857.47,8450.22,6665.43,4359.66
SLAU_REND_0132,6.2,12526.29,9632.6,4413.19,4294.96
SLAU_REND_0133,6.55,14241.81,8442.94,4928.66,3179.73
SLAU_REND_0134,6.95,15506.38,6880.65,4678.8,4830.31
SLAU_REND_0135,6.04,12525.93,6719.83,4748.61,4387.63
SLAU_REND_0136,6.55,17955.66,9598.21,4930.66,4293.74
SLAU_REND_0137,6.9,13662.28,9900.46,4602.31,3247.09
SLAU_REND_0138,6.23,14528.75,7571.43,6274.79,4580.1
SLAU_REND_0139,6.87,12348.45,8394.84,6785.58,3927.16
SLAU_REND_0140,6.3,12356.65,6257.41,4912.8,3509.53
SLAU_REND_0141,6.84,18357.82,8716.98,6719.36,3400.38
SLAU_REND_0142,6.1,14734.67,6858.21,4609.54,3566.54
SLAU_REND_0143,6.72,17467.13,7857.36,4136.8,4942.98
SLAU_REND_0144,6.55,14384.59,8513.5,4390.7,4515.68
SLAU_REND_0145,6.07,13936.3,8405.07,4742.43,4310.97
SLAU_REND_0146,6.85,15092.47,9617.51,4143.6,3818.26
SLAU_REND_0147,6.91,17287.56,8518.19,6230.28,4828.12
SLAU_REND_0148,6.8,16038.07,9887.84,5660.71,4316.87
SLAU_REND_0149,6.45,19505.88,8613.4,6858.09,4611.73
SLAU_REND_0150,6.63,14498.61,9356.82,5000.91,4443.4
SLAU_REND_0151,6.36,13879.95,6006.46,6853.25,4520.98
SLAU_REND_0152,6.78,15907.5,7251.46,5354.21,4541.83
SLAU_REND_0153,6.13,14799.95,7783.82,6311.83,4197.95
SLAU_REND_0154,6.97,17008.05,6772.06,6116.37,4374.21
SLAU_REND_0155,6.27,17974.95,9852.04,4328.29,4314.72
SLAU_REND_0156,6.92,12864.92,7279.87,4372.21,3393.18
SLAU_REND_0157,6.68,13818.28,7023.37,4857.93,3103.57
SLAU_REND_0158,6.09,13431.47,6637.9,6521.73,3005.39
SLAU_REND_0159,6.03,12213.66,7360.5,5258.11,3236.08
SLAU_REND_0160,6.94,17450.09,8566.79,4523.36,4539.66
SLAU_REND_0161,6.0,13521.29,8404.78,6746.34,3770.63
SLAU_REND_0162,6.37,17988.51,9094.57,6539.15,3814.11
SLAU_REND_0163,6.85,15208.08,8020.05,4585.87,3561.26
SLAU_REND_0164,6.9,15630.17,7395.55,6482.37,3801.82
SLAU_REND_0165,6.04,12428.08,7193.84,6207.66,4264.14
SLAU_REND_0166,6.37,19665.11,9643.09,6005.05,3279.98
SLAU_REND_0167,6.08,12733.81,9743.94,6639.47,3138.82
