Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
SLAU_SLAU_0001,7.58,6869.99,4010.16,4102.65,2067.09
SLAU_SLAU_0002,6.93,10949.1,4485.38,2219.19,2877.14
SLAU_SLAU_0003,6.57,9128.45,4759.32,2496.35,2425.2
SLAU_SLAU_0004,7.53,7921.07,5322.01,2874.06,3765.02
SLAU_SLAU_0005,7.04,8081.75,5965.31,2708.5,4135.66
SLAU_SLAU_0006,7.93,6060.21,3564.61,2782.03,2469.58
SLAU_SLAU_0007,6.84,7116.1,5536.85,3273.75,3212.68
SLAU_SLAU_0008,7.43,11434.05,3332.85,4160.86,4039.38
SLAU_SLAU_0009,7.79,8130.08,3341.55,2388.95,2668.73
SLAU_SLAU_0010,7.49,8936.03,4876.48,4894.78,4066.86
SLAU_SLAU_0011,7.89,11861.62,3744.65,4498.87,4242.9
SLAU_SLAU_0012,6.82,11162.22,3453.02,3220.8,2349.37
SLAU_SLAU_0013,7.63,6220.78,3615.71,2890.66,2853.6
SLAU_SLAU_0014,6.72,10462.88,5377.59,2729.55,3536.1
SLAU_SLAU_0015,7.94,7771.55,5109.12,2346.05,4041.34
SLAU_SLAU_0016,7.66,8285.56,3290.52,3338.66,2654.25
SLAU_SLAU_0017,6.82,8682.65,3334.12,3357.08,3195.57
SLAU_SLAU_0018,7.16,7921.22,4780.85,4305.63,4422.87
SLAU_SLAU_0019,7.27,11708.2,5267.18,3215.37,2592.04
SLAU_SLAU_0020,7.67,8898.93,4871.36,4848.6,3987.78
SLAU_SLAU_0021,6.99,6071.85,3656.73,2961.81,3368.13
SLAU_SLAU_0022,6.55,6951.8,4910.32,2481.87,3020.11
SLAU_SLAU_0023,7.2,7573.02,4789.69,4649.0,3753.88
SLAU_SLAU_0024,7.07,8454.66,4491.89,2983.98,2141.23
SLAU_SLAU_0025,7.23,8227.5,4974.75,3213.41,2003.62
SLAU_SLAU_0026,7.9,8195.46,5502.94,2435.27,4371.95
SLAU_SLAU_0027,7.63,11078.28,3138.59,3506.97,3095.55
SLAU_SLAU_0028,7.91,9876.75,5360.7,4843.08,3302.07
SLAU_SLAU_0029,7.7,6928.82,3789.86,3756.84,3468.98
SLAU_SLAU_0030,7.34,9013.44,4367.58,4792.57,3472.12
