Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
SUGA_CANE_0001,5.45,5125.47,2082.38,1740.08,1921.12
SUGA_CANE_0002,5.93,5360.26,1531.23,2154.74,2217.82
SUGA_CANE_0003,4.55,4600.91,3233.87,2357.46,1671.87
SUGA_CANE_0004,5.84,3186.97,2462.06,1094.71,2024.29
SUGA_CANE_0005,5.43,4840.24,2980.4,2198.78,1591.75
SUGA_CANE_0006,5.37,4456.11,2953.23,1069.68,2542.61
SUGA_CANE_0007,5.76,3573.64,2897.14,1433.28,2135.59
SUGA_CANE_0008,4.92,4332.91,2798.67,1312.64,2599.95
SUGA_CANE_0009,5.61,5273.2,1834.68,1914.38,2207.43
SUGA_CANE_0010,4.72,4913.98,2288.31,1390.73,2553.97
SUGA_CANE_0011,5.87,5935.91,1995.64,1162.68,1789.61
SUGA_CANE_0012,5.39,5637.72,2334.18,2054.38,1568.34
SUGA_CANE_0013,4.75,5385.28,3166.19,2198.91,1530.38
SUGA_CANE_0014,5.44,4815.71,2459.92,1837.29,2703.5
SUGA_CANE_0015,4.68,3993.6,3365.35,1637.86,1852.94
SUGA_CANE_0016,5.88,4312.64,2881.79,1431.02,1533.51
SUGA_CANE_0017,5.74,3427.24,1815.91,1671.17,2603.33
SUGA_CANE_0018,5.78,3032.4,1678.32,1363.86,2401.82
SUGA_CANE_0019,4.72,5101.45,1644.43,1724.15,1857.72
SUGA_CANE_0020,4.54,4582.66,2871.09,1612.48,2133.94
SUGA_CANE_0021,4.68,4769.37,2108.76,1109.05,2398.69
SUGA_CANE_0022,5.71,3792.9,2440.24,2332.08,1602.89
SUGA_CANE_0023,4.62,3686.47,3215.91,2495.83,2054.15
SUGA_CANE_0024,5.62,4165.19,1869.04,1144.26,2238.79
SUGA_CANE_0025,5.02,5483.45,2897.6,2071.44,1714.31
SUGA_CANE_0026,5.26,5062.58,3014.04,1167.09,2386.4
SUGA_CANE_0027,5.51,4530.01,3390.67,1458.1,2467.47
SUGA_CANE_0028,5.05,4004.5,2419.08,1390.79,2734.47
SUGA_CANE_0029,4.57,5808.85,2959.15,2092.57,2871.87
SUGA_CANE_0030,5.88,4923.05,3304.28,2433.47,2192.64
SUGA_CANE_0031,5.28,4940.16,3331.25,2170.73,1577.85
SUGA_CANE_0032,5.63,5849.61,1610.37,1246.08,2371.72
SUGA_CANE_0033,5.11,5383.11,2271.27,1986.06,2542.58
SUGA_CANE_0034,4.61,3229.35,1615.34,1013.9,2475.05
SUGA_CANE_0035,5.14,4814.79,1962.19,1819.19,2233.61
SUGA_CANE_0036,5.88,3908.79,2113.58,1260.94,1761.63
SUGA_CANE_0037,5.2,5924.07,1757.63,1969.78,1935.32
