Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
SUGA_CLAR_0001,6.95,2267.33,1731.96,2518.32,1524.02
SUGA_CLAR_0002,6.59,3775.88,2108.61,2486.02,1432.81
SUGA_CLAR_0003,6.17,2840.23,2131.87,2240.61,2251.99
SUGA_CLAR_0004,6.31,2759.98,2275.48,2098.8,1265.74
SUGA_CLAR_0005,6.46,3810.62,1172.71,1826.38,2145.78
SUGA_CLAR_0006,5.54,2138.05,2084.98,2535.36,2419.21
SUGA_CLAR_0007,5.69,4167.6,1664.41,2850.33,1630.53
SUGA_CLAR_0008,6.01,4084.7,1662.06,1592.73,1419.27
SUGA_CLAR_0009,6.45,4352.02,2100.86,1621.15,2181.17
SUGA_CLAR_0010,6.17,4060.93,2064.14,2983.87,1742.22
SUGA_CLAR_0011,6.83,3813.79,1109.64,2931.4,2488.35
SUGA_CLAR_0012,6.23,2838.71,1363.97,2376.43,2184.35
SUGA_CLAR_0013,6.75,3022.99,1258.83,2609.95,1313.64
SUGA_CLAR_0014,6.95,2662.33,1536.43,2086.42,1727.13
SUGA_CLAR_0015,6.39,3374.51,1189.9,1950.97,2132.57
SUGA_CLAR_0016,6.88,2678.83,1853.41,1591.34,1928.12
SUGA_CLAR_0017,6.7,3504.65,2475.05,2325.98,2305.72
SUGA_CLAR_0018,5.91,3414.26,1436.83,2525.62,1501.79
SUGA_CLAR_0019,5.95,2749.82,1070.89,1553.35,1989.31
SUGA_CLAR_0020,6.28,2445.79,1052.78,1758.4,1990.55
SUGA_CLAR_0021,6.65,2755.92,2396.13,2670.03,1844.24
SUGA_CLAR_0022,6.39,3497.84,1784.64,1836.28,1218.3
SUGA_CLAR_0023,6.09,2417.1,1467.49,2694.71,1405.02
SUGA_CLAR_0024,5.54,4156.68,1142.27,2587.12,1680.52
SUGA_CLAR_0025,5.88,2331.5,2275.89,2467.83,1261.05
SUGA_CLAR_0026,6.26,3673.7,1087.39,2580.96,2135.13
SUGA_CLAR_0027,6.07,4431.86,1943.66,2165.79,1957.39
SUGA_CLAR_0028,6.49,3896.32,2257.89,2703.29,1285.4
SUGA_CLAR_0029,6.21,3548.97,1364.71,1813.05,2304.05
SUGA_CLAR_0030,5.68,2405.37,1139.26,1914.17,1226.13
SUGA_CLAR_0031,6.73,3727.36,1060.69,1832.69,2082.65
SUGA_CLAR_0032,6.77,3364.67,2131.78,2553.39,2003.59
SUGA_CLAR_0033,5.81,4185.0,1280.01,2390.67,2328.66
SUGA_CLAR_0034,6.04,3470.86,1868.45,2675.6,1218.94
SUGA_CLAR_0035,6.14,2730.02,1100.87,1522.41,2326.11
SUGA_CLAR_0036,5.99,3558.48,1602.13,2065.44,1772.91
SUGA_CLAR_0037,6.27,3750.74,2205.28,2738.04,2227.56
SUGA_CLAR_0038,6.55,3424.84,1559.25,1536.89,1525.85
SUGA_CLAR_0039,6.39,3786.86,1770.84,2295.66,1861.94
SUGA_CLAR_0040,6.6,2346.1,2104.35,2789.86,2350.57
SUGA_CLAR_0041,6.94,2979.03,2446.59,1916.59,1831.32
SUGA_CLAR_0042,6.85,4344.18,2332.66,2827.44,1818.56
SUGA_CLAR_0043,6.89,3038.0,1128.43,2317.55,1402.29
SUGA_CLAR_0044,5.81,3814.08,1369.49,1852.95,1527.93
SUGA_CLAR_0045,5.99,4193.07,1923.82,1872.95,1417.97
SUGA_CLAR_0046,5.65,2974.14,2300.95,2391.58,1578.35
SUGA_CLAR_0047,6.05,4153.28,2138.99,2559.04,2073.76
SUGA_CLAR_0048,5.72,2702.89,1683.8,2618.12,1462.03
SUGA_CLAR_0049,6.24,2567.75,2425.98,1580.6,1270.13
SUGA_CLAR_0050,5.99,2072.66,1683.95,1874.47,1758.89
SUGA_CLAR_0051,5.75,3096.78,2138.57,2826.2,1253.49
SUGA_CLAR_0052,6.74,2797.47,1378.49,1607.21,1373.63
SUGA_CLAR_0053,6.09,2432.69,2079.21,2139.63,1728.23
SUGA_CLAR_0054,6.06,2628.56,1183.82,2107.63,2065.67
SUGA_CLAR_0055,5.63,2287.19,1449.75,1694.5,1636.18
SUGA_CLAR_0056,6.28,4078.4,1052.33,1921.21,1320.52
