Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
SUGA_DIST_0001,4.17,99326.49,37252.14,4668.13,17087.38
SUGA_DIST_0002,4.82,61634.82,34899.31,4919.61,21795.06
SUGA_DIST_0003,4.78,91743.95,23536.58,5897.14,23696.91
SUGA_DIST_0004,4.76,62849.03,35157.0,5997.54,18059.91
SUGA_DIST_0005,5.27,91371.78,42356.27,4488.29,22299.4
SUGA_DIST_0006,4.35,78517.5,24030.98,3199.76,20797.33
SUGA_DIST_0007,5.35,75716.01,26442.65,5951.96,18867.22
SUGA_DIST_0008,5.12,67555.81,30957.7,3153.66,15996.79
SUGA_DIST_0009,5.41,87222.4,40708.98,3833.92,22577.49
SUGA_DIST_0010,4.26,90607.56,26589.44,5988.29,23953.61
SUGA_DIST_0011,4.0,77837.27,40347.45,5240.89,21110.97
SUGA_DIST_0012,5.08,60101.95,27529.44,3638.07,21621.27
SUGA_DIST_0013,5.49,86522.01,34726.5,5716.43,16973.43
SUGA_DIST_0014,4.33,80117.97,29788.07,4005.8,19953.24
SUGA_DIST_0015,4.16,88128.02,44883.49,5620.7,17304.18
SUGA_DIST_0016,4.76,85404.21,44458.42,4423.81,21289.99
SUGA_DIST_0017,4.07,57028.16,40951.64,5563.48,20840.62
SUGA_DIST_0018,5.21,52593.38,37054.71,5044.54,20456.93
SUGA_DIST_0019,4.49,74341.73,44639.31,5916.11,15173.29
SUGA_DIST_0020,4.75,58768.7,38018.74,4593.03,18358.51
SUGA_DIST_0021,4.85,75854.12,34072.64,4001.86,17770.26
SUGA_DIST_0022,4.92,63262.59,31710.48,5264.44,19440.84
SUGA_DIST_0023,4.29,80750.76,29129.24,5621.45,16835.54
SUGA_DIST_0024,4.69,88708.88,30794.82,4256.38,21026.14
SUGA_DIST_0025,4.89,52160.89,28303.3,3689.33,17799.98
SUGA_DIST_0026,4.6,62004.42,30170.91,3019.15,15040.07
SUGA_DIST_0027,4.38,71085.79,37397.45,4914.04,20240.76
SUGA_DIST_0028,5.07,94593.92,35184.17,4505.19,16110.9
SUGA_DIST_0029,5.05,71524.36,41482.39,4497.26,15661.65
SUGA_DIST_0030,4.04,56626.8,32979.27,5045.95,21932.39
SUGA_DIST_0031,4.47,96179.51,30027.8,5378.78,20018.75
SUGA_DIST_0032,4.97,72317.2,33331.02,4529.85,19205.85
SUGA_DIST_0033,4.56,84925.81,27081.63,3120.36,15952.72
SUGA_DIST_0034,5.44,75256.09,24340.82,4805.65,19606.51
SUGA_DIST_0035,4.71,51630.99,21770.52,5297.91,18851.27
SUGA_DIST_0036,4.63,61856.05,24136.46,3996.55,17148.21
SUGA_DIST_0037,5.29,88905.77,27614.36,4613.5,19037.22
SUGA_DIST_0038,4.4,86553.19,44117.4,3737.14,24974.48
