Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
THER_ASH__0001,8.95,141.25,11.43,2925.25,3161.22
THER_ASH__0002,8.85,145.06,8.95,3010.16,2149.8
THER_ASH__0003,9.66,144.8,18.08,5396.39,2793.22
THER_ASH__0004,8.68,64.76,12.18,3303.13,2547.78
THER_ASH__0005,9.78,123.15,18.73,3926.87,3469.25
THER_ASH__0006,9.74,97.14,8.66,5667.19,3324.87
THER_ASH__0007,10.4,83.27,13.86,3262.76,1972.13
THER_ASH__0008,8.97,50.09,7.46,4351.3,2766.18
THER_ASH__0009,8.69,92.41,15.64,5626.04,2827.79
THER_ASH__0010,10.36,77.13,17.28,3166.33,1731.97
THER_ASH__0011,9.85,145.85,13.89,3726.6,2422.43
THER_ASH__0012,9.74,126.63,5.64,5795.94,3495.82
THER_ASH__0013,10.41,148.55,11.5,3352.5,3361.06
THER_ASH__0014,9.04,54.44,13.5,4924.55,2965.98
THER_ASH__0015,10.39,110.46,7.37,3317.28,1821.25
THER_ASH__0016,10.14,56.36,19.8,4959.9,2083.32
THER_ASH__0017,10.08,68.88,14.16,5295.08,1974.17
THER_ASH__0018,8.52,97.25,7.89,3203.12,2804.93
THER_ASH__0019,10.21,59.57,5.27,4511.71,3370.64
THER_ASH__0020,9.07,61.34,19.64,3208.61,3442.15
THER_ASH__0021,9.55,59.49,18.98,3431.16,2047.06
THER_ASH__0022,10.85,106.71,14.33,2492.57,1942.19
THER_ASH__0023,9.01,116.62,8.35,4857.04,2163.03
THER_ASH__0024,9.02,81.16,13.71,5496.78,1861.03
THER_ASH__0025,10.62,55.83,17.57,5449.12,2382.73
THER_ASH__0026,10.17,128.38,17.09,5877.92,1899.92
THER_ASH__0027,10.54,81.54,10.74,3028.38,3176.57
THER_ASH__0028,10.36,108.71,7.1,4501.99,3250.66
THER_ASH__0029,8.96,71.79,16.31,3597.2,1959.23
THER_ASH__0030,9.67,64.49,12.21,5764.24,2891.44
THER_ASH__0031,10.92,85.02,6.44,2404.45,3244.39
THER_ASH__0032,9.0,146.94,11.67,5390.54,3008.63
THER_ASH__0033,10.88,135.46,15.76,3798.41,1760.85
THER_ASH__0034,9.23,127.91,6.1,5696.18,2126.78
THER_ASH__0035,10.99,135.48,16.39,5345.23,2350.91
THER_ASH__0036,9.69,82.62,8.86,4920.25,3310.83
