Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
THER_BOIL_0001,9.52,63.97,17.44,60.04,4982.23
THER_BOIL_0002,9.41,36.76,6.48,195.32,4457.69
THER_BOIL_0003,10.54,57.3,11.99,138.63,2110.27
THER_BOIL_0004,9.45,43.3,12.92,120.75,4812.2
THER_BOIL_0005,9.69,84.61,14.23,157.31,4032.23
THER_BOIL_0006,10.33,98.56,17.52,130.37,3800.21
THER_BOIL_0007,9.52,96.46,9.01,54.53,4304.96
THER_BOIL_0008,9.17,33.84,11.04,93.73,2612.34
THER_BOIL_0009,9.14,94.03,12.14,140.03,4436.64
THER_BOIL_0010,10.23,38.07,9.8,111.31,2435.52
THER_BOIL_0011,10.82,31.96,6.92,73.96,2379.54
THER_BOIL_0012,10.16,69.46,12.14,150.12,2246.99
THER_BOIL_0013,10.8,56.23,10.48,111.64,2352.55
THER_BOIL_0014,9.82,46.49,11.07,194.41,3425.2
THER_BOIL_0015,10.9,43.64,16.61,73.09,3364.85
THER_BOIL_0016,11.05,34.39,12.23,61.92,2120.08
THER_BOIL_0017,11.22,64.07,16.93,79.68,3214.2
THER_BOIL_0018,10.91,67.08,11.56,82.83,3350.29
THER_BOIL_0019,10.3,94.91,7.82,146.29,4539.42
THER_BOIL_0020,9.42,53.19,16.73,165.4,3754.96
THER_BOIL_0021,10.33,36.86,17.75,144.49,2345.26
THER_BOIL_0022,9.3,40.17,5.83,127.35,4269.26
THER_BOIL_0023,10.2,48.05,14.86,126.57,3184.46
THER_BOIL_0024,9.71,82.84,12.99,191.45,2998.39
THER_BOIL_0025,11.48,90.59,9.91,162.27,3479.71
THER_BOIL_0026,9.84,52.6,7.49,97.47,2495.9
THER_BOIL_0027,10.62,67.2,13.67,113.49,2461.06
THER_BOIL_0028,10.22,59.07,12.67,75.5,4485.5
THER_BOIL_0029,9.66,47.18,18.01,77.67,2961.88
THER_BOIL_0030,11.15,71.05,5.58,99.15,4902.27
THER_BOIL_0031,10.39,74.67,16.13,135.98,4760.69
THER_BOIL_0032,10.6,43.69,7.2,152.31,3851.86
THER_BOIL_0033,11.15,85.54,6.46,172.52,3322.41
THER_BOIL_0034,10.31,79.12,13.85,120.42,2166.45
THER_BOIL_0035,9.83,62.03,17.66,178.42,3091.9
THER_BOIL_0036,9.84,57.26,5.97,161.23,3551.35
THER_BOIL_0037,9.48,51.07,6.73,84.2,3576.73
THER_BOIL_0038,9.73,61.88,19.09,77.66,4729.11
THER_BOIL_0039,9.83,35.22,15.19,103.57,2709.85
THER_BOIL_0040,11.38,47.14,7.58,108.76,2322.29
THER_BOIL_0041,11.24,58.76,5.62,124.07,3231.01
THER_BOIL_0042,10.82,92.34,5.67,185.69,3275.41
THER_BOIL_0043,11.09,98.8,13.29,169.2,3480.88
THER_BOIL_0044,10.43,91.39,16.64,156.51,3521.89
THER_BOIL_0045,10.12,72.45,12.69,136.9,4398.85
THER_BOIL_0046,9.95,47.56,6.2,154.02,3385.65
THER_BOIL_0047,9.03,95.72,17.72,197.9,4604.09
THER_BOIL_0048,10.96,60.85,6.43,61.32,2345.22
THER_BOIL_0049,9.37,67.44,13.59,134.89,4215.31
THER_BOIL_0050,10.47,78.28,18.12,88.52,3708.39
THER_BOIL_0051,9.16,71.97,12.55,69.49,2294.25
THER_BOIL_0052,11.33,68.78,15.69,177.33,4285.66
THER_BOIL_0053,9.23,60.56,17.91,184.19,3723.78
THER_BOIL_0054,11.0,34.82,17.9,64.3,4761.9
THER_BOIL_0055,9.43,88.4,6.37,113.72,4806.97
THER_BOIL_0056,9.62,90.55,10.46,64.58,2244.51
THER_BOIL_0057,9.48,63.08,6.22,145.94,2593.46
