Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
THER_COOL_0001,8.32,44.2,9.69,24.28,2494.7
THER_COOL_0002,7.87,57.38,9.62,62.4,2687.15
THER_COOL_0003,7.79,57.95,12.82,42.29,2257.83
THER_COOL_0004,7.74,45.2,7.68,60.83,2962.75
THER_COOL_0005,8.4,31.15,8.63,23.6,3017.86
THER_COOL_0006,7.69,24.48,9.37,31.24,2117.12
THER_COOL_0007,8.13,58.92,7.53,62.0,1667.68
THER_COOL_0008,7.95,32.1,14.89,74.65,1668.93
THER_COOL_0009,8.16,56.07,6.09,66.55,3341.1
THER_COOL_0010,7.88,43.0,11.44,56.15,3378.93
THER_COOL_0011,8.08,54.34,14.01,71.76,1791.74
THER_COOL_0012,8.22,49.97,6.54,69.32,1976.89
THER_COOL_0013,8.32,52.35,6.63,77.14,2892.88
THER_COOL_0014,8.18,31.25,7.46,70.04,2984.52
THER_COOL_0015,8.11,41.41,12.1,50.63,2604.05
THER_COOL_0016,8.42,37.95,14.63,21.21,2280.63
THER_COOL_0017,7.51,39.05,9.21,55.42,1631.89
THER_COOL_0018,8.09,47.1,9.34,73.15,2826.52
THER_COOL_0019,8.34,56.81,6.56,45.81,3773.85
THER_COOL_0020,7.58,50.75,10.41,79.88,2839.73
THER_COOL_0021,7.89,42.81,14.4,28.47,3179.56
THER_COOL_0022,8.11,32.77,13.87,23.12,1834.09
THER_COOL_0023,8.17,37.33,11.44,22.66,2818.61
THER_COOL_0024,7.89,22.33,7.64,72.49,3002.02
THER_COOL_0025,7.66,46.62,11.34,66.18,3348.3
THER_COOL_0026,8.39,27.9,5.58,72.74,3993.38
THER_COOL_0027,8.06,22.98,13.49,72.25,3470.92
THER_COOL_0028,8.2,35.0,14.19,43.53,3039.17
THER_COOL_0029,8.26,49.98,14.5,66.49,3183.97
THER_COOL_0030,7.79,57.8,7.83,45.96,1930.44
THER_COOL_0031,8.45,27.62,10.5,22.07,3017.96
THER_COOL_0032,7.9,35.28,5.26,22.4,3340.89
THER_COOL_0033,8.18,49.37,14.49,56.11,2296.38
THER_COOL_0034,7.67,50.14,12.94,46.89,3259.75
THER_COOL_0035,8.47,57.79,7.07,34.01,1522.61
THER_COOL_0036,8.46,58.04,7.27,75.41,2825.73
THER_COOL_0037,8.04,23.29,10.48,36.6,1719.78
THER_COOL_0038,8.14,57.66,6.11,30.47,1784.42
THER_COOL_0039,7.55,28.98,8.15,69.17,3355.99
THER_COOL_0040,8.3,21.98,14.95,31.65,3368.48
THER_COOL_0041,8.36,57.61,7.09,33.08,2236.03
THER_COOL_0042,8.33,34.82,5.47,67.93,3799.09
THER_COOL_0043,8.12,34.18,11.08,64.93,2649.89
THER_COOL_0044,7.92,35.14,5.09,79.23,3713.08
THER_COOL_0045,7.79,41.7,10.04,69.39,2288.08
THER_COOL_0046,7.58,55.89,7.69,58.77,3829.27
THER_COOL_0047,8.34,27.09,9.73,55.89,3610.08
THER_COOL_0048,7.67,37.69,6.74,37.15,2179.56
THER_COOL_0049,7.83,49.7,8.06,39.66,2695.73
THER_COOL_0050,7.79,50.22,12.28,26.04,2358.02
THER_COOL_0051,7.68,44.29,8.48,32.54,3106.25
THER_COOL_0052,8.28,35.33,11.67,43.7,3894.57
THER_COOL_0053,7.71,52.97,10.78,23.85,3056.06
THER_COOL_0054,7.74,50.07,9.18,79.06,2099.07
THER_COOL_0055,8.1,20.05,13.45,68.96,3842.57
THER_COOL_0056,8.45,21.66,11.01,52.29,2001.23
THER_COOL_0057,7.97,52.24,6.67,40.16,2781.75
THER_COOL_0058,7.6,27.72,12.91,39.98,2789.47
THER_COOL_0059,8.02,21.5,11.7,49.84,2905.14
